round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.81986,0.77843,0.69857,0.72256,0.81986,0.81986,0.81986
1,1,0.81967,0.778,0.69845,0.72237,0.81967,0.81967,0.81967
1,2,0.81967,0.778,0.69845,0.72237,0.81967,0.81967,0.81967
1,3,0.81986,0.77843,0.69857,0.72256,0.81986,0.81986,0.81986
1,4,0.81967,0.778,0.69845,0.72237,0.81967,0.81967,0.81967
1,5,0.81986,0.77843,0.69857,0.72256,0.81986,0.81986,0.81986
1,6,0.81986,0.77843,0.69857,0.72256,0.81986,0.81986,0.81986
1,7,0.81986,0.77843,0.69857,0.72256,0.81986,0.81986,0.81986
1,8,0.81967,0.778,0.69845,0.72237,0.81967,0.81967,0.81967
1,9,0.81967,0.778,0.69845,0.72237,0.81967,0.81967,0.81967
2,0,0.82612,0.78179,0.71904,0.74062,0.82612,0.82612,0.82612
2,1,0.82612,0.78179,0.71904,0.74062,0.82612,0.82612,0.82612
2,2,0.8263,0.78218,0.71916,0.74081,0.8263,0.8263,0.8263
2,3,0.82612,0.78179,0.71904,0.74062,0.82612,0.82612,0.82612
2,4,0.82612,0.78179,0.71904,0.74062,0.82612,0.82612,0.82612
2,5,0.82612,0.78179,0.71904,0.74062,0.82612,0.82612,0.82612
2,6,0.82612,0.78179,0.71904,0.74062,0.82612,0.82612,0.82612
2,7,0.82612,0.78179,0.71904,0.74062,0.82612,0.82612,0.82612
2,8,0.82612,0.78179,0.71904,0.74062,0.82612,0.82612,0.82612
2,9,0.82612,0.78179,0.71904,0.74062,0.82612,0.82612,0.82612
3,0,0.83238,0.78939,0.73259,0.75321,0.83238,0.83238,0.83238
3,1,0.8322,0.78915,0.73222,0.75286,0.8322,0.8322,0.8322
3,2,0.8322,0.78915,0.73222,0.75286,0.8322,0.8322,0.8322
3,3,0.83238,0.78939,0.73259,0.75321,0.83238,0.83238,0.83238
3,4,0.8322,0.78915,0.73222,0.75286,0.8322,0.8322,0.8322
3,5,0.83238,0.78953,0.73234,0.75306,0.83238,0.83238,0.83238
3,6,0.83238,0.78939,0.73259,0.75321,0.83238,0.83238,0.83238
3,7,0.8322,0.78915,0.73222,0.75286,0.8322,0.8322,0.8322
3,8,0.83238,0.78939,0.73259,0.75321,0.83238,0.83238,0.83238
3,9,0.83238,0.78939,0.73259,0.75321,0.83238,0.83238,0.83238
4,0,0.83533,0.79444,0.73628,0.7574,0.83533,0.83533,0.83533
4,1,0.83514,0.79406,0.73616,0.7572,0.83514,0.83514,0.83514
4,2,0.83533,0.79444,0.73628,0.7574,0.83533,0.83533,0.83533
4,3,0.83533,0.79444,0.73628,0.7574,0.83533,0.83533,0.83533
4,4,0.83533,0.79444,0.73628,0.7574,0.83533,0.83533,0.83533
4,5,0.83551,0.79467,0.73665,0.75774,0.83551,0.83551,0.83551
4,6,0.83533,0.79444,0.73628,0.7574,0.83533,0.83533,0.83533
4,7,0.83533,0.79444,0.73628,0.7574,0.83533,0.83533,0.83533
4,8,0.83533,0.79444,0.73628,0.7574,0.83533,0.83533,0.83533
4,9,0.83533,0.79444,0.73628,0.7574,0.83533,0.83533,0.83533
5,0,0.83607,0.79551,0.73751,0.75863,0.83607,0.83607,0.83607
5,1,0.83607,0.79551,0.73751,0.75863,0.83607,0.83607,0.83607
5,2,0.83607,0.79551,0.73751,0.75863,0.83607,0.83607,0.83607
5,3,0.83607,0.79551,0.73751,0.75863,0.83607,0.83607,0.83607
5,4,0.83643,0.79628,0.73776,0.75903,0.83643,0.83643,0.83643
5,5,0.83607,0.79551,0.73751,0.75863,0.83607,0.83607,0.83607
5,6,0.83607,0.79551,0.73751,0.75863,0.83607,0.83607,0.83607
5,7,0.83607,0.79551,0.73751,0.75863,0.83607,0.83607,0.83607
5,8,0.83607,0.79551,0.73751,0.75863,0.83607,0.83607,0.83607
5,9,0.83607,0.79551,0.73751,0.75863,0.83607,0.83607,0.83607
6,0,0.83699,0.79667,0.73936,0.76036,0.83699,0.83699,0.83699
6,1,0.83699,0.79667,0.73936,0.76036,0.83699,0.83699,0.83699
6,2,0.83662,0.79606,0.73887,0.75981,0.83662,0.83662,0.83662
6,3,0.83699,0.79652,0.73961,0.7605,0.83699,0.83699,0.83699
6,4,0.83662,0.79606,0.73887,0.75981,0.83662,0.83662,0.83662
6,5,0.8368,0.79644,0.73899,0.76001,0.8368,0.8368,0.8368
6,6,0.83699,0.79652,0.73961,0.7605,0.83699,0.83699,0.83699
6,7,0.83699,0.79667,0.73936,0.76036,0.83699,0.83699,0.83699
6,8,0.83699,0.79667,0.73936,0.76036,0.83699,0.83699,0.83699
6,9,0.83699,0.79652,0.73961,0.7605,0.83699,0.83699,0.83699
7,0,0.83846,0.79895,0.74158,0.76267,0.83846,0.83846,0.83846
7,1,0.83846,0.79895,0.74158,0.76267,0.83846,0.83846,0.83846
7,2,0.83846,0.79911,0.74133,0.76252,0.83846,0.83846,0.83846
7,3,0.83846,0.79895,0.74158,0.76267,0.83846,0.83846,0.83846
7,4,0.83809,0.7985,0.74084,0.76198,0.83809,0.83809,0.83809
7,5,0.83846,0.79895,0.74158,0.76267,0.83846,0.83846,0.83846
7,6,0.83846,0.79895,0.74158,0.76267,0.83846,0.83846,0.83846
7,7,0.83846,0.79895,0.74158,0.76267,0.83846,0.83846,0.83846
7,8,0.83846,0.79895,0.74158,0.76267,0.83846,0.83846,0.83846
7,9,0.83828,0.79873,0.74121,0.76232,0.83828,0.83828,0.83828
8,0,0.8392,0.80033,0.74231,0.7636,0.8392,0.8392,0.8392
8,1,0.83901,0.79994,0.74219,0.76341,0.83901,0.83901,0.83901
8,2,0.8392,0.80033,0.74231,0.7636,0.8392,0.8392,0.8392
8,3,0.83901,0.79994,0.74219,0.76341,0.83901,0.83901,0.83901
8,4,0.8392,0.80033,0.74231,0.7636,0.8392,0.8392,0.8392
8,5,0.8392,0.80033,0.74231,0.7636,0.8392,0.8392,0.8392
8,6,0.83901,0.79994,0.74219,0.76341,0.83901,0.83901,0.83901
8,7,0.8392,0.80033,0.74231,0.7636,0.8392,0.8392,0.8392
8,8,0.8392,0.80033,0.74231,0.7636,0.8392,0.8392,0.8392
8,9,0.8392,0.80033,0.74231,0.7636,0.8392,0.8392,0.8392
9,0,0.83957,0.80109,0.74256,0.764,0.83957,0.83957,0.83957
9,1,0.83957,0.80109,0.74256,0.764,0.83957,0.83957,0.83957
9,2,0.83957,0.80109,0.74256,0.764,0.83957,0.83957,0.83957
9,3,0.83957,0.80109,0.74256,0.764,0.83957,0.83957,0.83957
9,4,0.83957,0.80109,0.74256,0.764,0.83957,0.83957,0.83957
9,5,0.83957,0.80109,0.74256,0.764,0.83957,0.83957,0.83957
9,6,0.83957,0.80109,0.74256,0.764,0.83957,0.83957,0.83957
9,7,0.83957,0.80109,0.74256,0.764,0.83957,0.83957,0.83957
9,8,0.83957,0.80109,0.74256,0.764,0.83957,0.83957,0.83957
9,9,0.83957,0.80109,0.74256,0.764,0.83957,0.83957,0.83957
10,0,0.83864,0.79964,0.7412,0.76257,0.83864,0.83864,0.83864
10,1,0.83864,0.79964,0.7412,0.76257,0.83864,0.83864,0.83864
10,2,0.83864,0.79964,0.7412,0.76257,0.83864,0.83864,0.83864
10,3,0.83864,0.79964,0.7412,0.76257,0.83864,0.83864,0.83864
10,4,0.83864,0.79964,0.7412,0.76257,0.83864,0.83864,0.83864
10,5,0.83864,0.79964,0.7412,0.76257,0.83864,0.83864,0.83864
10,6,0.83864,0.79964,0.7412,0.76257,0.83864,0.83864,0.83864
10,7,0.83864,0.79964,0.7412,0.76257,0.83864,0.83864,0.83864
10,8,0.83864,0.79964,0.7412,0.76257,0.83864,0.83864,0.83864
10,9,0.83864,0.79964,0.7412,0.76257,0.83864,0.83864,0.83864
11,0,0.83864,0.79918,0.74195,0.76301,0.83864,0.83864,0.83864
11,1,0.83864,0.79918,0.74195,0.76301,0.83864,0.83864,0.83864
11,2,0.83846,0.79895,0.74158,0.76267,0.83846,0.83846,0.83846
11,3,0.83864,0.79918,0.74195,0.76301,0.83864,0.83864,0.83864
11,4,0.83846,0.79895,0.74158,0.76267,0.83846,0.83846,0.83846
11,5,0.83846,0.79895,0.74158,0.76267,0.83846,0.83846,0.83846
11,6,0.83864,0.79918,0.74195,0.76301,0.83864,0.83864,0.83864
11,7,0.83864,0.79918,0.74195,0.76301,0.83864,0.83864,0.83864
11,8,0.83846,0.79895,0.74158,0.76267,0.83846,0.83846,0.83846
11,9,0.83864,0.79918,0.74195,0.76301,0.83864,0.83864,0.83864
12,0,0.83883,0.80018,0.74108,0.76263,0.83883,0.83883,0.83883
12,1,0.83883,0.80018,0.74108,0.76263,0.83883,0.83883,0.83883
12,2,0.83883,0.80018,0.74108,0.76263,0.83883,0.83883,0.83883
12,3,0.83883,0.80018,0.74108,0.76263,0.83883,0.83883,0.83883
12,4,0.83883,0.80018,0.74108,0.76263,0.83883,0.83883,0.83883
12,5,0.83883,0.80018,0.74108,0.76263,0.83883,0.83883,0.83883
12,6,0.83883,0.80018,0.74108,0.76263,0.83883,0.83883,0.83883
12,7,0.83883,0.80018,0.74108,0.76263,0.83883,0.83883,0.83883
12,8,0.83883,0.80018,0.74108,0.76263,0.83883,0.83883,0.83883
12,9,0.83864,0.79996,0.74071,0.76228,0.83864,0.83864,0.83864
13,0,0.83883,0.80003,0.74133,0.76277,0.83883,0.83883,0.83883
13,1,0.83883,0.80003,0.74133,0.76277,0.83883,0.83883,0.83883
13,2,0.83846,0.79957,0.74059,0.76208,0.83846,0.83846,0.83846
13,3,0.83883,0.80003,0.74133,0.76277,0.83883,0.83883,0.83883
13,4,0.83864,0.7998,0.74096,0.76243,0.83864,0.83864,0.83864
13,5,0.83883,0.80003,0.74133,0.76277,0.83883,0.83883,0.83883
13,6,0.83883,0.80003,0.74133,0.76277,0.83883,0.83883,0.83883
