round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.66439,0.49769,0.49826,0.49326,0.66439,0.66439,0.66439
2,0.74286,0.61379,0.55003,0.54404,0.74286,0.74286,0.74286
3,0.76681,0.68585,0.5835,0.58863,0.76681,0.76681,0.76681
4,0.79407,0.74377,0.63968,0.6595,0.79407,0.79407,0.79407
5,0.81065,0.77152,0.6722,0.69655,0.81065,0.81065,0.81065
6,0.81267,0.77219,0.67898,0.70332,0.81267,0.81267,0.81267
7,0.81544,0.77442,0.68674,0.71106,0.81544,0.81544,0.81544
8,0.8182,0.77541,0.69623,0.71991,0.8182,0.8182,0.8182
9,0.8193,0.77594,0.69993,0.72329,0.8193,0.8193,0.8193
10,0.82133,0.77713,0.70647,0.72917,0.82133,0.82133,0.82133
11,0.8228,0.77867,0.71016,0.73262,0.8228,0.8228,0.8228
12,0.82557,0.78239,0.71571,0.73805,0.82557,0.82557,0.82557
13,0.82612,0.78267,0.71756,0.73963,0.82612,0.82612,0.82612
14,0.82649,0.78213,0.72002,0.74149,0.82649,0.82649,0.82649
15,0.82851,0.78495,0.72384,0.74523,0.82851,0.82851,0.82851
16,0.82888,0.78557,0.72433,0.74578,0.82888,0.82888,0.82888
17,0.82962,0.78554,0.72754,0.74829,0.82962,0.82962,0.82962
18,0.83017,0.7864,0.7284,0.74918,0.83017,0.83017,0.83017
19,0.83164,0.78887,0.73037,0.75136,0.83164,0.83164,0.83164
20,0.83164,0.78858,0.73086,0.75166,0.83164,0.83164,0.83164
21,0.8322,0.78943,0.73173,0.75256,0.8322,0.8322,0.8322
22,0.83293,0.79052,0.73296,0.75379,0.83293,0.83293,0.83293
23,0.83349,0.79123,0.73407,0.75483,0.83349,0.83349,0.83349
24,0.83441,0.79283,0.73517,0.75612,0.83441,0.83441,0.83441
25,0.83459,0.79351,0.7348,0.75601,0.83459,0.83459,0.83459
26,0.83422,0.79274,0.73456,0.75562,0.83422,0.83422,0.83422
27,0.83496,0.79382,0.73579,0.75686,0.83496,0.83496,0.83496
28,0.83551,0.79497,0.73616,0.75745,0.83551,0.83551,0.83551
29,0.83551,0.79497,0.73616,0.75745,0.83551,0.83551,0.83551
30,0.83588,0.79528,0.73714,0.75829,0.83588,0.83588,0.83588
31,0.83643,0.79612,0.738,0.75917,0.83643,0.83643,0.83643
32,0.83699,0.79682,0.73911,0.76021,0.83699,0.83699,0.83699
33,0.83662,0.79651,0.73813,0.75937,0.83662,0.83662,0.83662
34,0.83643,0.79612,0.738,0.75917,0.83643,0.83643,0.83643
35,0.83699,0.79697,0.73887,0.76006,0.83699,0.83699,0.83699
36,0.8368,0.79674,0.7385,0.75972,0.8368,0.8368,0.8368
37,0.83643,0.79643,0.73751,0.75888,0.83643,0.83643,0.83643
38,0.83809,0.79834,0.74108,0.76213,0.83809,0.83809,0.83809
39,0.83791,0.79781,0.74121,0.76207,0.83791,0.83791,0.83791
40,0.83754,0.79766,0.73997,0.76109,0.83754,0.83754,0.83754
41,0.83772,0.79804,0.7401,0.76129,0.83772,0.83772,0.83772
42,0.83735,0.79728,0.73985,0.7609,0.83735,0.83735,0.83735
43,0.83754,0.79781,0.73973,0.76095,0.83754,0.83754,0.83754
44,0.83791,0.79873,0.73973,0.7612,0.83791,0.83791,0.83791
45,0.83754,0.79751,0.74022,0.76124,0.83754,0.83754,0.83754
46,0.83772,0.79774,0.74059,0.76158,0.83772,0.83772,0.83772
47,0.83772,0.79804,0.7401,0.76129,0.83772,0.83772,0.83772
48,0.83754,0.79736,0.74047,0.76139,0.83754,0.83754,0.83754
49,0.83754,0.79706,0.74096,0.76168,0.83754,0.83754,0.83754
50,0.83809,0.79775,0.74207,0.76271,0.83809,0.83809,0.83809
