round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.7977,0.77489,0.64796,0.66938,0.7977,0.7977,0.7977
1,1,0.83448,0.75838,0.71468,0.732,0.83448,0.83448,0.83448
1,3,0.77471,0.72786,0.62126,0.63522,0.77471,0.77471,0.77471
1,7,0.81336,0.79643,0.70149,0.72607,0.81336,0.81336,0.81336
1,8,0.80184,0.77551,0.69058,0.71243,0.80184,0.80184,0.80184
2,2,0.86667,0.82422,0.78015,0.79851,0.86667,0.86667,0.86667
2,4,0.82258,0.78281,0.73473,0.75245,0.82258,0.82258,0.82258
2,5,0.81797,0.72581,0.66685,0.68659,0.81797,0.81797,0.81797
2,7,0.82258,0.79708,0.72876,0.75074,0.82258,0.82258,0.82258
2,8,0.80184,0.76263,0.7086,0.72631,0.80184,0.80184,0.80184
3,2,0.86437,0.81609,0.78567,0.79905,0.86437,0.86437,0.86437
3,3,0.77471,0.71807,0.63519,0.65099,0.77471,0.77471,0.77471
3,4,0.82719,0.78464,0.75177,0.7652,0.82719,0.82719,0.82719
3,7,0.81797,0.79167,0.72035,0.74246,0.81797,0.81797,0.81797
3,9,0.81797,0.7903,0.69918,0.72427,0.81797,0.81797,0.81797
4,1,0.83218,0.75194,0.72496,0.73665,0.83218,0.83218,0.83218
4,2,0.86437,0.81609,0.78567,0.79905,0.86437,0.86437,0.86437
4,4,0.8341,0.79668,0.75647,0.77238,0.8341,0.8341,0.8341
4,8,0.80415,0.76556,0.71277,0.73039,0.80415,0.80415,0.80415
4,9,0.82719,0.78881,0.73409,0.75376,0.82719,0.82719,0.82719
5,0,0.7977,0.75646,0.66519,0.6866,0.7977,0.7977,0.7977
5,3,0.78161,0.72974,0.64823,0.6659,0.78161,0.78161,0.78161
5,4,0.83641,0.79802,0.7636,0.77772,0.83641,0.83641,0.83641
5,6,0.80876,0.76417,0.65035,0.67405,0.80876,0.80876,0.80876
5,7,0.82719,0.8046,0.73455,0.75721,0.82719,0.82719,0.82719
6,0,0.8092,0.77084,0.69018,0.71282,0.8092,0.8092,0.8092
6,1,0.82989,0.74757,0.72741,0.73646,0.82989,0.82989,0.82989
6,2,0.86667,0.81889,0.79067,0.80322,0.86667,0.86667,0.86667
6,4,0.8341,0.79406,0.76203,0.77531,0.8341,0.8341,0.8341
6,8,0.80415,0.76426,0.71534,0.73216,0.80415,0.80415,0.80415
7,0,0.81379,0.77501,0.7019,0.72413,0.81379,0.81379,0.81379
7,3,0.78391,0.73347,0.65258,0.67077,0.78391,0.78391,0.78391
7,4,0.8341,0.79531,0.75925,0.77386,0.8341,0.8341,0.8341
7,5,0.82028,0.72804,0.69253,0.7068,0.82028,0.82028,0.82028
7,9,0.82488,0.78433,0.73253,0.75136,0.82488,0.82488,0.82488
8,0,0.81149,0.77191,0.69748,0.71963,0.81149,0.81149,0.81149
8,1,0.82989,0.74791,0.7235,0.7342,0.82989,0.82989,0.82989
8,4,0.8341,0.79531,0.75925,0.77386,0.8341,0.8341,0.8341
8,8,0.80415,0.76306,0.71791,0.73389,0.80415,0.80415,0.80415
