round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.8092,0.77824,0.68157,0.70565,0.8092,0.8092,0.8092
1,1,0.82989,0.74791,0.7235,0.7342,0.82989,0.82989,0.82989
1,2,0.86437,0.81459,0.78918,0.8006,0.86437,0.86437,0.86437
1,3,0.77471,0.71807,0.63519,0.65099,0.77471,0.77471,0.77471
1,4,0.82719,0.78579,0.74898,0.76367,0.82719,0.82719,0.82719
1,5,0.82028,0.72804,0.69253,0.7068,0.82028,0.82028,0.82028
1,6,0.82719,0.7843,0.69869,0.72446,0.82719,0.82719,0.82719
1,7,0.82028,0.7923,0.72717,0.74837,0.82028,0.82028,0.82028
1,8,0.80415,0.76556,0.71277,0.73039,0.80415,0.80415,0.80415
1,9,0.82719,0.78719,0.73695,0.7555,0.82719,0.82719,0.82719
2,0,0.81839,0.78541,0.70501,0.72882,0.81839,0.81839,0.81839
2,1,0.82759,0.74397,0.72203,0.73176,0.82759,0.82759,0.82759
2,2,0.86437,0.81459,0.78918,0.8006,0.86437,0.86437,0.86437
2,3,0.77471,0.71807,0.63519,0.65099,0.77471,0.77471,0.77471
2,4,0.83871,0.80205,0.76516,0.78014,0.83871,0.83871,0.83871
2,5,0.83641,0.75646,0.71888,0.73435,0.83641,0.83641,0.83641
2,6,0.83871,0.80849,0.71285,0.74167,0.83871,0.83871,0.83871
2,7,0.8341,0.80623,0.755,0.77386,0.8341,0.8341,0.8341
2,8,0.80645,0.76846,0.71693,0.73444,0.80645,0.80645,0.80645
2,9,0.8318,0.79444,0.74294,0.76202,0.8318,0.8318,0.8318
3,0,0.81609,0.78241,0.70059,0.7243,0.81609,0.81609,0.81609
3,1,0.82759,0.74374,0.72595,0.73402,0.82759,0.82759,0.82759
3,2,0.86437,0.81773,0.78216,0.79747,0.86437,0.86437,0.86437
3,3,0.78391,0.73347,0.65258,0.67077,0.78391,0.78391,0.78391
3,4,0.84332,0.80879,0.77108,0.78642,0.84332,0.84332,0.84332
3,5,0.83641,0.75511,0.72696,0.73915,0.83641,0.83641,0.83641
3,6,0.84562,0.82049,0.72398,0.75385,0.84562,0.84562,0.84562
3,7,0.84101,0.81569,0.76499,0.78398,0.84101,0.84101,0.84101
3,8,0.80415,0.76426,0.71534,0.73216,0.80415,0.80415,0.80415
3,9,0.84332,0.81359,0.75646,0.77754,0.84332,0.84332,0.84332
4,0,0.81839,0.78315,0.70788,0.73094,0.81839,0.81839,0.81839
4,1,0.82989,0.74731,0.73132,0.73867,0.82989,0.82989,0.82989
4,2,0.86667,0.82229,0.78366,0.80012,0.86667,0.86667,0.86667
4,3,0.78621,0.73713,0.65693,0.6756,0.78621,0.78621,0.78621
4,4,0.84562,0.81295,0.77265,0.78888,0.84562,0.84562,0.84562
4,5,0.8341,0.75057,0.72954,0.73897,0.8341,0.8341,0.8341
4,6,0.84562,0.81722,0.72727,0.75603,0.84562,0.84562,0.84562
4,7,0.84101,0.81569,0.76499,0.78398,0.84101,0.84101,0.84101
4,8,0.80645,0.76846,0.71693,0.73444,0.80645,0.80645,0.80645
4,9,0.84332,0.80974,0.76219,0.78063,0.84332,0.84332,0.84332
5,0,0.82299,0.79129,0.71386,0.73775,0.82299,0.82299,0.82299
5,1,0.82759,0.74397,0.72203,0.73176,0.82759,0.82759,0.82759
5,2,0.87356,0.83235,0.79515,0.81121,0.87356,0.87356,0.87356
5,3,0.78851,0.7445,0.65571,0.6751,0.78851,0.78851,0.78851
