round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.82612,0.78179,0.71904,0.74062,0.82612,0.82612,0.82612
2,0.83514,0.79376,0.73665,0.7575,0.83514,0.83514,0.83514
3,0.8368,0.79659,0.73874,0.75986,0.8368,0.8368,0.8368
4,0.83883,0.79956,0.74207,0.76321,0.83883,0.83883,0.83883
5,0.83938,0.8004,0.74293,0.76409,0.83938,0.83938,0.83938
6,0.8392,0.80096,0.74133,0.76302,0.8392,0.8392,0.8392
7,0.83938,0.80102,0.74194,0.76351,0.83938,0.83938,0.83938
8,0.83901,0.80057,0.7412,0.76283,0.83901,0.83901,0.83901
9,0.83975,0.80116,0.74317,0.76449,0.83975,0.83975,0.83975
10,0.8392,0.80033,0.74231,0.7636,0.8392,0.8392,0.8392
11,0.83957,0.80063,0.7433,0.76443,0.83957,0.83957,0.83957
12,0.83938,0.8004,0.74293,0.76409,0.83938,0.83938,0.83938
13,0.83938,0.8004,0.74293,0.76409,0.83938,0.83938,0.83938
14,0.83883,0.79941,0.74231,0.76335,0.83883,0.83883,0.83883
15,0.83883,0.79972,0.74182,0.76306,0.83883,0.83883,0.83883
16,0.83864,0.79918,0.74195,0.76301,0.83864,0.83864,0.83864
17,0.83864,0.79949,0.74145,0.76272,0.83864,0.83864,0.83864
18,0.83828,0.79857,0.74145,0.76247,0.83828,0.83828,0.83828
19,0.83828,0.79842,0.7417,0.76261,0.83828,0.83828,0.83828
20,0.83864,0.79918,0.74195,0.76301,0.83864,0.83864,0.83864
21,0.83883,0.79926,0.74256,0.7635,0.83883,0.83883,0.83883
22,0.83864,0.79903,0.74219,0.76315,0.83864,0.83864,0.83864
23,0.83846,0.79895,0.74158,0.76267,0.83846,0.83846,0.83846
24,0.83864,0.79888,0.74244,0.7633,0.83864,0.83864,0.83864
25,0.83883,0.79926,0.74256,0.7635,0.83883,0.83883,0.83883
26,0.83864,0.79888,0.74244,0.7633,0.83864,0.83864,0.83864
27,0.83846,0.79865,0.74207,0.76296,0.83846,0.83846,0.83846
28,0.83828,0.79827,0.74195,0.76276,0.83828,0.83828,0.83828
29,0.83846,0.79865,0.74207,0.76296,0.83846,0.83846,0.83846
30,0.83828,0.79857,0.74145,0.76247,0.83828,0.83828,0.83828
31,0.83846,0.79895,0.74158,0.76267,0.83846,0.83846,0.83846
32,0.83864,0.79933,0.7417,0.76287,0.83864,0.83864,0.83864
33,0.83883,0.79941,0.74231,0.76335,0.83883,0.83883,0.83883
34,0.83864,0.79903,0.74219,0.76315,0.83864,0.83864,0.83864
35,0.83846,0.79895,0.74158,0.76267,0.83846,0.83846,0.83846
36,0.83864,0.79888,0.74244,0.7633,0.83864,0.83864,0.83864
37,0.83846,0.79895,0.74158,0.76267,0.83846,0.83846,0.83846
38,0.83846,0.7985,0.74232,0.7631,0.83846,0.83846,0.83846
39,0.83901,0.79979,0.74244,0.76355,0.83901,0.83901,0.83901
40,0.8392,0.80017,0.74256,0.76375,0.8392,0.8392,0.8392
41,0.83901,0.79979,0.74244,0.76355,0.83901,0.83901,0.83901
42,0.8392,0.80002,0.74281,0.76389,0.8392,0.8392,0.8392
43,0.83901,0.79994,0.74219,0.76341,0.83901,0.83901,0.83901
44,0.83883,0.79972,0.74182,0.76306,0.83883,0.83883,0.83883
45,0.83864,0.79933,0.7417,0.76287,0.83864,0.83864,0.83864
46,0.8392,0.80017,0.74256,0.76375,0.8392,0.8392,0.8392
47,0.83883,0.79972,0.74182,0.76306,0.83883,0.83883,0.83883
48,0.83864,0.79918,0.74195,0.76301,0.83864,0.83864,0.83864
49,0.83864,0.79933,0.7417,0.76287,0.83864,0.83864,0.83864
50,0.83864,0.79903,0.74219,0.76315,0.83864,0.83864,0.83864
