round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.82612,0.78179,0.71904,0.74062,0.82612,0.82612,0.82612
1,1,0.82612,0.78179,0.71904,0.74062,0.82612,0.82612,0.82612
1,2,0.82593,0.78154,0.71867,0.74026,0.82593,0.82593,0.82593
1,3,0.82612,0.78179,0.71904,0.74062,0.82612,0.82612,0.82612
1,4,0.82575,0.78116,0.71855,0.74007,0.82575,0.82575,0.82575
1,5,0.82612,0.78179,0.71904,0.74062,0.82612,0.82612,0.82612
1,6,0.82593,0.78154,0.71867,0.74026,0.82593,0.82593,0.82593
1,7,0.82612,0.78179,0.71904,0.74062,0.82612,0.82612,0.82612
1,8,0.82612,0.78179,0.71904,0.74062,0.82612,0.82612,0.82612
1,9,0.82612,0.78179,0.71904,0.74062,0.82612,0.82612,0.82612
2,0,0.83514,0.79376,0.73665,0.7575,0.83514,0.83514,0.83514
2,1,0.83514,0.79376,0.73665,0.7575,0.83514,0.83514,0.83514
2,2,0.83551,0.79452,0.7369,0.75789,0.83551,0.83551,0.83551
2,3,0.83514,0.79376,0.73665,0.7575,0.83514,0.83514,0.83514
2,4,0.83514,0.79376,0.73665,0.7575,0.83514,0.83514,0.83514
2,5,0.83514,0.79376,0.73665,0.7575,0.83514,0.83514,0.83514
2,6,0.83514,0.79376,0.73665,0.7575,0.83514,0.83514,0.83514
2,7,0.83533,0.79414,0.73677,0.7577,0.83533,0.83533,0.83533
2,8,0.83514,0.79376,0.73665,0.7575,0.83514,0.83514,0.83514
2,9,0.83514,0.79376,0.73665,0.7575,0.83514,0.83514,0.83514
3,0,0.8368,0.79659,0.73874,0.75986,0.8368,0.8368,0.8368
3,1,0.83717,0.79705,0.73948,0.76055,0.83717,0.83717,0.83717
3,2,0.83699,0.79682,0.73911,0.76021,0.83699,0.83699,0.83699
3,3,0.8368,0.79659,0.73874,0.75986,0.8368,0.8368,0.8368
3,4,0.83699,0.79682,0.73911,0.76021,0.83699,0.83699,0.83699
3,5,0.83699,0.79682,0.73911,0.76021,0.83699,0.83699,0.83699
3,6,0.8368,0.79659,0.73874,0.75986,0.8368,0.8368,0.8368
3,7,0.83717,0.79705,0.73948,0.76055,0.83717,0.83717,0.83717
3,8,0.8368,0.79659,0.73874,0.75986,0.8368,0.8368,0.8368
3,9,0.83662,0.79621,0.73862,0.75967,0.83662,0.83662,0.83662
