round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.81912,0.77636,0.69858,0.72217,0.81912,0.81912,0.81912
2,0.8263,0.78189,0.71965,0.74114,0.8263,0.8263,0.8263
3,0.83183,0.78925,0.73049,0.75155,0.83183,0.83183,0.83183
4,0.83588,0.79498,0.73764,0.75858,0.83588,0.83588,0.83588
5,0.83662,0.79606,0.73887,0.75981,0.83662,0.83662,0.83662
6,0.83717,0.7969,0.73973,0.7607,0.83717,0.83717,0.83717
7,0.83828,0.79873,0.74121,0.76232,0.83828,0.83828,0.83828
8,0.83883,0.79972,0.74182,0.76306,0.83883,0.83883,0.83883
9,0.83938,0.80087,0.74219,0.76366,0.83938,0.83938,0.83938
10,0.83864,0.79964,0.7412,0.76257,0.83864,0.83864,0.83864
11,0.83828,0.79873,0.74121,0.76232,0.83828,0.83828,0.83828
12,0.83846,0.79942,0.74083,0.76223,0.83846,0.83846,0.83846
13,0.83901,0.80025,0.7417,0.76312,0.83901,0.83901,0.83901
14,0.83901,0.8001,0.74194,0.76326,0.83901,0.83901,0.83901
15,0.83957,0.80109,0.74256,0.764,0.83957,0.83957,0.83957
16,0.8392,0.80048,0.74207,0.76346,0.8392,0.8392,0.8392
17,0.83957,0.80125,0.74231,0.76386,0.83957,0.83957,0.83957
18,0.83975,0.80116,0.74317,0.76449,0.83975,0.83975,0.83975
19,0.83993,0.8017,0.74305,0.76454,0.83993,0.83993,0.83993
20,0.83975,0.80101,0.74342,0.76463,0.83975,0.83975,0.83975
21,0.84012,0.80146,0.74416,0.76532,0.84012,0.84012,0.84012
22,0.83975,0.80101,0.74342,0.76463,0.83975,0.83975,0.83975
23,0.83975,0.80085,0.74367,0.76478,0.83975,0.83975,0.83975
24,0.83938,0.80025,0.74318,0.76424,0.83938,0.83938,0.83938
25,0.83938,0.8004,0.74293,0.76409,0.83938,0.83938,0.83938
26,0.8392,0.80017,0.74256,0.76375,0.8392,0.8392,0.8392
27,0.83864,0.79918,0.74195,0.76301,0.83864,0.83864,0.83864
28,0.83864,0.79918,0.74195,0.76301,0.83864,0.83864,0.83864
29,0.83901,0.79994,0.74219,0.76341,0.83901,0.83901,0.83901
30,0.83864,0.79933,0.7417,0.76287,0.83864,0.83864,0.83864
31,0.83864,0.79933,0.7417,0.76287,0.83864,0.83864,0.83864
32,0.83809,0.79834,0.74108,0.76213,0.83809,0.83809,0.83809
33,0.83883,0.79972,0.74182,0.76306,0.83883,0.83883,0.83883
34,0.83846,0.79895,0.74158,0.76267,0.83846,0.83846,0.83846
35,0.83883,0.79972,0.74182,0.76306,0.83883,0.83883,0.83883
36,0.83883,0.79956,0.74207,0.76321,0.83883,0.83883,0.83883
37,0.83864,0.79918,0.74195,0.76301,0.83864,0.83864,0.83864
38,0.83846,0.7988,0.74182,0.76281,0.83846,0.83846,0.83846
39,0.83828,0.79857,0.74145,0.76247,0.83828,0.83828,0.83828
40,0.83864,0.79903,0.74219,0.76315,0.83864,0.83864,0.83864
41,0.83864,0.79888,0.74244,0.7633,0.83864,0.83864,0.83864
42,0.83864,0.79888,0.74244,0.7633,0.83864,0.83864,0.83864
43,0.83809,0.79819,0.74133,0.76227,0.83809,0.83809,0.83809
44,0.83864,0.79888,0.74244,0.7633,0.83864,0.83864,0.83864
45,0.83828,0.79842,0.7417,0.76261,0.83828,0.83828,0.83828
46,0.83864,0.79903,0.74219,0.76315,0.83864,0.83864,0.83864
47,0.83846,0.79865,0.74207,0.76296,0.83846,0.83846,0.83846
48,0.83864,0.79888,0.74244,0.7633,0.83864,0.83864,0.83864
49,0.83828,0.79842,0.7417,0.76261,0.83828,0.83828,0.83828
50,0.83864,0.79888,0.74244,0.7633,0.83864,0.83864,0.83864
