round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.8046,0.77467,0.66985,0.69336,0.8046,0.8046,0.8046
1,1,0.83678,0.76029,0.72788,0.74161,0.83678,0.83678,0.83678
1,2,0.87126,0.82776,0.79366,0.80853,0.87126,0.87126,0.87126
1,3,0.77241,0.714,0.63084,0.64592,0.77241,0.77241,0.77241
1,4,0.82258,0.779,0.74307,0.75737,0.82258,0.82258,0.82258
1,5,0.81336,0.71566,0.68009,0.69409,0.81336,0.81336,0.81336
1,6,0.82028,0.77419,0.68427,0.7095,0.82028,0.82028,0.82028
1,7,0.81797,0.79167,0.72035,0.74246,0.81797,0.81797,0.81797
1,8,0.80415,0.76698,0.71019,0.72858,0.80415,0.80415,0.80415
1,9,0.82258,0.78305,0.72524,0.74536,0.82258,0.82258,0.82258
2,0,0.81149,0.77399,0.69461,0.71741,0.81149,0.81149,0.81149
2,1,0.82759,0.74397,0.72203,0.73176,0.82759,0.82759,0.82759
2,2,0.86667,0.81889,0.79067,0.80322,0.86667,0.86667,0.86667
2,3,0.77471,0.71807,0.63519,0.65099,0.77471,0.77471,0.77471
2,4,0.8341,0.79406,0.76203,0.77531,0.8341,0.8341,0.8341
2,5,0.8341,0.75274,0.71339,0.72935,0.8341,0.8341,0.8341
2,6,0.83641,0.8024,0.71133,0.73915,0.83641,0.83641,0.83641
2,7,0.82488,0.79397,0.7408,0.75973,0.82488,0.82488,0.82488
2,8,0.80645,0.76846,0.71693,0.73444,0.80645,0.80645,0.80645
2,9,0.82949,0.79164,0.73851,0.75791,0.82949,0.82949,0.82949
3,0,0.81149,0.77191,0.69748,0.71963,0.81149,0.81149,0.81149
3,1,0.82759,0.74397,0.72203,0.73176,0.82759,0.82759,0.82759
3,2,0.86207,0.81176,0.78418,0.79644,0.86207,0.86207,0.86207
3,3,0.77701,0.72204,0.63954,0.656,0.77701,0.77701,0.77701
3,4,0.83641,0.79802,0.7636,0.77772,0.83641,0.83641,0.83641
3,5,0.83641,0.75646,0.71888,0.73435,0.83641,0.83641,0.83641
3,6,0.84793,0.82682,0.7255,0.75643,0.84793,0.84793,0.84793
3,7,0.8341,0.80623,0.755,0.77386,0.8341,0.8341,0.8341
3,8,0.80415,0.76426,0.71534,0.73216,0.80415,0.80415,0.80415
3,9,0.83871,0.80627,0.75048,0.77099,0.83871,0.83871,0.83871
4,0,0.81609,0.78014,0.70346,0.72647,0.81609,0.81609,0.81609
4,1,0.83218,0.75149,0.72887,0.73891,0.83218,0.83218,0.83218
4,2,0.86667,0.82229,0.78366,0.80012,0.86667,0.86667,0.86667
4,3,0.78391,0.73347,0.65258,0.67077,0.78391,0.78391,0.78391
4,4,0.84101,0.8047,0.76951,0.78398,0.84101,0.84101,0.84101
4,5,0.83641,0.75511,0.72696,0.73915,0.83641,0.83641,0.83641
4,6,0.84793,0.82682,0.7255,0.75643,0.84793,0.84793,0.84793
4,7,0.84101,0.81569,0.76499,0.78398,0.84101,0.84101,0.84101
4,8,0.80415,0.76426,0.71534,0.73216,0.80415,0.80415,0.80415
4,9,0.84332,0.81359,0.75646,0.77754,0.84332,0.84332,0.84332
5,0,0.81609,0.78014,0.70346,0.72647,0.81609,0.81609,0.81609
5,1,0.83218,0.75112,0.73279,0.74112,0.83218,0.83218,0.83218
5,2,0.86667,0.82229,0.78366,0.80012,0.86667,0.86667,0.86667
5,3,0.78851,0.73907,0.66406,0.68294,0.78851,0.78851,0.78851
5,4,0.84101,0.8047,0.76951,0.78398,0.84101,0.84101,0.84101
5,5,0.83871,0.75871,0.73245,0.74397,0.83871,0.83871,0.83871
5,6,0.84562,0.82049,0.72398,0.75385,0.84562,0.84562,0.84562
5,7,0.84101,0.81569,0.76499,0.78398,0.84101,0.84101,0.84101
5,8,0.80876,0.77275,0.71852,0.73673,0.80876,0.80876,0.80876
5,9,0.84562,0.81237,0.76662,0.7846,0.84562,0.84562,0.84562
6,0,0.82069,0.78837,0.70943,0.73331,0.82069,0.82069,0.82069
6,1,0.83218,0.75194,0.72496,0.73665,0.83218,0.83218,0.83218
6,2,0.87126,0.82967,0.79015,0.80701,0.87126,0.87126,0.87126
6,3,0.78621,0.73713,0.65693,0.6756,0.78621,0.78621,0.78621
6,4,0.84332,0.81207,0.76552,0.78359,0.84332,0.84332,0.84332
6,5,0.8341,0.75057,0.72954,0.73897,0.8341,0.8341,0.8341
6,6,0.84332,0.81435,0.72247,0.75129,0.84332,0.84332,0.84332
6,7,0.84101,0.81569,0.76499,0.78398,0.84101,0.84101,0.84101
6,8,0.80645,0.76988,0.71436,0.73267,0.80645,0.80645,0.80645
6,9,0.84562,0.81237,0.76662,0.7846,0.84562,0.84562,0.84562
7,0,0.82069,0.78837,0.70943,0.73331,0.82069,0.82069,0.82069
7,1,0.83218,0.75194,0.72496,0.73665,0.83218,0.83218,0.83218
7,2,0.87356,0.83235,0.79515,0.81121,0.87356,0.87356,0.87356
7,3,0.78621,0.7389,0.65414,0.67293,0.78621,0.78621,0.78621
7,4,0.84101,0.80775,0.76395,0.78114,0.84101,0.84101,0.84101
7,5,0.83871,0.75816,0.73649,0.74622,0.83871,0.83871,0.83871
