round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.81544,0.77561,0.68526,0.70985,0.81544,0.81544,0.81544
1,1,0.81544,0.77561,0.68526,0.70985,0.81544,0.81544,0.81544
1,3,0.81544,0.77561,0.68526,0.70985,0.81544,0.81544,0.81544
1,7,0.81544,0.77561,0.68526,0.70985,0.81544,0.81544,0.81544
1,8,0.81544,0.77561,0.68526,0.70985,0.81544,0.81544,0.81544
2,2,0.81967,0.77181,0.70833,0.72955,0.81967,0.81967,0.81967
2,4,0.81967,0.77181,0.70833,0.72955,0.81967,0.81967,0.81967
2,5,0.81967,0.77181,0.70833,0.72955,0.81967,0.81967,0.81967
2,7,0.81967,0.77181,0.70833,0.72955,0.81967,0.81967,0.81967
2,8,0.81967,0.77181,0.70833,0.72955,0.81967,0.81967,0.81967
3,2,0.82244,0.77684,0.71165,0.73343,0.82244,0.82244,0.82244
3,3,0.82244,0.77684,0.71165,0.73343,0.82244,0.82244,0.82244
3,4,0.82244,0.77684,0.71165,0.73343,0.82244,0.82244,0.82244
3,7,0.82244,0.77684,0.71165,0.73343,0.82244,0.82244,0.82244
3,9,0.82244,0.77684,0.71165,0.73343,0.82244,0.82244,0.82244
4,1,0.82722,0.78173,0.72397,0.74451,0.82722,0.82722,0.82722
4,2,0.82722,0.78173,0.72397,0.74451,0.82722,0.82722,0.82722
4,4,0.82722,0.78173,0.72397,0.74451,0.82722,0.82722,0.82722
4,8,0.82722,0.78173,0.72397,0.74451,0.82722,0.82722,0.82722
4,9,0.82722,0.78173,0.72397,0.74451,0.82722,0.82722,0.82722
5,0,0.82649,0.78439,0.71632,0.73902,0.82649,0.82649,0.82649
5,3,0.82649,0.78439,0.71632,0.73902,0.82649,0.82649,0.82649
5,4,0.82649,0.78439,0.71632,0.73902,0.82649,0.82649,0.82649
5,6,0.82649,0.78439,0.71632,0.73902,0.82649,0.82649,0.82649
5,7,0.82649,0.78439,0.71632,0.73902,0.82649,0.82649,0.82649
6,0,0.83164,0.78762,0.73259,0.75273,0.83164,0.83164,0.83164
6,1,0.83164,0.78762,0.73259,0.75273,0.83164,0.83164,0.83164
6,2,0.83164,0.78762,0.73259,0.75273,0.83164,0.83164,0.83164
6,4,0.83164,0.78762,0.73259,0.75273,0.83164,0.83164,0.83164
6,8,0.83164,0.78762,0.73259,0.75273,0.83164,0.83164,0.83164
7,0,0.83164,0.79035,0.7279,0.74981,0.83164,0.83164,0.83164
7,3,0.83164,0.79035,0.7279,0.74981,0.83164,0.83164,0.83164
7,4,0.83164,0.79035,0.7279,0.74981,0.83164,0.83164,0.83164
7,5,0.83164,0.79035,0.7279,0.74981,0.83164,0.83164,0.83164
7,9,0.83164,0.79035,0.7279,0.74981,0.83164,0.83164,0.83164
8,0,0.83404,0.79207,0.73493,0.75572,0.83404,0.83404,0.83404
8,1,0.83404,0.79207,0.73493,0.75572,0.83404,0.83404,0.83404
8,4,0.83404,0.79207,0.73493,0.75572,0.83404,0.83404,0.83404
8,8,0.83404,0.79207,0.73493,0.75572,0.83404,0.83404,0.83404
8,9,0.83404,0.79207,0.73493,0.75572,0.83404,0.83404,0.83404
9,1,0.8357,0.79291,0.74048,0.76014,0.8357,0.8357,0.8357
9,4,0.8357,0.79291,0.74048,0.76014,0.8357,0.8357,0.8357
9,5,0.8357,0.79291,0.74048,0.76014,0.8357,0.8357,0.8357
9,7,0.8357,0.79291,0.74048,0.76014,0.8357,0.8357,0.8357
9,8,0.8357,0.79291,0.74048,0.76014,0.8357,0.8357,0.8357
10,2,0.83459,0.79206,0.73727,0.7575,0.83459,0.83459,0.83459
10,4,0.83459,0.79206,0.73727,0.7575,0.83459,0.83459,0.83459
10,6,0.83459,0.79206,0.73727,0.7575,0.83459,0.83459,0.83459
10,7,0.83459,0.79206,0.73727,0.7575,0.83459,0.83459,0.83459
10,9,0.83459,0.79206,0.73727,0.7575,0.83459,0.83459,0.83459
11,0,0.83643,0.79597,0.73825,0.75932,0.83643,0.83643,0.83643
11,2,0.83643,0.79597,0.73825,0.75932,0.83643,0.83643,0.83643
11,4,0.83643,0.79597,0.73825,0.75932,0.83643,0.83643,0.83643
11,6,0.83643,0.79597,0.73825,0.75932,0.83643,0.83643,0.83643
11,8,0.83643,0.79597,0.73825,0.75932,0.83643,0.83643,0.83643
12,0,0.8368,0.7972,0.73776,0.75927,0.8368,0.8368,0.8368
12,3,0.8368,0.7972,0.73776,0.75927,0.8368,0.8368,0.8368
12,4,0.8368,0.7972,0.73776,0.75927,0.8368,0.8368,0.8368
12,7,0.8368,0.7972,0.73776,0.75927,0.8368,0.8368,0.8368
12,9,0.8368,0.7972,0.73776,0.75927,0.8368,0.8368,0.8368
13,1,0.8368,0.79659,0.73874,0.75986,0.8368,0.8368,0.8368
13,2,0.8368,0.79659,0.73874,0.75986,0.8368,0.8368,0.8368
13,3,0.8368,0.79659,0.73874,0.75986,0.8368,0.8368,0.8368
13,4,0.8368,0.79659,0.73874,0.75986,0.8368,0.8368,0.8368
13,6,0.8368,0.79659,0.73874,0.75986,0.8368,0.8368,0.8368
14,4,0.83662,0.79636,0.73837,0.75952,0.83662,0.83662,0.83662
14,6,0.83662,0.79636,0.73837,0.75952,0.83662,0.83662,0.83662
14,7,0.83662,0.79636,0.73837,0.75952,0.83662,0.83662,0.83662
14,8,0.83662,0.79636,0.73837,0.75952,0.83662,0.83662,0.83662
14,9,0.83662,0.79636,0.73837,0.75952,0.83662,0.83662,0.83662
15,0,0.83643,0.79674,0.73702,0.75858,0.83643,0.83643,0.83643
15,1,0.83643,0.79674,0.73702,0.75858,0.83643,0.83643,0.83643
15,3,0.83643,0.79674,0.73702,0.75858,0.83643,0.83643,0.83643
15,4,0.83643,0.79674,0.73702,0.75858,0.83643,0.83643,0.83643
15,9,0.83643,0.79674,0.73702,0.75858,0.83643,0.83643,0.83643
16,0,0.83699,0.79821,0.73689,0.75887,0.83699,0.83699,0.83699
16,3,0.83699,0.79821,0.73689,0.75887,0.83699,0.83699,0.83699
16,4,0.83699,0.79821,0.73689,0.75887,0.83699,0.83699,0.83699
16,7,0.83699,0.79821,0.73689,0.75887,0.83699,0.83699,0.83699
16,9,0.83699,0.79821,0.73689,0.75887,0.83699,0.83699,0.83699
17,3,0.83864,0.80027,0.74022,0.76199,0.83864,0.83864,0.83864
