round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.82538,0.77516,0.72892,0.74646,0.82538,0.82538,0.82538
2,0.83809,0.79224,0.75269,0.76867,0.83809,0.83809,0.83809
3,0.83883,0.79527,0.74972,0.76757,0.83883,0.83883,0.83883
4,0.83975,0.79893,0.74688,0.76662,0.83975,0.83975,0.83975
5,0.84049,0.79808,0.75157,0.76976,0.84049,0.84049,0.84049
6,0.83975,0.79377,0.75725,0.77229,0.83975,0.83975,0.83975
7,0.84196,0.79901,0.75625,0.77335,0.84196,0.84196,0.84196
8,0.84085,0.79753,0.75428,0.7715,0.84085,0.84085,0.84085
9,0.84085,0.79728,0.75477,0.77176,0.84085,0.84085,0.84085
10,0.8403,0.79304,0.76181,0.77505,0.8403,0.8403,0.8403
11,0.84122,0.79774,0.75551,0.77243,0.84122,0.84122,0.84122
12,0.8392,0.7934,0.7554,0.77091,0.8392,0.8392,0.8392
13,0.83975,0.79335,0.75823,0.7728,0.83975,0.83975,0.83975
14,0.84012,0.79391,0.75873,0.77333,0.84012,0.84012,0.84012
15,0.83901,0.79441,0.75231,0.76912,0.83901,0.83901,0.83901
16,0.83901,0.79513,0.75083,0.76831,0.83901,0.83901,0.83901
17,0.83975,0.79464,0.75527,0.77124,0.83975,0.83975,0.83975
18,0.8392,0.79373,0.75466,0.77052,0.8392,0.8392,0.8392
19,0.84049,0.79447,0.75922,0.77385,0.84049,0.84049,0.84049
20,0.83809,0.79001,0.75812,0.77155,0.83809,0.83809,0.83809
21,0.84085,0.79828,0.7528,0.7707,0.84085,0.84085,0.84085
22,0.84049,0.79732,0.75305,0.77057,0.84049,0.84049,0.84049
23,0.84085,0.79893,0.75156,0.77002,0.84085,0.84085,0.84085
24,0.84049,0.79719,0.75329,0.7707,0.84049,0.84049,0.84049
25,0.84012,0.79262,0.76194,0.77498,0.84012,0.84012,0.84012
26,0.83957,0.79262,0.7591,0.77312,0.83957,0.83957,0.83957
27,0.84178,0.80273,0.74872,0.76909,0.84178,0.84178,0.84178
28,0.84104,0.79996,0.75045,0.76954,0.84104,0.84104,0.84104
29,0.84085,0.79681,0.75576,0.77229,0.84085,0.84085,0.84085
30,0.83735,0.78631,0.76503,0.77452,0.83735,0.83735,0.83735
31,0.84049,0.79647,0.75478,0.7715,0.84049,0.84049,0.84049
32,0.84104,0.79612,0.75811,0.77367,0.84104,0.84104,0.84104
33,0.84049,0.79782,0.75206,0.77003,0.84049,0.84049,0.84049
34,0.83901,0.79173,0.75848,0.7724,0.83901,0.83901,0.83901
35,0.84049,0.79847,0.75082,0.76935,0.84049,0.84049,0.84049
36,0.84141,0.79796,0.75588,0.77276,0.84141,0.84141,0.84141
37,0.83828,0.78979,0.75972,0.77251,0.83828,0.83828,0.83828
38,0.83975,0.79653,0.75132,0.7691,0.83975,0.83975,0.83975
39,0.84067,0.79331,0.76304,0.77594,0.84067,0.84067,0.84067
40,0.8403,0.79499,0.75712,0.77262,0.8403,0.8403,0.8403
41,0.83975,0.79592,0.75256,0.76978,0.83975,0.83975,0.83975
42,0.83938,0.79452,0.75379,0.77019,0.83938,0.83938,0.83938
43,0.8403,0.79577,0.75539,0.7717,0.8403,0.8403,0.8403
44,0.83901,0.79372,0.75379,0.76992,0.83901,0.83901,0.83901
45,0.8392,0.79351,0.75515,0.77078,0.8392,0.8392,0.8392
46,0.83478,0.78321,0.75937,0.76982,0.83478,0.83478,0.83478
47,0.84049,0.795,0.75798,0.7732,0.84049,0.84049,0.84049
48,0.83607,0.78455,0.76294,0.77254,0.83607,0.83607,0.83607
49,0.8392,0.79266,0.75713,0.77183,0.8392,0.8392,0.8392
50,0.8368,0.78812,0.75627,0.76967,0.8368,0.8368,0.8368
