round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.77639,0.80334,0.56001,0.5461,0.77639,0.77639,0.77639
1,1,0.78118,0.78705,0.57529,0.57208,0.78118,0.78118,0.78118
1,2,0.7797,0.79193,0.57036,0.56391,0.7797,0.7797,0.7797
1,3,0.78099,0.77406,0.57838,0.57744,0.78099,0.78099,0.78099
1,4,0.78191,0.80297,0.57356,0.56873,0.78191,0.78191,0.78191
1,5,0.78246,0.78911,0.57813,0.57652,0.78246,0.78246,0.78246
1,6,0.78154,0.79306,0.5748,0.57107,0.78154,0.78154,0.78154
1,7,0.77915,0.79528,0.56827,0.56033,0.77915,0.77915,0.77915
1,8,0.7821,0.78729,0.57764,0.5758,0.7821,0.7821,0.7821
1,9,0.77602,0.79502,0.5605,0.54728,0.77602,0.77602,0.77602
2,0,0.82575,0.77544,0.73015,0.74745,0.82575,0.82575,0.82575
2,1,0.82372,0.76885,0.73744,0.75044,0.82372,0.82372,0.82372
2,2,0.82372,0.77369,0.72386,0.74228,0.82372,0.82372,0.82372
2,3,0.82612,0.77744,0.72743,0.74601,0.82612,0.82612,0.82612
2,4,0.82372,0.77028,0.73275,0.74771,0.82372,0.82372,0.82372
2,5,0.82465,0.77571,0.72398,0.74292,0.82465,0.82465,0.82465
2,6,0.82612,0.77974,0.72274,0.74304,0.82612,0.82612,0.82612
2,7,0.82483,0.77506,0.72633,0.74451,0.82483,0.82483,0.82483
2,8,0.82538,0.77788,0.72299,0.74274,0.82538,0.82538,0.82538
2,9,0.82501,0.77879,0.71954,0.74028,0.82501,0.82501,0.82501
3,0,0.83551,0.78945,0.74653,0.76348,0.83551,0.83551,0.83551
3,1,0.83459,0.7873,0.7469,0.76306,0.83459,0.83459,0.83459
3,2,0.83201,0.7829,0.74444,0.75992,0.83201,0.83201,0.83201
3,3,0.83128,0.78728,0.73161,0.75189,0.83128,0.83128,0.83128
3,4,0.8333,0.78556,0.74456,0.76086,0.8333,0.8333,0.8333
3,5,0.83643,0.78984,0.7501,0.7661,0.83643,0.83643,0.83643
3,6,0.83422,0.7884,0.7427,0.76044,0.83422,0.83422,0.83422
3,7,0.83386,0.78287,0.7548,0.76681,0.83386,0.83386,0.83386
3,8,0.83588,0.78947,0.74825,0.7647,0.83588,0.83588,0.83588
3,9,0.83478,0.78945,0.74307,0.76102,0.83478,0.83478,0.83478
4,0,0.83662,0.78884,0.75343,0.76804,0.83662,0.83662,0.83662
4,1,0.83625,0.78888,0.75146,0.76671,0.83625,0.83625,0.83625
4,2,0.83809,0.79224,0.75269,0.76867,0.83809,0.83809,0.83809
4,3,0.83459,0.79234,0.73678,0.75721,0.83459,0.83459,0.83459
4,4,0.83699,0.79108,0.74998,0.76642,0.83699,0.83699,0.83699
4,5,0.83625,0.79334,0.74208,0.76145,0.83625,0.83625,0.83625
4,6,0.8357,0.79211,0.74196,0.76101,0.8357,0.8357,0.8357
