round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.74023,0.37011,0.5,0.42536,0.74023,0.74023,0.74023
1,1,0.78851,0.89401,0.50538,0.45136,0.78851,0.78851,0.78851
1,2,0.77011,0.38506,0.5,0.43506,0.77011,0.77011,0.77011
1,3,0.73563,0.36782,0.5,0.42384,0.73563,0.73563,0.73563
1,4,0.73502,0.36751,0.5,0.42364,0.73502,0.73502,0.73502
1,5,0.79263,0.89607,0.50549,0.45288,0.79263,0.79263,0.79263
1,6,0.76037,0.38018,0.5,0.43194,0.76037,0.76037,0.76037
1,7,0.72581,0.3629,0.5,0.42056,0.72581,0.72581,0.72581
1,8,0.7235,0.36175,0.5,0.41979,0.7235,0.7235,0.7235
1,9,0.73963,0.36982,0.5,0.42517,0.73963,0.73963,0.73963
2,0,0.76782,0.81936,0.55884,0.54038,0.76782,0.76782,0.76782
2,1,0.7977,0.70193,0.56994,0.57467,0.7977,0.7977,0.7977
2,2,0.82299,0.79316,0.65358,0.68138,0.82299,0.82299,0.82299
2,3,0.75632,0.79985,0.5447,0.51451,0.75632,0.75632,0.75632
2,4,0.79032,0.84109,0.61269,0.62327,0.79032,0.79032,0.79032
2,5,0.81106,0.7387,0.58982,0.60352,0.81106,0.81106,0.81106
2,6,0.78571,0.85227,0.55618,0.54065,0.78571,0.78571,0.78571
2,7,0.76267,0.76452,0.58553,0.58274,0.76267,0.76267,0.76267
2,8,0.75115,0.8369,0.55257,0.52345,0.75115,0.75115,0.75115
2,9,0.7765,0.85684,0.57366,0.56396,0.7765,0.7765,0.7765
3,0,0.8,0.76235,0.66674,0.68884,0.8,0.8,0.8
3,1,0.82529,0.74192,0.701,0.71711,0.82529,0.82529,0.82529
3,2,0.82989,0.76611,0.72119,0.73867,0.82989,0.82989,0.82989
3,3,0.77241,0.71552,0.62806,0.64285,0.77241,0.77241,0.77241
3,4,0.82949,0.79121,0.74777,0.7645,0.82949,0.82949,0.82949
3,5,0.82258,0.73231,0.69399,0.70919,0.82258,0.82258,0.82258
3,6,0.80645,0.75198,0.65542,0.67818,0.80645,0.80645,0.80645
3,7,0.82488,0.80198,0.73035,0.75311,0.82488,0.82488,0.82488
3,8,0.78111,0.74058,0.6608,0.67872,0.78111,0.78111,0.78111
3,9,0.82028,0.78589,0.71221,0.7352,0.82028,0.82028,0.82028
4,0,0.8069,0.76194,0.69437,0.71501,0.8069,0.8069,0.8069
4,1,0.83448,0.75431,0.74208,0.74783,0.83448,0.83448,0.83448
4,2,0.84368,0.78665,0.74769,0.76377,0.84368,0.84368,0.84368
4,3,0.78161,0.7268,0.6538,0.6713,0.78161,0.78161,0.78161
4,4,0.82719,0.78177,0.76011,0.76959,0.82719,0.82719,0.82719
4,5,0.82258,0.73167,0.7061,0.71711,0.82258,0.82258,0.82258
4,6,0.81106,0.75351,0.67491,0.69738,0.81106,0.81106,0.81106
4,7,0.82949,0.79765,0.75182,0.76907,0.82949,0.82949,0.82949
4,8,0.81336,0.77994,0.72428,0.74308,0.81336,0.81336,0.81336
4,9,0.82719,0.78195,0.74842,0.76211,0.82719,0.82719,0.82719
5,0,0.81379,0.77133,0.70765,0.72831,0.81379,0.81379,0.81379
5,1,0.82759,0.7435,0.73378,0.73839,0.82759,0.82759,0.82759
5,2,0.85517,0.80172,0.77269,0.78543,0.85517,0.85517,0.85517
5,3,0.78851,0.73623,0.66963,0.68787,0.78851,0.78851,0.78851
5,4,0.8318,0.78656,0.77158,0.77843,0.8318,0.8318,0.8318
5,5,0.8318,0.74693,0.72404,0.73418,0.8318,0.8318,0.8318
5,6,0.82719,0.77773,0.70857,0.7316,0.82719,0.82719,0.82719
5,7,0.82949,0.79476,0.75705,0.77196,0.82949,0.82949,0.82949
5,8,0.81797,0.7812,0.74034,0.75579,0.81797,0.81797,0.81797
5,9,0.8341,0.79277,0.75596,0.77086,0.8341,0.8341,0.8341
6,0,0.8092,0.76352,0.70167,0.7216,0.8092,0.8092,0.8092
6,1,0.82299,0.73634,0.72302,0.7292,0.82299,0.82299,0.82299
6,2,0.85977,0.80891,0.77918,0.79224,0.85977,0.85977,0.85977
6,3,0.77701,0.71608,0.65346,0.66963,0.77701,0.77701,0.77701
6,4,0.83641,0.7928,0.7775,0.7845,0.83641,0.83641,0.83641
6,5,0.82719,0.73912,0.72113,0.72928,0.82719,0.82719,0.82719
6,6,0.8341,0.78929,0.7197,0.74343,0.8341,0.8341,0.8341
6,7,0.84101,0.80779,0.77806,0.79057,0.84101,0.84101,0.84101
6,8,0.82028,0.78665,0.73936,0.75659,0.82028,0.82028,0.82028
6,9,0.8341,0.78936,0.76456,0.77531,0.8341,0.8341,0.8341
7,0,0.81379,0.76972,0.71052,0.73033,0.81379,0.81379,0.81379
7,1,0.82989,0.74697,0.74307,0.74498,0.82989,0.82989,0.82989
7,2,0.85977,0.80891,0.77918,0.79224,0.85977,0.85977,0.85977
7,3,0.7908,0.74105,0.6712,0.69007,0.7908,0.7908,0.7908
