round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.77471,0.73007,0.60658,0.61727,0.77471,0.77471,0.77471
1,1,0.83678,0.77035,0.69657,0.72132,0.83678,0.83678,0.83678
1,2,0.84828,0.79917,0.74366,0.76495,0.84828,0.84828,0.84828
1,3,0.77471,0.76685,0.5962,0.60105,0.77471,0.77471,0.77471
1,4,0.82028,0.7889,0.71648,0.73918,0.82028,0.82028,0.82028
1,5,0.82949,0.75294,0.67414,0.69861,0.82949,0.82949,0.82949
1,6,0.79724,0.75804,0.61314,0.62953,0.79724,0.79724,0.79724
1,7,0.80415,0.79167,0.67946,0.70333,0.80415,0.80415,0.80415
1,8,0.79032,0.77892,0.6543,0.67434,0.79032,0.79032,0.79032
1,9,0.79724,0.77885,0.64503,0.66607,0.79724,0.79724,0.79724
2,0,0.7954,0.764,0.64927,0.67023,0.7954,0.7954,0.7954
2,1,0.83448,0.7575,0.71859,0.73443,0.83448,0.83448,0.83448
2,2,0.86437,0.81952,0.77866,0.79586,0.86437,0.86437,0.86437
2,3,0.77241,0.71552,0.62806,0.64285,0.77241,0.77241,0.77241
2,4,0.82258,0.78281,0.73473,0.75245,0.82258,0.82258,0.82258
2,5,0.82028,0.72903,0.68042,0.69823,0.82028,0.82028,0.82028
2,6,0.81797,0.77609,0.67287,0.69879,0.81797,0.81797,0.81797
2,7,0.80645,0.77984,0.69673,0.71912,0.80645,0.80645,0.80645
2,8,0.79493,0.76002,0.6858,0.70567,0.79493,0.79493,0.79493
2,9,0.82949,0.79959,0.72704,0.75069,0.82949,0.82949,0.82949
3,0,0.8,0.75992,0.66961,0.69147,0.8,0.8,0.8
3,1,0.83448,0.75673,0.72251,0.73681,0.83448,0.83448,0.83448
3,2,0.86667,0.82052,0.78716,0.80169,0.86667,0.86667,0.86667
3,3,0.77701,0.72367,0.63675,0.65307,0.77701,0.77701,0.77701
3,4,0.82488,0.78299,0.74464,0.75973,0.82488,0.82488,0.82488
3,5,0.81567,0.71986,0.68154,0.69643,0.81567,0.81567,0.81567
3,6,0.82488,0.7836,0.69059,0.71695,0.82488,0.82488,0.82488
3,7,0.82028,0.79908,0.71933,0.74298,0.82028,0.82028,0.82028
3,8,0.80415,0.76853,0.70762,0.72673,0.80415,0.80415,0.80415
3,9,0.82488,0.78595,0.72966,0.74957,0.82488,0.82488,0.82488
4,0,0.8046,0.75872,0.68995,0.7105,0.8046,0.8046,0.8046
4,1,0.82759,0.74428,0.71812,0.72943,0.82759,0.82759,0.82759
4,2,0.86667,0.82052,0.78716,0.80169,0.86667,0.86667,0.86667
4,3,0.78621,0.73713,0.65693,0.6756,0.78621,0.78621,0.78621
4,4,0.8318,0.79018,0.76046,0.77291,0.8318,0.8318,0.8318
4,5,0.81336,0.71573,0.68412,0.69694,0.81336,0.81336,0.81336
4,6,0.83641,0.8024,0.71133,0.73915,0.83641,0.83641,0.83641
4,7,0.82258,0.79708,0.72876,0.75074,0.82258,0.82258,0.82258
4,8,0.80415,0.76556,0.71277,0.73039,0.80415,0.80415,0.80415
4,9,0.82488,0.78433,0.73253,0.75136,0.82488,0.82488,0.82488
5,0,0.8092,0.76877,0.69306,0.71509,0.8092,0.8092,0.8092
5,1,0.82989,0.74757,0.72741,0.73646,0.82989,0.82989,0.82989
5,2,0.86207,0.81176,0.78418,0.79644,0.86207,0.86207,0.86207
5,3,0.78621,0.73713,0.65693,0.6756,0.78621,0.78621,0.78621
5,4,0.83641,0.79802,0.7636,0.77772,0.83641,0.83641,0.83641
5,5,0.82028,0.72778,0.70061,0.71214,0.82028,0.82028,0.82028
5,6,0.83871,0.80542,0.71614,0.74397,0.83871,0.83871,0.83871
5,7,0.82719,0.80032,0.73978,0.76051,0.82719,0.82719,0.82719
5,8,0.80645,0.76846,0.71693,0.73444,0.80645,0.80645,0.80645
5,9,0.82719,0.7857,0.73982,0.75721,0.82719,0.82719,0.82719
6,0,0.81149,0.77191,0.69748,0.71963,0.81149,0.81149,0.81149
6,1,0.82989,0.74791,0.7235,0.7342,0.82989,0.82989,0.82989
6,2,0.86207,0.81176,0.78418,0.79644,0.86207,0.86207,0.86207
6,3,0.78161,0.7268,0.6538,0.6713,0.78161,0.78161,0.78161
6,4,0.8341,0.79531,0.75925,0.77386,0.8341,0.8341,0.8341
6,5,0.82488,0.73539,0.71563,0.72447,0.82488,0.82488,0.82488
6,6,0.83871,0.80542,0.71614,0.74397,0.83871,0.83871,0.83871
6,7,0.82719,0.79841,0.74239,0.76211,0.82719,0.82719,0.82719
6,8,0.80645,0.76715,0.71951,0.73617,0.80645,0.80645,0.80645
6,9,0.8318,0.79809,0.7372,0.75859,0.8318,0.8318,0.8318
7,0,0.81609,0.77806,0.70633,0.72858,0.81609,0.81609,0.81609
7,1,0.82989,0.74791,0.7235,0.7342,0.82989,0.82989,0.82989
7,2,0.86437,0.81609,0.78567,0.79905,0.86437,0.86437,0.86437
7,3,0.78391,0.73046,0.65815,0.67605,0.78391,0.78391,0.78391
7,4,0.83641,0.79937,0.76082,0.77627,0.83641,0.83641,0.83641
7,5,0.82949,0.74323,0.71855,0.72934,0.82949,0.82949,0.82949
7,6,0.84332,0.81435,0.72247,0.75129,0.84332,0.84332,0.84332
7,7,0.82949,0.80104,0.74659,0.76605,0.82949,0.82949,0.82949
7,8,0.80645,0.76846,0.71693,0.73444,0.80645,0.80645,0.80645
7,9,0.8341,0.79721,0.74736,0.76611,0.8341,0.8341,0.8341
8,0,0.81379,0.77501,0.7019,0.72413,0.81379,0.81379,0.81379
8,1,0.82759,0.74397,0.72203,0.73176,0.82759,0.82759,0.82759
8,2,0.86437,0.81609,0.78567,0.79905,0.86437,0.86437,0.86437
8,3,0.7931,0.74446,0.67554,0.69466,0.7931,0.7931,0.7931
8,4,0.84101,0.80616,0.76673,0.78258,0.84101,0.84101,0.84101
8,5,0.83641,0.75573,0.72292,0.73678,0.83641,0.83641,0.83641
8,6,0.84793,0.82329,0.72879,0.7586,0.84793,0.84793,0.84793
8,7,0.8318,0.80365,0.75079,0.76997,0.8318,0.8318,0.8318
8,8,0.80645,0.76846,0.71693,0.73444,0.80645,0.80645,0.80645
8,9,0.82949,0.79164,0.73851,0.75791,0.82949,0.82949,0.82949
9,0,0.81609,0.77806,0.70633,0.72858,0.81609,0.81609,0.81609
9,1,0.82989,0.74791,0.7235,0.7342,0.82989,0.82989,0.82989
9,2,0.86437,0.81609,0.78567,0.79905,0.86437,0.86437,0.86437
9,3,0.7931,0.74768,0.66997,0.68984,0.7931,0.7931,0.7931
