round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,1,0.81691,0.77129,0.6971,0.7199,0.81691,0.81691,0.81691
1,8,0.81691,0.77129,0.6971,0.7199,0.81691,0.81691,0.81691
2,4,0.81746,0.77319,0.69648,0.71972,0.81746,0.81746,0.81746
2,5,0.81746,0.77319,0.69648,0.71972,0.81746,0.81746,0.81746
3,4,0.82004,0.77179,0.71005,0.73096,0.82004,0.82004,0.82004
3,7,0.82004,0.77179,0.71005,0.73096,0.82004,0.82004,0.82004
4,1,0.82115,0.77318,0.71252,0.73328,0.82115,0.82115,0.82115
4,2,0.82115,0.77318,0.71252,0.73328,0.82115,0.82115,0.82115
5,0,0.82225,0.78034,0.70535,0.72888,0.82225,0.82225,0.82225
5,4,0.82225,0.78034,0.70535,0.72888,0.82225,0.82225,0.82225
6,1,0.82538,0.77889,0.72102,0.74147,0.82538,0.82538,0.82538
6,8,0.82538,0.77889,0.72102,0.74147,0.82538,0.82538,0.82538
7,4,0.82428,0.77665,0.72028,0.74032,0.82428,0.82428,0.82428
7,5,0.82428,0.77665,0.72028,0.74032,0.82428,0.82428,0.82428
8,0,0.82096,0.78549,0.69388,0.71952,0.82096,0.82096,0.82096
8,9,0.82096,0.78549,0.69388,0.71952,0.82096,0.82096,0.82096
9,1,0.82925,0.78212,0.73248,0.75111,0.82925,0.82925,0.82925
9,4,0.82925,0.78212,0.73248,0.75111,0.82925,0.82925,0.82925
10,6,0.82059,0.78228,0.69635,0.72125,0.82059,0.82059,0.82059
10,9,0.82059,0.78228,0.69635,0.72125,0.82059,0.82059,0.82059
11,2,0.82796,0.77997,0.73088,0.7493,0.82796,0.82796,0.82796
11,4,0.82796,0.77997,0.73088,0.7493,0.82796,0.82796,0.82796
12,3,0.82409,0.783,0.7088,0.73239,0.82409,0.82409,0.82409
12,4,0.82409,0.783,0.7088,0.73239,0.82409,0.82409,0.82409
13,3,0.82833,0.78651,0.72051,0.74294,0.82833,0.82833,0.82833
13,4,0.82833,0.78651,0.72051,0.74294,0.82833,0.82833,0.82833
14,6,0.82833,0.78698,0.71977,0.74245,0.82833,0.82833,0.82833
14,9,0.82833,0.78698,0.71977,0.74245,0.82833,0.82833,0.82833
15,0,0.83054,0.79101,0.72248,0.7456,0.83054,0.83054,0.83054
15,9,0.83054,0.79101,0.72248,0.7456,0.83054,0.83054,0.83054
16,0,0.83404,0.79532,0.72974,0.75251,0.83404,0.83404,0.83404
16,9,0.83404,0.79532,0.72974,0.75251,0.83404,0.83404,0.83404
17,4,0.82888,0.78176,0.73149,0.75027,0.82888,0.82888,0.82888
17,7,0.82888,0.78176,0.73149,0.75027,0.82888,0.82888,0.82888
18,2,0.83146,0.78752,0.73198,0.75223,0.83146,0.83146,0.83146
18,5,0.83146,0.78752,0.73198,0.75223,0.83146,0.83146,0.83146
19,0,0.83386,0.79213,0.73406,0.75508,0.83386,0.83386,0.83386
19,4,0.83386,0.79213,0.73406,0.75508,0.83386,0.83386,0.83386
20,4,0.83459,0.79292,0.73579,0.75661,0.83459,0.83459,0.83459
20,6,0.83459,0.79292,0.73579,0.75661,0.83459,0.83459,0.83459
21,4,0.83367,0.78981,0.7374,0.75697,0.83367,0.83367,0.83367
21,5,0.83367,0.78981,0.7374,0.75697,0.83367,0.83367,0.83367
22,5,0.83662,0.79744,0.73665,0.75848,0.83662,0.83662,0.83662
22,9,0.83662,0.79744,0.73665,0.75848,0.83662,0.83662,0.83662
23,0,0.83533,0.79399,0.73702,0.75784,0.83533,0.83533,0.83533
23,4,0.83533,0.79399,0.73702,0.75784,0.83533,0.83533,0.83533
24,1,0.83367,0.78929,0.73839,0.75755,0.83367,0.83367,0.83367
24,2,0.83367,0.78929,0.73839,0.75755,0.83367,0.83367,0.83367
25,0,0.83625,0.79778,0.73467,0.75703,0.83625,0.83625,0.83625
25,5,0.83625,0.79778,0.73467,0.75703,0.83625,0.83625,0.83625
26,0,0.83496,0.79397,0.73554,0.75671,0.83496,0.83496,0.83496
26,2,0.83496,0.79397,0.73554,0.75671,0.83496,0.83496,0.83496
27,5,0.83625,0.79501,0.73912,0.75971,0.83625,0.83625,0.83625
27,7,0.83625,0.79501,0.73912,0.75971,0.83625,0.83625,0.83625
28,0,0.83662,0.7989,0.73442,0.75712,0.83662,0.83662,0.83662
28,9,0.83662,0.7989,0.73442,0.75712,0.83662,0.83662,0.83662
29,0,0.83607,0.79738,0.73455,0.75683,0.83607,0.83607,0.83607
29,9,0.83607,0.79738,0.73455,0.75683,0.83607,0.83607,0.83607
30,4,0.83514,0.79208,0.73961,0.75926,0.83514,0.83514,0.83514
30,5,0.83514,0.79208,0.73961,0.75926,0.83514,0.83514,0.83514
31,0,0.83625,0.79666,0.7364,0.75808,0.83625,0.83625,0.83625
31,1,0.83625,0.79666,0.7364,0.75808,0.83625,0.83625,0.83625
32,2,0.83625,0.79361,0.74158,0.76117,0.83625,0.83625,0.83625
32,4,0.83625,0.79361,0.74158,0.76117,0.83625,0.83625,0.83625
33,6,0.83201,0.79129,0.7279,0.75004,0.83201,0.83201,0.83201
33,8,0.83201,0.79129,0.7279,0.75004,0.83201,0.83201,0.83201
34,1,0.83717,0.7949,0.74319,0.76272,0.83717,0.83717,0.83717
34,7,0.83717,0.7949,0.74319,0.76272,0.83717,0.83717,0.83717
35,5,0.83607,0.79706,0.73504,0.75713,0.83607,0.83607,0.83607
35,6,0.83607,0.79706,0.73504,0.75713,0.83607,0.83607,0.83607
36,5,0.83607,0.79804,0.73356,0.75622,0.83607,0.83607,0.83607
36,6,0.83607,0.79804,0.73356,0.75622,0.83607,0.83607,0.83607
37,3,0.83607,0.7969,0.73529,0.75729,0.83607,0.83607,0.83607
37,7,0.83607,0.7969,0.73529,0.75729,0.83607,0.83607,0.83607
38,4,0.83699,0.7944,0.74331,0.76267,0.83699,0.83699,0.83699
38,7,0.83699,0.7944,0.74331,0.76267,0.83699,0.83699,0.83699
39,4,0.8368,0.79299,0.74516,0.7636,0.8368,0.8368,0.8368
39,7,0.8368,0.79299,0.74516,0.7636,0.8368,0.8368,0.8368
40,3,0.83588,0.79971,0.73048,0.75417,0.83588,0.83588,0.83588
40,9,0.83588,0.79971,0.73048,0.75417,0.83588,0.83588,0.83588
41,6,0.83662,0.80027,0.73245,0.75589,0.83662,0.83662,0.83662
41,9,0.83662,0.80027,0.73245,0.75589,0.83662,0.83662,0.83662
42,2,0.83809,0.79819,0.74133,0.76227,0.83809,0.83809,0.83809
42,6,0.83809,0.79819,0.74133,0.76227,0.83809,0.83809,0.83809
43,2,0.8368,0.7972,0.73776,0.75927,0.8368,0.8368,0.8368
43,6,0.8368,0.7972,0.73776,0.75927,0.8368,0.8368,0.8368
44,6,0.83699,0.79936,0.73516,0.75782,0.83699,0.83699,0.83699
44,9,0.83699,0.79936,0.73516,0.75782,0.83699,0.83699,0.83699
45,5,0.83772,0.79789,0.74034,0.76144,0.83772,0.83772,0.83772
45,8,0.83772,0.79789,0.74034,0.76144,0.83772,0.83772,0.83772
46,2,0.83772,0.79881,0.73886,0.76056,0.83772,0.83772,0.83772
46,6,0.83772,0.79881,0.73886,0.76056,0.83772,0.83772,0.83772
47,4,0.83717,0.7966,0.74022,0.76099,0.83717,0.83717,0.83717
47,6,0.83717,0.7966,0.74022,0.76099,0.83717,0.83717,0.83717
48,1,0.83883,0.79696,0.74651,0.76577,0.83883,0.83883,0.83883
48,4,0.83883,0.79696,0.74651,0.76577,0.83883,0.83883,0.83883
49,2,0.83772,0.796,0.74355,0.76332,0.83772,0.83772,0.83772
49,8,0.83772,0.796,0.74355,0.76332,0.83772,0.83772,0.83772
50,4,0.83772,0.79671,0.74232,0.7626,0.83772,0.83772,0.83772
50,9,0.83772,0.79671,0.74232,0.7626,0.83772,0.83772,0.83772
