round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.75889,0.66409,0.56341,0.56001,0.75889,0.75889,0.75889
2,0.81415,0.77294,0.68366,0.70792,0.81415,0.81415,0.81415
3,0.81894,0.77576,0.6987,0.72217,0.81894,0.81894,0.81894
4,0.82207,0.77783,0.70844,0.73098,0.82207,0.82207,0.82207
5,0.82538,0.78038,0.7183,0.73968,0.82538,0.82538,0.82538
6,0.82815,0.78362,0.72458,0.74548,0.82815,0.82815,0.82815
7,0.83054,0.78817,0.72692,0.74848,0.83054,0.83054,0.83054
8,0.83293,0.7911,0.73197,0.75319,0.83293,0.83293,0.83293
9,0.83404,0.79164,0.73567,0.75617,0.83404,0.83404,0.83404
10,0.83478,0.79272,0.7369,0.7574,0.83478,0.83478,0.83478
11,0.83533,0.7937,0.73752,0.75814,0.83533,0.83533,0.83533
12,0.83607,0.79521,0.73801,0.75893,0.83607,0.83607,0.83607
13,0.8368,0.79659,0.73874,0.75986,0.8368,0.8368,0.8368
14,0.83717,0.7972,0.73924,0.76041,0.83717,0.83717,0.83717
15,0.83717,0.7972,0.73924,0.76041,0.83717,0.83717,0.83717
16,0.83699,0.79727,0.73837,0.75977,0.83699,0.83699,0.83699
17,0.83772,0.79804,0.7401,0.76129,0.83772,0.83772,0.83772
18,0.83791,0.79781,0.74121,0.76207,0.83791,0.83791,0.83791
19,0.83828,0.79812,0.74219,0.7629,0.83828,0.83828,0.83828
20,0.83828,0.79903,0.74071,0.76203,0.83828,0.83828,0.83828
21,0.83772,0.79819,0.73985,0.76115,0.83772,0.83772,0.83772
22,0.83772,0.79774,0.74059,0.76158,0.83772,0.83772,0.83772
23,0.83846,0.7988,0.74182,0.76281,0.83846,0.83846,0.83846
24,0.8392,0.79956,0.74355,0.76433,0.8392,0.8392,0.8392
25,0.8403,0.802,0.74404,0.76537,0.8403,0.8403,0.8403
26,0.83901,0.80025,0.7417,0.76312,0.83901,0.83901,0.83901
27,0.83901,0.80041,0.74145,0.76297,0.83901,0.83901,0.83901
28,0.8392,0.8016,0.74034,0.76244,0.8392,0.8392,0.8392
29,0.8392,0.80128,0.74083,0.76273,0.8392,0.8392,0.8392
30,0.83864,0.79964,0.7412,0.76257,0.83864,0.83864,0.83864
31,0.83957,0.80094,0.74281,0.76415,0.83957,0.83957,0.83957
32,0.83901,0.79964,0.74268,0.7637,0.83901,0.83901,0.83901
33,0.8392,0.79971,0.7433,0.76418,0.8392,0.8392,0.8392
34,0.83883,0.79926,0.74256,0.7635,0.83883,0.83883,0.83883
35,0.83975,0.80196,0.74194,0.76377,0.83975,0.83975,0.83975
36,0.83993,0.80218,0.74231,0.76411,0.83993,0.83993,0.83993
37,0.83993,0.80251,0.74182,0.76382,0.83993,0.83993,0.83993
38,0.83975,0.80228,0.74145,0.76347,0.83975,0.83975,0.83975
39,0.83901,0.8001,0.74194,0.76326,0.83901,0.83901,0.83901
40,0.8392,0.80112,0.74108,0.76288,0.8392,0.8392,0.8392
41,0.8392,0.8008,0.74157,0.76317,0.8392,0.8392,0.8392
42,0.83938,0.80167,0.74095,0.76293,0.83938,0.83938,0.83938
43,0.83975,0.80164,0.74243,0.76406,0.83975,0.83975,0.83975
44,0.83938,0.80087,0.74219,0.76366,0.83938,0.83938,0.83938
45,0.83957,0.80141,0.74206,0.76371,0.83957,0.83957,0.83957
46,0.8403,0.8028,0.7428,0.76465,0.8403,0.8403,0.8403
47,0.83975,0.80212,0.74169,0.76362,0.83975,0.83975,0.83975
48,0.84085,0.80315,0.7444,0.76597,0.84085,0.84085,0.84085
49,0.84012,0.80131,0.74441,0.76546,0.84012,0.84012,0.84012
50,0.83957,0.80078,0.74305,0.76429,0.83957,0.83957,0.83957
