round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.98218,0.49109,0.5,0.4955,0.98218,0.98218,0.98218
1,1,0.83051,0.79217,0.66642,0.69594,0.83051,0.83051,0.83051
1,2,0.92414,0.46207,0.5,0.48029,0.92414,0.92414,0.92414
1,3,0.5,0.5,0.5,0.4375,0.5,0.5,0.5
1,4,0.86253,0.73424,0.54171,0.54364,0.86253,0.86253,0.86253
1,5,0.76735,0.7937,0.74048,0.74535,0.76735,0.76735,0.76735
1,6,0.77134,0.79146,0.71998,0.73102,0.77134,0.77134,0.77134
1,7,0.76866,0.63669,0.57821,0.58605,0.76866,0.76866,0.76866
1,8,0.90943,0.45472,0.5,0.47628,0.90943,0.90943,0.90943
1,9,0.80301,0.79977,0.80161,0.80054,0.80301,0.80301,0.80301
2,0,0.98218,0.49109,0.5,0.4955,0.98218,0.98218,0.98218
2,1,0.82839,0.77597,0.67518,0.70256,0.82839,0.82839,0.82839
2,2,0.92759,0.96367,0.52273,0.52463,0.92759,0.92759,0.92759
2,3,0.66667,0.8,0.66667,0.625,0.66667,0.66667,0.66667
2,4,0.86918,0.74594,0.59775,0.62472,0.86918,0.86918,0.86918
2,5,0.81633,0.81565,0.80714,0.81021,0.81633,0.81633,0.81633
2,6,0.81402,0.82192,0.77905,0.79094,0.81402,0.81402,0.81402
2,7,0.79104,0.69936,0.69936,0.69936,0.79104,0.79104,0.79104
2,8,0.91698,0.95817,0.54167,0.5551,0.91698,0.91698,0.91698
2,9,0.80451,0.80135,0.8018,0.80157,0.80451,0.80451,0.80451
3,0,0.98218,0.49109,0.5,0.4955,0.98218,0.98218,0.98218
3,1,0.83263,0.78152,0.68634,0.71398,0.83263,0.83263,0.83263
3,2,0.92759,0.96367,0.52273,0.52463,0.92759,0.92759,0.92759
3,3,0.75,0.83333,0.75,0.73333,0.75,0.75,0.75
3,4,0.86918,0.73742,0.61731,0.64633,0.86918,0.86918,0.86918
3,5,0.81224,0.81085,0.80357,0.80628,0.81224,0.81224,0.81224
3,6,0.81707,0.82229,0.78459,0.79574,0.81707,0.81707,0.81707
3,7,0.75373,0.66272,0.68718,0.67164,0.75373,0.75373,0.75373
3,8,0.92075,0.86154,0.58126,0.61697,0.92075,0.92075,0.92075
3,9,0.80602,0.80285,0.80352,0.80317,0.80602,0.80602,0.80602
4,0,0.98218,0.49109,0.5,0.4955,0.98218,0.98218,0.98218
4,1,0.83792,0.78722,0.70157,0.72868,0.83792,0.83792,0.83792
4,2,0.92759,0.96367,0.52273,0.52463,0.92759,0.92759,0.92759
4,3,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333
4,4,0.86696,0.72477,0.63558,0.66259,0.86696,0.86696,0.86696
4,5,0.81633,0.81463,0.80833,0.81077,0.81633,0.81633,0.81633
4,6,0.82012,0.82289,0.79013,0.80044,0.82012,0.82012,0.82012
4,7,0.76119,0.66978,0.69199,0.67837,0.76119,0.76119,0.76119
4,8,0.91698,0.79472,0.57918,0.61133,0.91698,0.91698,0.91698
4,9,0.80301,0.7998,0.80046,0.80011,0.80301,0.80301,0.80301
5,0,0.98218,0.49109,0.5,0.4955,0.98218,0.98218,0.98218
5,1,0.84004,0.78811,0.70968,0.73578,0.84004,0.84004,0.84004
5,2,0.92414,0.71354,0.52086,0.52188,0.92414,0.92414,0.92414
5,3,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333
5,4,0.86696,0.72545,0.62906,0.65656,0.86696,0.86696,0.86696
5,5,0.82041,0.81766,0.81429,0.81574,0.82041,0.82041,0.82041
5,6,0.82012,0.82289,0.79013,0.80044,0.82012,0.82012,0.82012
5,7,0.76119,0.66978,0.69199,0.67837,0.76119,0.76119,0.76119
5,8,0.91698,0.79472,0.57918,0.61133,0.91698,0.91698,0.91698
5,9,0.7985,0.79531,0.79531,0.79531,0.7985,0.7985,0.7985
6,0,0.98218,0.49109,0.5,0.4955,0.98218,0.98218,0.98218
6,1,0.84322,0.79166,0.71848,0.74383,0.84322,0.84322,0.84322
6,2,0.92414,0.71354,0.52086,0.52188,0.92414,0.92414,0.92414
6,3,0.91667,0.92857,0.91667,0.91608,0.91667,0.91667,0.91667
6,4,0.8714,0.74136,0.63816,0.66801,0.8714,0.8714,0.8714
6,5,0.82857,0.8269,0.82143,0.82363,0.82857,0.82857,0.82857
6,6,0.82317,0.82553,0.79413,0.80424,0.82317,0.82317,0.82317
6,7,0.76119,0.66978,0.69199,0.67837,0.76119,0.76119,0.76119
6,8,0.91698,0.79472,0.57918,0.61133,0.91698,0.91698,0.91698
6,9,0.7985,0.79531,0.79531,0.79531,0.7985,0.7985,0.7985
7,0,0.98218,0.49109,0.5,0.4955,0.98218,0.98218,0.98218
