round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,7,0.76626,0.70029,0.56215,0.55513,0.76626,0.76626,0.76626
1,8,0.76626,0.70029,0.56215,0.55513,0.76626,0.76626,0.76626
2,6,0.76497,0.72674,0.79286,0.73382,0.76497,0.76497,0.76497
2,9,0.76497,0.72674,0.79286,0.73382,0.76497,0.76497,0.76497
3,0,0.76331,0.85403,0.52612,0.48224,0.76331,0.76331,0.76331
3,1,0.76331,0.85403,0.52612,0.48224,0.76331,0.76331,0.76331
4,6,0.81415,0.75207,0.76464,0.75783,0.81415,0.81415,0.81415
4,8,0.81415,0.75207,0.76464,0.75783,0.81415,0.81415,0.81415
5,2,0.75944,0.79025,0.52058,0.47284,0.75944,0.75944,0.75944
5,7,0.75944,0.79025,0.52058,0.47284,0.75944,0.75944,0.75944
6,0,0.75944,0.86851,0.51762,0.46518,0.75944,0.75944,0.75944
6,8,0.75944,0.86851,0.51762,0.46518,0.75944,0.75944,0.75944
7,0,0.78486,0.83517,0.57479,0.56969,0.78486,0.78486,0.78486
7,9,0.78486,0.83517,0.57479,0.56969,0.78486,0.78486,0.78486
8,3,0.78541,0.79757,0.58355,0.58474,0.78541,0.78541,0.78541
8,4,0.78541,0.79757,0.58355,0.58474,0.78541,0.78541,0.78541
9,7,0.80549,0.78704,0.64259,0.66538,0.80549,0.80549,0.80549
9,8,0.80549,0.78704,0.64259,0.66538,0.80549,0.80549,0.80549
10,1,0.81709,0.78812,0.67797,0.70441,0.81709,0.81709,0.81709
10,4,0.81709,0.78812,0.67797,0.70441,0.81709,0.81709,0.81709
11,6,0.71929,0.7116,0.78244,0.69782,0.71929,0.71929,0.71929
11,7,0.71929,0.7116,0.78244,0.69782,0.71929,0.71929,0.71929
12,8,0.82778,0.77227,0.75322,0.76175,0.82778,0.82778,0.82778
12,9,0.82778,0.77227,0.75322,0.76175,0.82778,0.82778,0.82778
13,5,0.71192,0.70849,0.77852,0.69143,0.71192,0.71192,0.71192
13,6,0.71192,0.70849,0.77852,0.69143,0.71192,0.71192,0.71192
14,0,0.78044,0.85278,0.56271,0.54902,0.78044,0.78044,0.78044
14,6,0.78044,0.85278,0.56271,0.54902,0.78044,0.78044,0.78044
15,1,0.83386,0.78828,0.74122,0.75933,0.83386,0.83386,0.83386
15,7,0.83386,0.78828,0.74122,0.75933,0.83386,0.83386,0.83386
16,2,0.80899,0.79209,0.64986,0.6742,0.80899,0.80899,0.80899
16,5,0.80899,0.79209,0.64986,0.6742,0.80899,0.80899,0.80899
17,0,0.77362,0.87645,0.54632,0.51954,0.77362,0.77362,0.77362
17,4,0.77362,0.87645,0.54632,0.51954,0.77362,0.77362,0.77362
