round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.67766,0.56042,0.55746,0.55866,0.67766,0.67766,0.67766
2,0.7587,0.7342,0.5233,0.48047,0.7587,0.7587,0.7587
3,0.79352,0.81767,0.59857,0.60702,0.79352,0.79352,0.79352
4,0.80144,0.80118,0.62409,0.64264,0.80144,0.80144,0.80144
5,0.80033,0.8157,0.61595,0.6318,0.80033,0.80033,0.80033
6,0.8042,0.81439,0.62618,0.64557,0.8042,0.8042,0.8042
7,0.80181,0.82514,0.61668,0.63282,0.80181,0.80181,0.80181
8,0.81009,0.81041,0.64319,0.66712,0.81009,0.81009,0.81009
9,0.82501,0.7974,0.69534,0.72277,0.82501,0.82501,0.82501
10,0.82022,0.80029,0.67783,0.70566,0.82022,0.82022,0.82022
11,0.82538,0.79948,0.6946,0.72237,0.82538,0.82538,0.82538
12,0.82096,0.80988,0.67339,0.7019,0.82096,0.82096,0.82096
13,0.83588,0.79731,0.73393,0.75633,0.83588,0.83588,0.83588
14,0.83036,0.80619,0.70433,0.73265,0.83036,0.83036,0.83036
15,0.81599,0.81077,0.65896,0.68588,0.81599,0.81599,0.81599
16,0.80936,0.82514,0.63529,0.65765,0.80936,0.80936,0.80936
17,0.81138,0.82203,0.64158,0.66554,0.81138,0.81138,0.81138
18,0.82815,0.80674,0.69693,0.72568,0.82815,0.82815,0.82815
19,0.83772,0.8013,0.73516,0.75831,0.83772,0.83772,0.83772
20,0.83699,0.80004,0.73418,0.75721,0.83699,0.83699,0.83699
21,0.81967,0.81895,0.66463,0.69292,0.81967,0.81967,0.81967
22,0.81359,0.8294,0.64429,0.66918,0.81359,0.81359,0.81359
23,0.81654,0.81828,0.65662,0.68361,0.81654,0.81654,0.81654
24,0.8357,0.80651,0.72147,0.74814,0.8357,0.8357,0.8357
25,0.83717,0.80701,0.7259,0.75205,0.83717,0.83717,0.83717
26,0.81801,0.82228,0.65859,0.68615,0.81801,0.81801,0.81801
27,0.83201,0.80993,0.70618,0.73498,0.83201,0.83201,0.83201
28,0.83846,0.7985,0.74232,0.7631,0.83846,0.83846,0.83846
29,0.83975,0.80468,0.73799,0.7614,0.83975,0.83975,0.83975
30,0.82041,0.82134,0.66537,0.69392,0.82041,0.82041,0.82041
31,0.83275,0.81085,0.70765,0.73652,0.83275,0.83275,0.83275
32,0.81765,0.82727,0.65538,0.68263,0.81765,0.81765,0.81765
33,0.82796,0.81213,0.69212,0.72167,0.82796,0.82796,0.82796
34,0.81636,0.8262,0.65254,0.67918,0.81636,0.81636,0.81636
35,0.83146,0.81008,0.70433,0.73327,0.83146,0.83146,0.83146
36,0.82151,0.81636,0.67104,0.6999,0.82151,0.82151,0.82151
37,0.82078,0.82038,0.66684,0.69553,0.82078,0.82078,0.82078
38,0.81967,0.81801,0.66512,0.69341,0.81967,0.81967,0.81967
39,0.81894,0.81751,0.6634,0.69141,0.81894,0.81894,0.81894
40,0.83717,0.80493,0.72837,0.75366,0.83717,0.83717,0.83717
41,0.82207,0.81707,0.67215,0.70119,0.82207,0.82207,0.82207
42,0.83164,0.80864,0.70618,0.73478,0.83164,0.83164,0.83164
43,0.82354,0.81939,0.67486,0.70436,0.82354,0.82354,0.82354
44,0.82225,0.81906,0.67153,0.70067,0.82225,0.82225,0.82225
45,0.82759,0.81166,0.69138,0.72086,0.82759,0.82759,0.82759
46,0.83625,0.8046,0.72554,0.75121,0.83625,0.83625,0.83625
47,0.83662,0.80444,0.72702,0.75242,0.83662,0.83662,0.83662
48,0.82133,0.82398,0.66647,0.69537,0.82133,0.82133,0.82133
49,0.81746,0.83299,0.65254,0.67949,0.81746,0.81746,0.81746
50,0.81415,0.84202,0.6412,0.66566,0.81415,0.81415,0.81415
