round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.98218,0.49109,0.5,0.4955,0.98218,0.98218,0.98218
1,1,0.8411,0.78233,0.72555,0.74685,0.8411,0.8411,0.8411
1,2,0.92414,0.46207,0.5,0.48029,0.92414,0.92414,0.92414
1,3,0.41667,0.22727,0.41667,0.29412,0.41667,0.41667,0.41667
1,4,0.86031,0.93,0.50781,0.47775,0.86031,0.86031,0.86031
1,5,0.73061,0.76038,0.69881,0.69935,0.73061,0.73061,0.73061
1,6,0.7622,0.7951,0.70337,0.71282,0.7622,0.7622,0.7622
1,7,0.77612,0.38806,0.5,0.43697,0.77612,0.77612,0.77612
1,8,0.90943,0.45472,0.5,0.47628,0.90943,0.90943,0.90943
1,9,0.80451,0.80206,0.80599,0.80296,0.80451,0.80451,0.80451
2,0,0.98218,0.49109,0.5,0.4955,0.98218,0.98218,0.98218
2,1,0.84534,0.78617,0.74009,0.75853,0.84534,0.84534,0.84534
2,2,0.92414,0.46207,0.5,0.48029,0.92414,0.92414,0.92414
2,3,0.5,0.5,0.5,0.4375,0.5,0.5,0.5
2,4,0.8714,0.74318,0.63164,0.66194,0.8714,0.8714,0.8714
2,5,0.80408,0.80936,0.78929,0.79446,0.80408,0.80408,0.80408
2,6,0.79573,0.80644,0.75505,0.7671,0.79573,0.79573,0.79573
2,7,0.82836,0.76254,0.69968,0.72151,0.82836,0.82836,0.82836
2,8,0.91698,0.95817,0.54167,0.5551,0.91698,0.91698,0.91698
2,9,0.80451,0.80252,0.79875,0.80026,0.80451,0.80451,0.80451
3,0,0.98218,0.49109,0.5,0.4955,0.98218,0.98218,0.98218
3,1,0.84322,0.78461,0.73198,0.75226,0.84322,0.84322,0.84322
3,2,0.92759,0.96367,0.52273,0.52463,0.92759,0.92759,0.92759
3,3,0.75,0.83333,0.75,0.73333,0.75,0.75,0.75
3,4,0.86253,0.71149,0.65908,0.67904,0.86253,0.86253,0.86253
3,5,0.82041,0.82941,0.80476,0.81088,0.82041,0.82041,0.82041
3,6,0.81707,0.82229,0.78459,0.79574,0.81707,0.81707,0.81707
3,7,0.82836,0.76254,0.69968,0.72151,0.82836,0.82836,0.82836
3,8,0.92075,0.95992,0.5625,0.59024,0.92075,0.92075,0.92075
3,9,0.8,0.79777,0.79436,0.79574,0.8,0.8,0.8
4,0,0.98218,0.49109,0.5,0.4955,0.98218,0.98218,0.98218
4,1,0.85064,0.80908,0.72494,0.75328,0.85064,0.85064,0.85064
4,2,0.92759,0.96367,0.52273,0.52463,0.92759,0.92759,0.92759
4,3,0.75,0.83333,0.75,0.73333,0.75,0.75,0.75
4,4,0.86918,0.72975,0.66947,0.69216,0.86918,0.86918,0.86918
4,5,0.82857,0.8361,0.81429,0.82016,0.82857,0.82857,0.82857
4,6,0.82012,0.82489,0.78859,0.79958,0.82012,0.82012,0.82012
4,7,0.82836,0.76254,0.69968,0.72151,0.82836,0.82836,0.82836
4,8,0.92453,0.87999,0.60209,0.64667,0.92453,0.92453,0.92453
4,9,0.81203,0.80952,0.81344,0.81049,0.81203,0.81203,0.81203
5,0,0.98218,0.49109,0.5,0.4955,0.98218,0.98218,0.98218
5,1,0.84534,0.79267,0.72659,0.75051,0.84534,0.84534,0.84534
5,2,0.92069,0.63008,0.519,0.51928,0.92069,0.92069,0.92069
5,3,0.75,0.83333,0.75,0.73333,0.75,0.75,0.75
5,4,0.88027,0.75866,0.70201,0.72475,0.88027,0.88027,0.88027
5,5,0.82857,0.8361,0.81429,0.82016,0.82857,0.82857,0.82857
5,6,0.82622,0.83009,0.79659,0.80721,0.82622,0.82622,0.82622
5,7,0.83582,0.7697,0.72821,0.74489,0.83582,0.83582,0.83582
5,8,0.92453,0.87999,0.60209,0.64667,0.92453,0.92453,0.92453
5,9,0.81353,0.81096,0.80944,0.81013,0.81353,0.81353,0.81353
6,0,0.98317,0.99158,0.52778,0.54838,0.98317,0.98317,0.98317
6,1,0.84746,0.7987,0.72627,0.75182,0.84746,0.84746,0.84746
6,2,0.92069,0.63008,0.519,0.51928,0.92069,0.92069,0.92069
6,3,0.75,0.83333,0.75,0.73333,0.75,0.75,0.75
6,4,0.87805,0.75162,0.70724,0.72593,0.87805,0.87805,0.87805
6,5,0.82857,0.8361,0.81429,0.82016,0.82857,0.82857,0.82857
6,6,0.82317,0.82373,0.79567,0.80505,0.82317,0.82317,0.82317
6,7,0.83582,0.7697,0.72821,0.74489,0.83582,0.83582,0.83582
6,8,0.92453,0.87999,0.60209,0.64667,0.92453,0.92453,0.92453
6,9,0.82105,0.81817,0.81841,0.81829,0.82105,0.82105,0.82105
7,0,0.98416,0.99206,0.55556,0.596,0.98416,0.98416,0.98416
7,1,0.85381,0.81754,0.72699,0.75692,0.85381,0.85381,0.85381
7,2,0.92414,0.71503,0.54172,0.55707,0.92414,0.92414,0.92414
7,3,0.75,0.83333,0.75,0.73333,0.75,0.75,0.75
7,4,0.88248,0.76267,0.71635,0.73589,0.88248,0.88248,0.88248
7,5,0.82857,0.8361,0.81429,0.82016,0.82857,0.82857,0.82857
7,6,0.82622,0.83009,0.79659,0.80721,0.82622,0.82622,0.82622
7,7,0.83582,0.7697,0.72821,0.74489,0.83582,0.83582,0.83582
7,8,0.92453,0.87999,0.60209,0.64667,0.92453,0.92453,0.92453
7,9,0.81805,0.81534,0.81459,0.81495,0.81805,0.81805,0.81805
8,0,0.98416,0.99206,0.55556,0.596,0.98416,0.98416,0.98416
8,1,0.84852,0.80243,0.72526,0.75195,0.84852,0.84852,0.84852
8,2,0.92414,0.71503,0.54172,0.55707,0.92414,0.92414,0.92414
8,3,0.75,0.83333,0.75,0.73333,0.75,0.75,0.75
8,4,0.8847,0.76885,0.71764,0.73893,0.8847,0.8847,0.8847
8,5,0.83265,0.83946,0.81905,0.82476,0.83265,0.83265,0.83265
8,6,0.82317,0.82553,0.79413,0.80424,0.82317,0.82317,0.82317
8,7,0.84328,0.78476,0.73301,0.75305,0.84328,0.84328,0.84328
8,8,0.92453,0.87999,0.60209,0.64667,0.92453,0.92453,0.92453
8,9,0.82707,0.82408,0.82567,0.82478,0.82707,0.82707,0.82707
9,0,0.98416,0.99206,0.55556,0.596,0.98416,0.98416,0.98416
9,1,0.85275,0.81468,0.7263,0.7557,0.85275,0.85275,0.85275
9,2,0.92414,0.71503,0.54172,0.55707,0.92414,0.92414,0.92414
9,3,0.75,0.83333,0.75,0.73333,0.75,0.75,0.75
9,4,0.88248,0.76267,0.71635,0.73589,0.88248,0.88248,0.88248
9,5,0.82857,0.8361,0.81429,0.82016,0.82857,0.82857,0.82857
9,6,0.82317,0.82553,0.79413,0.80424,0.82317,0.82317,0.82317
9,7,0.84328,0.78476,0.73301,0.75305,0.84328,0.84328,0.84328
9,8,0.92453,0.87999,0.60209,0.64667,0.92453,0.92453,0.92453
9,9,0.81654,0.81388,0.81288,0.81335,0.81654,0.81654,0.81654
10,0,0.98515,0.99255,0.58333,0.63911,0.98515,0.98515,0.98515
10,1,0.8464,0.79416,0.72896,0.75273,0.8464,0.8464,0.8464
10,2,0.92414,0.71503,0.54172,0.55707,0.92414,0.92414,0.92414
10,3,0.75,0.83333,0.75,0.73333,0.75,0.75,0.75
10,4,0.88248,0.76383,0.70983,0.7319,0.88248,0.88248,0.88248
10,5,0.82449,0.8306,0.81071,0.81621,0.82449,0.82449,0.82449
10,6,0.82317,0.82749,0.79259,0.80341,0.82317,0.82317,0.82317
10,7,0.84328,0.78476,0.73301,0.75305,0.84328,0.84328,0.84328
10,8,0.92453,0.87999,0.60209,0.64667,0.92453,0.92453,0.92453
10,9,0.82707,0.82406,0.82605,0.8249,0.82707,0.82707,0.82707
11,0,0.98515,0.99255,0.58333,0.63911,0.98515,0.98515,0.98515
11,1,0.85487,0.82044,0.72767,0.75814,0.85487,0.85487,0.85487
11,2,0.92414,0.71503,0.54172,0.55707,0.92414,0.92414,0.92414
11,3,0.75,0.83333,0.75,0.73333,0.75,0.75,0.75
11,4,0.87805,0.751,0.71376,0.72993,0.87805,0.87805,0.87805
11,5,0.82041,0.82519,0.80714,0.81227,0.82041,0.82041,0.82041
11,6,0.82317,0.82553,0.79413,0.80424,0.82317,0.82317,0.82317
11,7,0.84328,0.78476,0.73301,0.75305,0.84328,0.84328,0.84328
11,8,0.92453,0.87999,0.60209,0.64667,0.92453,0.92453,0.92453
11,9,0.83158,0.82863,0.8312,0.82964,0.83158,0.83158,0.83158
12,0,0.98614,0.99304,0.61111,0.67831,0.98614,0.98614,0.98614
12,1,0.85381,0.81754,0.72699,0.75692,0.85381,0.85381,0.85381
