round,comm_costs
1,621200
2,621200
3,621200
4,621200
5,621200
6,621200
7,621200
8,621200
9,621200
10,621200
11,621200
12,621200
13,621200
14,621200
15,621200
16,621200
17,621200
18,621200
19,621200
20,621200
21,621200
22,621200
23,621200
24,621200
25,621200
26,621200
27,621200
28,621200
29,621200
30,621200
31,621200
32,621200
33,621200
34,621200
35,621200
36,621200
37,621200
38,621200
39,621200
40,621200
41,621200
42,621200
43,621200
44,621200
45,621200
46,621200
47,621200
48,621200
49,621200
50,621200
