round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,1,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,2,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,3,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,4,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,5,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,6,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,7,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,8,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,9,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
2,0,0.75999,0.87888,0.51848,0.46673,0.75999,0.75999,0.75999
2,1,0.75926,0.8786,0.517,0.46379,0.75926,0.75926,0.75926
2,2,0.75907,0.87853,0.51663,0.46306,0.75907,0.75907,0.75907
2,3,0.75889,0.87846,0.51626,0.46232,0.75889,0.75889,0.75889
2,4,0.75889,0.87846,0.51626,0.46232,0.75889,0.75889,0.75889
2,5,0.75815,0.87818,0.51478,0.45935,0.75815,0.75815,0.75815
2,6,0.75962,0.87874,0.51774,0.46526,0.75962,0.75962,0.75962
2,7,0.75428,0.87671,0.50702,0.44353,0.75428,0.75428,0.75428
2,8,0.75815,0.87818,0.51478,0.45935,0.75815,0.75815,0.75815
2,9,0.7576,0.87797,0.51367,0.45712,0.7576,0.7576,0.7576
3,0,0.80825,0.80613,0.64023,0.66332,0.80825,0.80825,0.80825
3,1,0.80862,0.80667,0.64097,0.66425,0.80862,0.80862,0.80862
3,2,0.80825,0.80666,0.63999,0.66303,0.80825,0.80825,0.80825
3,3,0.80825,0.80613,0.64023,0.66332,0.80825,0.80825,0.80825
3,4,0.80807,0.80585,0.63986,0.66285,0.80807,0.80807,0.80807
3,5,0.80899,0.80721,0.64171,0.66518,0.80899,0.80899,0.80899
3,6,0.8088,0.80694,0.64134,0.66472,0.8088,0.8088,0.8088
3,7,0.80807,0.80638,0.63962,0.66257,0.80807,0.80807,0.80807
3,8,0.80825,0.80666,0.63999,0.66303,0.80825,0.80825,0.80825
3,9,0.80807,0.80585,0.63986,0.66285,0.80807,0.80807,0.80807
4,0,0.82022,0.80335,0.67561,0.70365,0.82022,0.82022,0.82022
4,1,0.81857,0.80473,0.66982,0.69756,0.81857,0.81857,0.81857
4,2,0.82133,0.80312,0.67906,0.70725,0.82133,0.82133,0.82133
4,3,0.81783,0.80766,0.66587,0.69347,0.81783,0.81783,0.81783
4,4,0.81801,0.80474,0.66821,0.69582,0.81801,0.81801,0.81801
4,5,0.81949,0.80561,0.67191,0.69992,0.81949,0.81949,0.81949
4,6,0.82188,0.80387,0.68017,0.70849,0.82188,0.82188,0.82188
4,7,0.81783,0.80766,0.66587,0.69347,0.81783,0.81783,0.81783
4,8,0.82115,0.80288,0.67869,0.70684,0.82115,0.82115,0.82115
4,9,0.82133,0.80312,0.67906,0.70725,0.82133,0.82133,0.82133
5,0,0.82612,0.80977,0.68842,0.71764,0.82612,0.82612,0.82612
5,1,0.82575,0.80963,0.68744,0.71663,0.82575,0.82575,0.82575
5,2,0.82593,0.80953,0.68805,0.71724,0.82593,0.82593,0.82593
5,3,0.82612,0.80911,0.68892,0.71806,0.82612,0.82612,0.82612
5,4,0.82612,0.80911,0.68892,0.71806,0.82612,0.82612,0.82612
5,5,0.82593,0.81124,0.68682,0.71619,0.82593,0.82593,0.82593
5,6,0.82593,0.80887,0.68855,0.71766,0.82593,0.82593,0.82593
5,7,0.82557,0.81076,0.68608,0.71537,0.82557,0.82557,0.82557
5,8,0.82575,0.80963,0.68744,0.71663,0.82575,0.82575,0.82575
5,9,0.82575,0.811,0.68645,0.71578,0.82575,0.82575,0.82575
6,0,0.8298,0.7975,0.71137,0.73753,0.8298,0.8298,0.8298
6,1,0.8298,0.79664,0.71236,0.73823,0.8298,0.8298,0.8298
6,2,0.8298,0.7975,0.71137,0.73753,0.8298,0.8298,0.8298
6,3,0.8298,0.7975,0.71137,0.73753,0.8298,0.8298,0.8298
6,4,0.8298,0.79707,0.71186,0.73788,0.8298,0.8298,0.8298
6,5,0.8298,0.79686,0.71211,0.73806,0.8298,0.8298,0.8298
6,6,0.8298,0.79707,0.71186,0.73788,0.8298,0.8298,0.8298
6,7,0.8298,0.7975,0.71137,0.73753,0.8298,0.8298,0.8298
6,8,0.83017,0.79797,0.71211,0.73827,0.83017,0.83017,0.83017
6,9,0.8298,0.79707,0.71186,0.73788,0.8298,0.8298,0.8298
7,0,0.83404,0.79793,0.72604,0.75014,0.83404,0.83404,0.83404
7,1,0.83312,0.79866,0.72172,0.74671,0.83312,0.83312,0.83312
7,2,0.83422,0.79853,0.72592,0.75017,0.83422,0.83422,0.83422
7,3,0.83312,0.79866,0.72172,0.74671,0.83312,0.83312,0.83312
7,4,0.83386,0.79662,0.72715,0.75074,0.83386,0.83386,0.83386
7,5,0.83349,0.79798,0.72394,0.74841,0.83349,0.83349,0.83349
7,6,0.83386,0.7977,0.72567,0.74978,0.83386,0.83386,0.83386
7,7,0.83275,0.79858,0.72049,0.74565,0.83275,0.83275,0.83275
7,8,0.83349,0.79616,0.72641,0.75003,0.83349,0.83349,0.83349
7,9,0.83422,0.79853,0.72592,0.75017,0.83422,0.83422,0.83422
8,0,0.83128,0.8116,0.70248,0.73174,0.83128,0.83128,0.83128
8,1,0.83201,0.81106,0.70519,0.73424,0.83201,0.83201,0.83201
8,2,0.83054,0.81127,0.7005,0.7298,0.83054,0.83054,0.83054
8,3,0.82962,0.81324,0.69619,0.72586,0.82962,0.82962,0.82962
8,4,0.83091,0.81173,0.70124,0.73058,0.83091,0.83091,0.83091
8,5,0.83164,0.81147,0.70371,0.7329,0.83164,0.83164,0.83164
8,6,0.83109,0.81137,0.70211,0.73135,0.83109,0.83109,0.83109
8,7,0.83128,0.81101,0.70297,0.73212,0.83128,0.83128,0.83128
8,8,0.83054,0.81127,0.7005,0.7298,0.83054,0.83054,0.83054
8,9,0.83164,0.81147,0.70371,0.7329,0.83164,0.83164,0.83164
9,0,0.83404,0.80444,0.71814,0.74483,0.83404,0.83404,0.83404
9,1,0.83441,0.80581,0.71789,0.74489,0.83441,0.83441,0.83441
9,2,0.83404,0.80489,0.71765,0.74449,0.83404,0.83404,0.83404
9,3,0.83404,0.80444,0.71814,0.74483,0.83404,0.83404,0.83404
9,4,0.83441,0.80581,0.71789,0.74489,0.83441,0.83441,0.83441
9,5,0.83441,0.80581,0.71789,0.74489,0.83441,0.83441,0.83441
9,6,0.83404,0.80399,0.71863,0.74517,0.83404,0.83404,0.83404
9,7,0.83422,0.80535,0.71777,0.74469,0.83422,0.83422,0.83422
9,8,0.83404,0.80466,0.71789,0.74466,0.83404,0.83404,0.83404
9,9,0.83422,0.8049,0.71826,0.74503,0.83422,0.83422,0.83422
10,0,0.83036,0.81448,0.69742,0.72724,0.83036,0.83036,0.83036
10,1,0.83091,0.81485,0.69877,0.72863,0.83091,0.83091,0.83091
10,2,0.83091,0.81453,0.69902,0.72882,0.83091,0.83091,0.83091
10,3,0.83091,0.81485,0.69877,0.72863,0.83091,0.83091,0.83091
10,4,0.83091,0.81485,0.69877,0.72863,0.83091,0.83091,0.83091
10,5,0.83091,0.81453,0.69902,0.72882,0.83091,0.83091,0.83091
10,6,0.83091,0.81485,0.69877,0.72863,0.83091,0.83091,0.83091
10,7,0.83072,0.81366,0.69914,0.72882,0.83072,0.83072,0.83072
10,8,0.83036,0.81448,0.69742,0.72724,0.83036,0.83036,0.83036
10,9,0.83072,0.81462,0.6984,0.72823,0.83072,0.83072,0.83072
11,0,0.83478,0.80536,0.71962,0.74631,0.83478,0.83478,0.83478
11,1,0.83441,0.80651,0.71715,0.74437,0.83441,0.83441,0.83441
11,2,0.83459,0.80536,0.719,0.74577,0.83459,0.83459,0.83459
11,3,0.83496,0.80537,0.72023,0.74684,0.83496,0.83496,0.83496
11,4,0.83478,0.8065,0.71838,0.74545,0.83478,0.83478,0.83478
11,5,0.83478,0.80536,0.71962,0.74631,0.83478,0.83478,0.83478
11,6,0.83459,0.80536,0.719,0.74577,0.83459,0.83459,0.83459
11,7,0.83551,0.80561,0.72184,0.74828,0.83551,0.83551,0.83551
11,8,0.83478,0.8065,0.71838,0.74545,0.83478,0.83478,0.83478
11,9,0.83441,0.8049,0.71888,0.74557,0.83441,0.83441,0.83441
12,0,0.83349,0.80656,0.71407,0.74164,0.83349,0.83349,0.83349
12,1,0.83386,0.808,0.71382,0.74168,0.83386,0.83386,0.83386
12,2,0.83404,0.80848,0.71394,0.74188,0.83404,0.83404,0.83404
12,3,0.83367,0.80728,0.71394,0.74166,0.83367,0.83367,0.83367
