round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.69221,0.66348,0.71503,0.65875,0.69221,0.69221,0.69221
2,0.76073,0.84034,0.52119,0.47284,0.76073,0.76073,0.76073
3,0.77252,0.84209,0.54657,0.52101,0.77252,0.77252,0.77252
4,0.7821,0.83203,0.569,0.56026,0.7821,0.7821,0.7821
5,0.7902,0.83499,0.58698,0.58911,0.7902,0.7902,0.7902
6,0.80438,0.81812,0.62531,0.64448,0.80438,0.80438,0.80438
7,0.80512,0.8298,0.62334,0.64194,0.80512,0.80512,0.80512
8,0.82096,0.81228,0.67191,0.70051,0.82096,0.82096,0.82096
9,0.83091,0.79744,0.71531,0.74097,0.83091,0.83091,0.83091
10,0.83054,0.80724,0.70396,0.73247,0.83054,0.83054,0.83054
11,0.8322,0.80397,0.71247,0.73973,0.8322,0.8322,0.8322
12,0.83054,0.80921,0.70223,0.73114,0.83054,0.83054,0.83054
13,0.83533,0.79598,0.73381,0.75589,0.83533,0.83533,0.83533
14,0.83441,0.80468,0.71913,0.74574,0.83441,0.83441,0.83441
15,0.82999,0.81636,0.69495,0.72505,0.82999,0.82999,0.82999
16,0.82741,0.82906,0.6799,0.71073,0.82741,0.82741,0.82741
17,0.82815,0.82222,0.68582,0.71638,0.82815,0.82815,0.82815
18,0.83404,0.80582,0.71666,0.7438,0.83404,0.83404,0.83404
19,0.83551,0.79685,0.73319,0.75563,0.83551,0.83551,0.83551
20,0.83625,0.80035,0.73097,0.75472,0.83625,0.83625,0.83625
21,0.8287,0.81941,0.68915,0.71954,0.8287,0.8287,0.8287
22,0.8252,0.83325,0.67201,0.70233,0.8252,0.8252,0.8252
23,0.82888,0.81816,0.69051,0.72078,0.82888,0.82888,0.82888
24,0.83607,0.8016,0.72862,0.75311,0.83607,0.83607,0.83607
25,0.83643,0.80225,0.72912,0.75366,0.83643,0.83643,0.83643
26,0.82851,0.81881,0.68903,0.71934,0.82851,0.82851,0.82851
27,0.83349,0.8042,0.71654,0.74338,0.83349,0.83349,0.83349
28,0.84122,0.79991,0.75132,0.77014,0.84122,0.84122,0.84122
29,0.84104,0.80275,0.74576,0.76688,0.84104,0.84104,0.84104
30,0.83275,0.81586,0.70346,0.73332,0.83275,0.83275,0.83275
31,0.83367,0.80287,0.71864,0.74495,0.83367,0.83367,0.83367
32,0.82759,0.82359,0.68348,0.71405,0.82759,0.82759,0.82759
33,0.83201,0.80645,0.70938,0.73738,0.83201,0.83201,0.83201
34,0.82778,0.82058,0.68583,0.71621,0.82778,0.82778,0.82778
35,0.8333,0.80466,0.71543,0.74249,0.8333,0.8333,0.8333
36,0.83164,0.81356,0.70198,0.73156,0.83164,0.83164,0.83164
37,0.83072,0.81241,0.70013,0.7296,0.83072,0.83072,0.83072
38,0.83054,0.81218,0.69976,0.72921,0.83054,0.83054,0.83054
39,0.83017,0.81203,0.69878,0.72823,0.83017,0.83017,0.83017
40,0.83828,0.80359,0.73405,0.75799,0.83828,0.83828,0.83828
41,0.83091,0.81264,0.7005,0.73,0.83091,0.83091,0.83091
42,0.83422,0.80512,0.71802,0.74486,0.83422,0.83422,0.83422
43,0.83072,0.80831,0.70359,0.73229,0.83072,0.83072,0.83072
44,0.83054,0.81127,0.7005,0.7298,0.83054,0.83054,0.83054
45,0.83349,0.8068,0.71382,0.74146,0.83349,0.83349,0.83349
46,0.83588,0.80137,0.72825,0.75275,0.83588,0.83588,0.83588
47,0.83478,0.79998,0.72604,0.7506,0.83478,0.83478,0.83478
48,0.8287,0.81373,0.6931,0.72286,0.8287,0.8287,0.8287
49,0.82612,0.82435,0.67904,0.70936,0.82612,0.82612,0.82612
50,0.82299,0.82753,0.66906,0.69856,0.82299,0.82299,0.82299
