round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.81396,0.78587,0.66971,0.69564,0.81396,0.81396,0.81396
2,0.82962,0.79705,0.71125,0.73733,0.82962,0.82962,0.82962
3,0.83533,0.80203,0.72542,0.75055,0.83533,0.83533,0.83533
4,0.83662,0.80228,0.72973,0.75418,0.83662,0.83662,0.83662
5,0.83791,0.80504,0.73084,0.75572,0.83791,0.83791,0.83791
6,0.83809,0.80355,0.73343,0.75748,0.83809,0.83809,0.83809
7,0.83846,0.804,0.73417,0.75819,0.83846,0.83846,0.83846
8,0.83864,0.80405,0.73479,0.75869,0.83864,0.83864,0.83864
9,0.83901,0.80468,0.73528,0.75924,0.83901,0.83901,0.83901
10,0.83883,0.80427,0.73515,0.75904,0.83883,0.83883,0.83883
11,0.83864,0.80332,0.73577,0.7593,0.83864,0.83864,0.83864
12,0.83828,0.80286,0.73503,0.7586,0.83828,0.83828,0.83828
13,0.83846,0.80345,0.73491,0.75865,0.83846,0.83846,0.83846
14,0.83846,0.80327,0.73516,0.7588,0.83846,0.83846,0.83846
15,0.83846,0.80256,0.73614,0.75941,0.83846,0.83846,0.83846
16,0.83809,0.80264,0.73466,0.75825,0.83809,0.83809,0.83809
17,0.83772,0.802,0.73417,0.7577,0.83772,0.83772,0.83772
18,0.83791,0.8017,0.73528,0.75851,0.83791,0.83791,0.83791
19,0.83772,0.80095,0.73565,0.75861,0.83772,0.83772,0.83772
20,0.83791,0.80153,0.73553,0.75866,0.83791,0.83791,0.83791
21,0.83809,0.8021,0.7354,0.75871,0.83809,0.83809,0.83809
22,0.83846,0.80309,0.7354,0.75895,0.83846,0.83846,0.83846
23,0.83846,0.80256,0.73614,0.75941,0.83846,0.83846,0.83846
24,0.83864,0.80244,0.73701,0.76006,0.83864,0.83864,0.83864
25,0.83846,0.80256,0.73614,0.75941,0.83846,0.83846,0.83846
26,0.83901,0.80432,0.73577,0.75955,0.83901,0.83901,0.83901
27,0.83846,0.80309,0.7354,0.75895,0.83846,0.83846,0.83846
28,0.83864,0.80332,0.73577,0.7593,0.83864,0.83864,0.83864
29,0.83883,0.80355,0.73614,0.75965,0.83883,0.83883,0.83883
30,0.83901,0.80359,0.73676,0.76015,0.83901,0.83901,0.83901
31,0.83864,0.80332,0.73577,0.7593,0.83864,0.83864,0.83864
32,0.83883,0.80284,0.73713,0.76026,0.83883,0.83883,0.83883
33,0.83864,0.80314,0.73602,0.75945,0.83864,0.83864,0.83864
34,0.83846,0.80291,0.73565,0.7591,0.83846,0.83846,0.83846
35,0.83846,0.80256,0.73614,0.75941,0.83846,0.83846,0.83846
36,0.83864,0.80332,0.73577,0.7593,0.83864,0.83864,0.83864
37,0.83901,0.80395,0.73627,0.75985,0.83901,0.83901,0.83901
38,0.83864,0.80226,0.73725,0.76021,0.83864,0.83864,0.83864
39,0.83883,0.80337,0.73639,0.7598,0.83883,0.83883,0.83883
40,0.83883,0.80355,0.73614,0.75965,0.83883,0.83883,0.83883
41,0.83864,0.80314,0.73602,0.75945,0.83864,0.83864,0.83864
42,0.8392,0.80436,0.73639,0.76005,0.8392,0.8392,0.8392
43,0.83809,0.80158,0.73615,0.75916,0.83809,0.83809,0.83809
44,0.83864,0.80261,0.73676,0.75991,0.83864,0.83864,0.83864
45,0.83846,0.80238,0.73639,0.75956,0.83846,0.83846,0.83846
46,0.83864,0.80279,0.73651,0.75976,0.83864,0.83864,0.83864
47,0.8392,0.80329,0.73787,0.76095,0.8392,0.8392,0.8392
48,0.83864,0.80314,0.73602,0.75945,0.83864,0.83864,0.83864
49,0.8392,0.80491,0.73565,0.75959,0.8392,0.8392,0.8392
50,0.83864,0.80296,0.73627,0.7596,0.83864,0.83864,0.83864
