round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.82483,0.76854,0.74682,0.75636,0.82483,0.82483,0.82483
1,1,0.54798,0.44061,0.43283,0.43532,0.54798,0.54798,0.54798
1,2,0.54577,0.43956,0.43136,0.43395,0.54577,0.54577,0.54577
1,3,0.54817,0.44352,0.43567,0.43796,0.54817,0.54817,0.54817
1,4,0.54983,0.43915,0.43184,0.43434,0.54983,0.54983,0.54983
1,5,0.54688,0.44265,0.43457,0.43693,0.54688,0.54688,0.54688
1,6,0.55259,0.43888,0.4322,0.43461,0.55259,0.55259,0.55259
1,7,0.5478,0.44001,0.43222,0.43474,0.5478,0.5478,0.5478
1,8,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,9,0.55332,0.44267,0.4359,0.43815,0.55332,0.55332,0.55332
2,0,0.83238,0.78024,0.75432,0.76552,0.83238,0.83238,0.83238
2,1,0.81783,0.78602,0.68241,0.70859,0.81783,0.81783,0.81783
2,2,0.81912,0.7907,0.68228,0.70907,0.81912,0.81912,0.81912
2,3,0.81986,0.78691,0.68845,0.7146,0.81986,0.81986,0.81986
2,4,0.81746,0.78678,0.68044,0.70673,0.81746,0.81746,0.81746
2,5,0.82022,0.78718,0.68944,0.71559,0.82022,0.82022,0.82022
2,6,0.81857,0.78939,0.68167,0.70829,0.81857,0.81857,0.81857
2,7,0.82004,0.78886,0.68709,0.71357,0.82004,0.82004,0.82004
2,8,0.76036,0.87902,0.51922,0.4682,0.76036,0.76036,0.76036
2,9,0.8182,0.78834,0.68142,0.70791,0.8182,0.8182,0.8182
3,0,0.83588,0.78482,0.76084,0.77136,0.83588,0.83588,0.83588
3,1,0.83201,0.79393,0.72395,0.74749,0.83201,0.83201,0.83201
3,2,0.83036,0.79268,0.71939,0.74343,0.83036,0.83036,0.83036
3,3,0.83275,0.79452,0.72592,0.74924,0.83275,0.83275,0.83275
3,4,0.83183,0.7944,0.72259,0.74648,0.83183,0.83183,0.83183
3,5,0.83293,0.79408,0.72728,0.75023,0.83293,0.83293,0.83293
3,6,0.83128,0.79497,0.71976,0.74424,0.83128,0.83128,0.83128
3,7,0.83275,0.79452,0.72592,0.74924,0.83275,0.83275,0.83275
3,8,0.77233,0.8755,0.54373,0.51488,0.77233,0.77233,0.77233
3,9,0.8322,0.79729,0.72012,0.74506,0.8322,0.8322,0.8322
4,0,0.83717,0.78644,0.76343,0.77359,0.83717,0.83717,0.83717
4,1,0.83422,0.79442,0.73184,0.75395,0.83422,0.83422,0.83422
4,2,0.83607,0.79872,0.73257,0.75561,0.83607,0.83607,0.83607
4,3,0.8357,0.79676,0.73406,0.75629,0.8357,0.8357,0.8357
4,4,0.83717,0.79992,0.73504,0.75787,0.83717,0.83717,0.83717
4,5,0.83607,0.79627,0.73628,0.75789,0.83607,0.83607,0.83607
4,6,0.83551,0.79854,0.73073,0.75409,0.83551,0.83551,0.83551
4,7,0.83625,0.79745,0.73517,0.75733,0.83625,0.83625,0.83625
4,8,0.77749,0.87908,0.55408,0.53331,0.77749,0.77749,0.77749
4,9,0.83514,0.79933,0.72826,0.75228,0.83514,0.83514,0.83514
5,0,0.8392,0.79024,0.76354,0.77512,0.8392,0.8392,0.8392
5,1,0.83717,0.79766,0.73849,0.75996,0.83717,0.83717,0.83717
5,2,0.83735,0.80015,0.73541,0.75822,0.83735,0.83735,0.83735
5,3,0.83662,0.79759,0.7364,0.75833,0.83662,0.83662,0.83662
5,4,0.83772,0.79994,0.73713,0.75952,0.83772,0.83772,0.83772
5,5,0.83975,0.80101,0.74342,0.76463,0.83975,0.83975,0.83975
5,6,0.83772,0.8013,0.73516,0.75831,0.83772,0.83772,0.83772
5,7,0.83662,0.79712,0.73714,0.75878,0.83662,0.83662,0.83662
5,8,0.78154,0.87879,0.56246,0.54786,0.78154,0.78154,0.78154
5,9,0.83791,0.80314,0.73331,0.75728,0.83791,0.83791,0.83791
6,0,0.84012,0.79129,0.76564,0.77684,0.84012,0.84012,0.84012
6,1,0.83662,0.79759,0.7364,0.75833,0.83662,0.83662,0.83662
6,2,0.83662,0.79924,0.73393,0.75682,0.83662,0.83662,0.83662
6,3,0.83625,0.79745,0.73517,0.75733,0.83625,0.83625,0.83625
6,4,0.8392,0.80312,0.73812,0.7611,0.8392,0.8392,0.8392
6,5,0.83993,0.80186,0.7428,0.7644,0.83993,0.83993,0.83993
6,6,0.83846,0.80309,0.7354,0.75895,0.83846,0.83846,0.83846
6,7,0.8368,0.79767,0.73702,0.75883,0.8368,0.8368,0.8368
6,8,0.78339,0.88,0.56615,0.55411,0.78339,0.78339,0.78339
6,9,0.83735,0.80264,0.73195,0.75607,0.83735,0.83735,0.83735
7,0,0.84178,0.79394,0.76724,0.77885,0.84178,0.84178,0.84178
7,1,0.83828,0.79903,0.74071,0.76203,0.83828,0.83828,0.83828
7,2,0.83735,0.79899,0.73714,0.75927,0.83735,0.83735,0.83735
7,3,0.83699,0.79743,0.73813,0.75962,0.83699,0.83699,0.83699
7,4,0.83846,0.80005,0.73985,0.76164,0.83846,0.83846,0.83846
7,5,0.83993,0.80062,0.74478,0.76555,0.83993,0.83993,0.83993
7,6,0.83957,0.8034,0.7391,0.76195,0.83957,0.83957,0.83957
7,7,0.83662,0.79591,0.73911,0.75996,0.83662,0.83662,0.83662
7,8,0.78652,0.88196,0.57243,0.56457,0.78652,0.78652,0.78652
7,9,0.83883,0.80355,0.73614,0.75965,0.83883,0.83883,0.83883
8,0,0.84196,0.79462,0.76637,0.77856,0.84196,0.84196,0.84196
8,1,0.83846,0.79957,0.74059,0.76208,0.83846,0.83846,0.83846
8,2,0.83938,0.80283,0.73923,0.7619,0.83938,0.83938,0.83938
8,3,0.83754,0.7989,0.738,0.75991,0.83754,0.83754,0.83754
8,4,0.83828,0.80046,0.73849,0.76071,0.83828,0.83828,0.83828
8,5,0.8392,0.79956,0.74355,0.76433,0.8392,0.8392,0.8392
8,6,0.84085,0.8055,0.74095,0.76394,0.84085,0.84085,0.84085
8,7,0.83828,0.79934,0.74022,0.76174,0.83828,0.83828,0.83828
8,8,0.7891,0.8835,0.57761,0.57303,0.7891,0.7891,0.7891
8,9,0.83883,0.80355,0.73614,0.75965,0.83883,0.83883,0.83883
9,0,0.8427,0.79638,0.76563,0.77873,0.8427,0.8427,0.8427
9,1,0.83864,0.7998,0.74096,0.76243,0.83864,0.83864,0.83864
9,2,0.8392,0.80243,0.7391,0.7617,0.8392,0.8392,0.8392
9,3,0.83864,0.80076,0.73948,0.76155,0.83864,0.83864,0.83864
9,4,0.8392,0.8016,0.74034,0.76244,0.8392,0.8392,0.8392
9,5,0.83993,0.80108,0.74404,0.76512,0.83993,0.83993,0.83993
9,6,0.83957,0.80272,0.74009,0.76254,0.83957,0.83957,0.83957
9,7,0.83735,0.79804,0.73862,0.76016,0.83735,0.83735,0.83735
9,8,0.78946,0.8794,0.57884,0.57513,0.78946,0.78946,0.78946
9,9,0.8392,0.80382,0.73713,0.7605,0.8392,0.8392,0.8392
10,0,0.84214,0.7957,0.76452,0.77777,0.84214,0.84214,0.84214
10,1,0.83993,0.8017,0.74305,0.76454,0.83993,0.83993,0.83993
