round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.80653,0.77922,0.7482,0.76007,0.80653,0.80653,0.80653
1,5,0.5,0.5,0.25,0.33333,0.5,0.5,0.5
1,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0,0.80994,0.78468,0.7504,0.76327,0.80994,0.80994,0.80994
2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,0.99878,0.5,0.49939,0.4997,0.99878,0.99878,0.99878
3,0,0.8125,0.78704,0.75534,0.76754,0.8125,0.8125,0.8125
3,5,0.5,0.5,0.25,0.33333,0.5,0.5,0.5
3,8,0.99878,0.5,0.49939,0.4997,0.99878,0.99878,0.99878
4,0,0.81563,0.79096,0.7594,0.77163,0.81563,0.81563,0.81563
4,5,0.5,0.5,0.25,0.33333,0.5,0.5,0.5
4,8,0.99878,0.5,0.49939,0.4997,0.99878,0.99878,0.99878
5,0,0.81733,0.79439,0.75934,0.77261,0.81733,0.81733,0.81733
5,5,0.5,0.5,0.25,0.33333,0.5,0.5,0.5
5,8,0.99756,0.5,0.49878,0.49939,0.99756,0.99756,0.99756
6,0,0.8179,0.7941,0.76182,0.7743,0.8179,0.8179,0.8179
6,5,0.5,0.5,0.25,0.33333,0.5,0.5,0.5
6,8,0.99756,0.5,0.49878,0.49939,0.99756,0.99756,0.99756
7,0,0.81648,0.79303,0.75873,0.77176,0.81648,0.81648,0.81648
7,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
8,0,0.81506,0.79121,0.75693,0.76993,0.81506,0.81506,0.81506
8,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
9,0,0.81449,0.79106,0.75523,0.76864,0.81449,0.81449,0.81449
9,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
10,0,0.81392,0.79029,0.75456,0.76793,0.81392,0.81392,0.81392
10,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
11,0,0.81506,0.79107,0.75719,0.77007,0.81506,0.81506,0.81506
11,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
12,0,0.81477,0.79121,0.75595,0.76921,0.81477,0.81477,0.81477
12,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
13,0,0.81392,0.7906,0.75405,0.76764,0.81392,0.81392,0.81392
13,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
14,0,0.81364,0.79029,0.75358,0.76721,0.81364,0.81364,0.81364
14,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
15,0,0.81449,0.7906,0.756,0.76907,0.81449,0.81449,0.81449
15,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
16,0,0.81335,0.78953,0.75389,0.76722,0.81335,0.81335,0.81335
16,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
17,0,0.81222,0.78877,0.75127,0.76506,0.81222,0.81222,0.81222
17,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
18,0,0.8125,0.78817,0.75328,0.76638,0.8125,0.8125,0.8125
18,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
19,0,0.81307,0.78849,0.75472,0.76752,0.81307,0.81307,0.81307
19,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
20,0,0.81222,0.78772,0.75307,0.7661,0.81222,0.81222,0.81222
20,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
21,0,0.81222,0.78786,0.75282,0.76595,0.81222,0.81222,0.81222
21,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
22,0,0.81108,0.78754,0.74942,0.76334,0.81108,0.81108,0.81108
22,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
23,0,0.81222,0.78786,0.75282,0.76595,0.81222,0.81222,0.81222
23,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
24,0,0.81222,0.78757,0.75333,0.76625,0.81222,0.81222,0.81222
24,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
25,0,0.81165,0.78725,0.75189,0.76509,0.81165,0.81165,0.81165
25,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
26,0,0.80994,0.78631,0.74756,0.76161,0.80994,0.80994,0.80994
26,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
27,0,0.81136,0.78754,0.75039,0.76407,0.81136,0.81136,0.81136
27,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
28,0,0.81136,0.78724,0.75091,0.76437,0.81136,0.81136,0.81136
28,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
29,0,0.81108,0.78708,0.75019,0.76379,0.81108,0.81108,0.81108
29,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
30,0,0.81108,0.78649,0.75122,0.76439,0.81108,0.81108,0.81108
30,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
31,0,0.81165,0.78754,0.75137,0.7648,0.81165,0.81165,0.81165
31,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
32,0,0.81136,0.78636,0.75246,0.76526,0.81136,0.81136,0.81136
32,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
33,0,0.81165,0.78725,0.75189,0.76509,0.81165,0.81165,0.81165
33,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
34,0,0.81136,0.78709,0.75117,0.76452,0.81136,0.81136,0.81136
34,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
35,0,0.81222,0.78772,0.75307,0.7661,0.81222,0.81222,0.81222
35,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
36,0,0.81136,0.78694,0.75143,0.76467,0.81136,0.81136,0.81136
36,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
37,0,0.81165,0.78725,0.75189,0.76509,0.81165,0.81165,0.81165
37,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
38,0,0.81222,0.78729,0.75385,0.76654,0.81222,0.81222,0.81222
38,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
39,0,0.81165,0.78725,0.75189,0.76509,0.81165,0.81165,0.81165
39,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,8,0.99635,0.5,0.49817,0.49908,0.99635,0.99635,0.99635
40,0,0.81165,0.7871,0.75215,0.76524,0.81165,0.81165,0.81165
