round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.80107,0.843,0.61027,0.62375,0.80107,0.80107,0.80107
2,0.8217,0.83173,0.66375,0.69276,0.8217,0.8217,0.8217
3,0.8287,0.82494,0.6857,0.71654,0.8287,0.8287,0.8287
4,0.8263,0.82546,0.67892,0.70933,0.8263,0.8263,0.8263
5,0.82796,0.8224,0.68521,0.71575,0.82796,0.82796,0.82796
6,0.82446,0.82274,0.67547,0.70532,0.82446,0.82446,0.82446
7,0.82188,0.82179,0.66906,0.69814,0.82188,0.82188,0.82188
8,0.82925,0.81789,0.69174,0.72201,0.82925,0.82925,0.82925
9,0.82133,0.823,0.66697,0.69586,0.82133,0.82133,0.82133
10,0.82004,0.82284,0.66364,0.69205,0.82004,0.82004,0.82004
11,0.83091,0.82138,0.69408,0.72481,0.83091,0.83091,0.83091
12,0.82299,0.8246,0.67054,0.70001,0.82299,0.82299,0.82299
13,0.8252,0.82191,0.67794,0.70794,0.8252,0.8252,0.8252
14,0.82391,0.82574,0.67239,0.70217,0.82391,0.82391,0.82391
15,0.83072,0.81592,0.69742,0.72744,0.83072,0.83072,0.83072
16,0.8217,0.83228,0.66351,0.69251,0.8217,0.8217,0.8217
17,0.82557,0.81703,0.68188,0.71169,0.82557,0.82557,0.82557
18,0.82133,0.82598,0.66548,0.69438,0.82133,0.82133,0.82133
19,0.82151,0.81508,0.67178,0.70061,0.82151,0.82151,0.82151
20,0.82741,0.82463,0.68237,0.71297,0.82741,0.82741,0.82741
21,0.82999,0.80909,0.70063,0.72959,0.82999,0.82999,0.82999
22,0.82041,0.82281,0.66462,0.69318,0.82041,0.82041,0.82041
23,0.82501,0.8271,0.6746,0.70474,0.82501,0.82501,0.82501
24,0.81765,0.829,0.65464,0.68183,0.81765,0.81765,0.81765
25,0.82483,0.81974,0.67818,0.708,0.82483,0.82483,0.82483
26,0.82391,0.81733,0.67708,0.70658,0.82391,0.82391,0.82391
27,0.83146,0.80425,0.70976,0.73733,0.83146,0.83146,0.83146
28,0.81894,0.82505,0.65969,0.68761,0.81894,0.81894,0.81894
29,0.82225,0.82086,0.67054,0.69972,0.82225,0.82225,0.82225
30,0.82022,0.82459,0.66327,0.69174,0.82022,0.82022,0.82022
31,0.82115,0.81945,0.66832,0.69713,0.82115,0.82115,0.82115
32,0.82372,0.81962,0.67523,0.70478,0.82372,0.82372,0.82372
33,0.82796,0.8185,0.68768,0.71791,0.82796,0.82796,0.82796
34,0.82722,0.81683,0.68669,0.7167,0.82722,0.82722,0.82722
35,0.8263,0.81642,0.68435,0.71422,0.8263,0.8263,0.8263
36,0.82096,0.82205,0.66647,0.69523,0.82096,0.82096,0.82096
37,0.82078,0.82478,0.66462,0.69331,0.82078,0.82078,0.82078
38,0.81894,0.82777,0.65846,0.68632,0.81894,0.81894,0.81894
39,0.82465,0.81951,0.67781,0.70758,0.82465,0.82465,0.82465
40,0.82115,0.82626,0.66487,0.69369,0.82115,0.82115,0.82115
41,0.82188,0.82667,0.66659,0.6957,0.82188,0.82188,0.82188
42,0.8228,0.82021,0.67239,0.70172,0.8228,0.8228,0.8228
43,0.81967,0.82598,0.66117,0.6894,0.81967,0.81967,0.81967
44,0.82557,0.82684,0.67621,0.70649,0.82557,0.82557,0.82557
45,0.82686,0.82145,0.68274,0.71305,0.82686,0.82686,0.82686
46,0.82225,0.82971,0.6661,0.69534,0.82225,0.82225,0.82225
47,0.81838,0.83411,0.65439,0.68178,0.81838,0.81838,0.81838
48,0.82391,0.82029,0.67535,0.70498,0.82391,0.82391,0.82391
49,0.8263,0.81456,0.68558,0.7153,0.8263,0.8263,0.8263
50,0.82796,0.81147,0.69261,0.72208,0.82796,0.82796,0.82796
