round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.82575,0.76792,0.75953,0.76352,0.82575,0.82575,0.82575
1,1,0.34813,0.53064,0.52242,0.34333,0.34813,0.34813,0.34813
1,2,0.3426,0.52996,0.52096,0.33671,0.3426,0.3426,0.3426
1,3,0.35052,0.53088,0.52303,0.34617,0.35052,0.35052,0.35052
1,4,0.34408,0.5299,0.52121,0.33851,0.34408,0.34408,0.34408
1,5,0.33984,0.5311,0.5211,0.33317,0.33984,0.33984,0.33984
1,6,0.36066,0.53477,0.52755,0.35767,0.36066,0.36066,0.36066
1,7,0.34187,0.52979,0.52072,0.33582,0.34187,0.34187,0.34187
1,8,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,9,0.34445,0.52858,0.52046,0.33911,0.34445,0.34445,0.34445
2,0,0.8357,0.78211,0.77035,0.77586,0.8357,0.8357,0.8357
2,1,0.8088,0.80909,0.64036,0.66358,0.8088,0.8088,0.8088
2,2,0.81009,0.80988,0.64344,0.6674,0.81009,0.81009,0.81009
2,3,0.80788,0.80453,0.63999,0.66296,0.80788,0.80788,0.80788
2,4,0.80917,0.81017,0.64085,0.66422,0.80917,0.80917,0.80917
2,5,0.81083,0.80163,0.6496,0.67443,0.81083,0.81083,0.81083
2,6,0.80659,0.81218,0.63321,0.65466,0.80659,0.80659,0.80659
2,7,0.8088,0.80747,0.6411,0.66443,0.8088,0.8088,0.8088
2,8,0.75207,0.87588,0.50259,0.43429,0.75207,0.75207,0.75207
2,9,0.80549,0.81177,0.63049,0.65116,0.80549,0.80549,0.80549
3,0,0.83441,0.77882,0.77813,0.77847,0.83441,0.83441,0.83441
3,1,0.83183,0.79605,0.72037,0.745,0.83183,0.83183,0.83183
3,2,0.83367,0.79469,0.72925,0.75196,0.83367,0.83367,0.83367
3,3,0.83201,0.79499,0.72247,0.74651,0.83201,0.83201,0.83201
3,4,0.83128,0.79592,0.71852,0.74341,0.83128,0.83128,0.83128
3,5,0.83422,0.7926,0.7348,0.75577,0.83422,0.83422,0.83422
3,6,0.83146,0.80328,0.71074,0.73805,0.83146,0.83146,0.83146
3,7,0.83441,0.79715,0.72851,0.75196,0.83441,0.83441,0.83441
3,8,0.76055,0.87909,0.51959,0.46893,0.76055,0.76055,0.76055
3,9,0.83109,0.80767,0.70531,0.73381,0.83109,0.83109,0.83109
4,0,0.83275,0.7767,0.77505,0.77587,0.83275,0.83275,0.83275
4,1,0.83864,0.79419,0.75108,0.76819,0.83864,0.83864,0.83864
4,2,0.8368,0.78785,0.75701,0.77005,0.8368,0.8368,0.8368
4,3,0.83643,0.79073,0.74813,0.76501,0.83643,0.83643,0.83643
4,4,0.83735,0.7954,0.74306,0.76278,0.83735,0.83735,0.83735
4,5,0.83901,0.78845,0.76811,0.77723,0.83901,0.83901,0.83901
4,6,0.8357,0.79984,0.72961,0.7535,0.8357,0.8357,0.8357
4,7,0.83864,0.79229,0.75528,0.77045,0.83864,0.83864,0.83864
4,8,0.76626,0.88129,0.53104,0.49111,0.76626,0.76626,0.76626
4,9,0.83478,0.80318,0.72209,0.74798,0.83478,0.83478,0.83478
5,0,0.83183,0.77497,0.77913,0.777,0.83183,0.83183,0.83183
5,1,0.83883,0.79038,0.76108,0.7736,0.83883,0.83883,0.83883
5,2,0.83367,0.77927,0.76776,0.77316,0.83367,0.83367,0.83367
5,3,0.83993,0.79278,0.76058,0.77415,0.83993,0.83993,0.83993
5,4,0.83828,0.79483,0.74812,0.76629,0.83828,0.83828,0.83828
5,5,0.83404,0.77842,0.7769,0.77765,0.83404,0.83404,0.83404
5,6,0.83607,0.79906,0.73208,0.7553,0.83607,0.83607,0.83607
5,7,0.83864,0.78874,0.7649,0.77539,0.83864,0.83864,0.83864
5,8,0.76791,0.88193,0.53437,0.49738,0.76791,0.76791,0.76791
5,9,0.83607,0.80586,0.72344,0.7497,0.83607,0.83607,0.83607
6,0,0.83422,0.77874,0.77653,0.77762,0.83422,0.83422,0.83422
6,1,0.83349,0.77894,0.76789,0.77309,0.83349,0.83349,0.83349
6,2,0.8263,0.76756,0.77594,0.77154,0.8263,0.8263,0.8263
