round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.80824,0.77787,0.75898,0.76699,0.80824,0.80824,0.80824
1,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0,0.81534,0.7876,0.76539,0.77463,0.81534,0.81534,0.81534
2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0,0.81989,0.78978,0.78106,0.78511,0.81989,0.81989,0.81989
3,5,0.5,0.5,0.25,0.33333,0.5,0.5,0.5
3,8,0.99878,0.5,0.49939,0.4997,0.99878,0.99878,0.99878
4,0,0.8196,0.78975,0.77956,0.78424,0.8196,0.8196,0.8196
4,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,8,0.99878,0.5,0.49939,0.4997,0.99878,0.99878,0.99878
5,0,0.81875,0.78763,0.78308,0.78527,0.81875,0.81875,0.81875
5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,8,0.99878,0.5,0.49939,0.4997,0.99878,0.99878,0.99878
6,0,0.82045,0.79137,0.77863,0.78437,0.82045,0.82045,0.82045
6,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,8,0.99878,0.5,0.49939,0.4997,0.99878,0.99878,0.99878
7,0,0.82045,0.7909,0.78018,0.78508,0.82045,0.82045,0.82045
7,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,8,0.99878,0.5,0.49939,0.4997,0.99878,0.99878,0.99878
8,0,0.81847,0.78759,0.78132,0.7843,0.81847,0.81847,0.81847
8,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,8,0.99878,0.5,0.49939,0.4997,0.99878,0.99878,0.99878
9,0,0.82102,0.79483,0.77207,0.78157,0.82102,0.82102,0.82102
9,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,8,0.99878,0.5,0.49939,0.4997,0.99878,0.99878,0.99878
10,0,0.82273,0.79546,0.77769,0.7854,0.82273,0.82273,0.82273
10,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,8,0.99878,0.5,0.49939,0.4997,0.99878,0.99878,0.99878
11,0,0.82045,0.78883,0.78972,0.78928,0.82045,0.82045,0.82045
11,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,8,0.99878,0.5,0.49939,0.4997,0.99878,0.99878,0.99878
12,0,0.82472,0.79598,0.78557,0.79036,0.82472,0.82472,0.82472
12,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,8,0.99878,0.5,0.49939,0.4997,0.99878,0.99878,0.99878
13,0,0.82102,0.79531,0.77104,0.78105,0.82102,0.82102,0.82102
13,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,8,0.99878,0.5,0.49939,0.4997,0.99878,0.99878,0.99878
14,0,0.82131,0.79502,0.77279,0.78211,0.82131,0.82131,0.82131
14,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
