round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.81838,0.81311,0.66426,0.69208,0.81838,0.81838,0.81838
2,0.62977,0.68027,0.73319,0.61985,0.62977,0.62977,0.62977
3,0.33303,0.3139,0.25265,0.27317,0.33303,0.33303,0.33303
4,0.67213,0.68661,0.74857,0.65496,0.67213,0.67213,0.67213
5,0.31719,0.31093,0.24753,0.26643,0.31719,0.31719,0.31719
6,0.69534,0.69173,0.75612,0.6736,0.69534,0.69534,0.69534
7,0.29471,0.3076,0.24367,0.25746,0.29471,0.29471,0.29471
8,0.72021,0.69514,0.75762,0.69143,0.72021,0.72021,0.72021
9,0.27132,0.30636,0.24784,0.24934,0.27132,0.27132,0.27132
10,0.74047,0.69438,0.74692,0.70139,0.74047,0.74047,0.74047
11,0.24848,0.30341,0.25806,0.23922,0.24848,0.24848,0.24848
12,0.7576,0.69602,0.73315,0.70673,0.7576,0.7576,0.7576
13,0.23761,0.30506,0.27773,0.23492,0.23761,0.23761,0.23761
14,0.76681,0.69341,0.70694,0.69926,0.76681,0.76681,0.76681
15,0.22969,0.30681,0.30653,0.22969,0.22969,0.22969,0.22969
16,0.76976,0.68816,0.67138,0.67845,0.76976,0.76976,0.76976
17,0.22932,0.31288,0.34603,0.22662,0.22932,0.22932,0.22932
18,0.77362,0.69168,0.63939,0.65379,0.77362,0.77362,0.77362
19,0.22601,0.30609,0.37468,0.21679,0.22601,0.22601,0.22601
20,0.77473,0.69943,0.61174,0.62507,0.77473,0.77473,0.77473
21,0.22859,0.30407,0.40405,0.21151,0.22859,0.22859,0.22859
22,0.76883,0.69685,0.57868,0.58118,0.76883,0.76883,0.76883
23,0.2308,0.29166,0.4307,0.20428,0.2308,0.2308,0.2308
24,0.7657,0.70733,0.55512,0.54274,0.7657,0.7657,0.7657
25,0.23743,0.29471,0.4566,0.20296,0.23743,0.23743,0.23743
26,0.76147,0.71217,0.53674,0.50872,0.76147,0.76147,0.76147
27,0.24222,0.30511,0.47238,0.20295,0.24222,0.24222,0.24222
28,0.75502,0.68002,0.51961,0.47558,0.75502,0.75502,0.75502
29,0.24627,0.32427,0.48569,0.20271,0.24627,0.24627,0.24627
30,0.7517,0.64637,0.50925,0.45328,0.7517,0.7517,0.7517
31,0.24885,0.36298,0.49358,0.20279,0.24885,0.24885,0.24885
32,0.75078,0.62623,0.50444,0.44152,0.75078,0.75078,0.75078
33,0.24977,0.39994,0.49716,0.20233,0.24977,0.24977,0.24977
34,0.74986,0.57574,0.50186,0.43563,0.74986,0.74986,0.74986
35,0.25051,0.4666,0.49938,0.20235,0.25051,0.25051,0.25051
36,0.74931,0.51433,0.50025,0.43192,0.74931,0.74931,0.74931
37,0.25069,0.48567,0.49975,0.20247,0.25069,0.25069,0.25069
38,0.74968,0.53173,0.5005,0.43204,0.74968,0.74968,0.74968
39,0.25032,0.46827,0.4995,0.20192,0.25032,0.25032,0.25032
40,0.74986,0.54217,0.50062,0.43211,0.74986,0.74986,0.74986
41,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
42,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
43,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
44,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
45,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
46,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
47,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
48,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
49,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
50,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
