round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.8368,0.78591,0.76294,0.77308,0.8368,0.8368,0.8368
1,1,0.55148,0.46797,0.46158,0.46045,0.55148,0.55148,0.55148
1,2,0.5292,0.45378,0.44328,0.44287,0.5292,0.5292,0.5292
1,3,0.55277,0.48832,0.4854,0.47832,0.55277,0.55277,0.55277
1,4,0.55627,0.45959,0.45317,0.45396,0.55627,0.55627,0.55627
1,5,0.5408,0.47038,0.46335,0.46,0.5408,0.5408,0.5408
1,6,0.57598,0.46293,0.45938,0.46036,0.57598,0.57598,0.57598
1,7,0.54872,0.46723,0.46048,0.45918,0.54872,0.54872,0.54872
1,8,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,9,0.59753,0.50861,0.51002,0.50609,0.59753,0.59753,0.59753
2,0,0.63345,0.6805,0.73441,0.62293,0.63345,0.63345,0.63345
2,1,0.83128,0.79771,0.7163,0.74188,0.83128,0.83128,0.83128
2,2,0.8263,0.79082,0.70682,0.73222,0.8263,0.8263,0.8263
2,3,0.80936,0.80419,0.64418,0.66807,0.80936,0.80936,0.80936
2,4,0.82888,0.7936,0.71273,0.73795,0.82888,0.82888,0.82888
2,5,0.81378,0.80863,0.65404,0.68003,0.81378,0.81378,0.81378
2,6,0.79462,0.72963,0.66942,0.68756,0.79462,0.79462,0.79462
2,7,0.82262,0.79,0.69473,0.72105,0.82262,0.82262,0.82262
2,8,0.52183,0.65686,0.67168,0.52113,0.52183,0.52183,0.52183
2,9,0.78062,0.73041,0.59887,0.6088,0.78062,0.78062,0.78062
3,0,0.3264,0.31351,0.25144,0.27104,0.3264,0.3264,0.3264
3,1,0.62977,0.68027,0.73319,0.61985,0.62977,0.62977,0.62977
3,2,0.6294,0.68013,0.73295,0.61951,0.6294,0.6294,0.6294
3,3,0.62885,0.67968,0.73233,0.61897,0.62885,0.62885,0.62885
3,4,0.62903,0.67927,0.73196,0.61904,0.62903,0.62903,0.62903
3,5,0.62903,0.68023,0.73295,0.61923,0.62903,0.62903,0.62903
3,6,0.62977,0.67931,0.7322,0.61966,0.62977,0.62977,0.62977
3,7,0.62977,0.68027,0.73319,0.61985,0.62977,0.62977,0.62977
3,8,0.62387,0.36768,0.41894,0.39058,0.62387,0.62387,0.62387
3,9,0.62977,0.68027,0.73319,0.61985,0.62977,0.62977,0.62977
4,0,0.68171,0.68893,0.75223,0.66282,0.68171,0.68171,0.68171
4,1,0.33321,0.31398,0.25277,0.27328,0.33321,0.33321,0.33321
4,2,0.33395,0.3141,0.25301,0.27358,0.33395,0.33395,0.33395
4,3,0.33413,0.31439,0.25338,0.27387,0.33413,0.33413,0.33413
4,4,0.33339,0.31427,0.25314,0.27357,0.33339,0.33339,0.33339
4,5,0.33395,0.3141,0.25301,0.27358,0.33395,0.33395,0.33395
4,6,0.33321,0.31501,0.254,0.27412,0.33321,0.33321,0.33321
4,7,0.33395,0.31431,0.25326,0.27375,0.33395,0.33395,0.33395
4,8,0.40965,0.63712,0.60215,0.40568,0.40965,0.40965,0.40965
4,9,0.33358,0.31456,0.25351,0.27385,0.33358,0.33358,0.33358
5,0,0.3054,0.30864,0.24437,0.26133,0.3054,0.3054,0.3054
5,1,0.67195,0.68652,0.74844,0.6548,0.67195,0.67195,0.67195
5,2,0.67121,0.68619,0.74795,0.65414,0.67121,0.67121,0.67121
5,3,0.67121,0.68619,0.74795,0.65414,0.67121,0.67121,0.67121
5,4,0.67176,0.68644,0.74832,0.65464,0.67176,0.67176,0.67176
5,5,0.67121,0.68619,0.74795,0.65414,0.67121,0.67121,0.67121
5,6,0.67176,0.68644,0.74832,0.65464,0.67176,0.67176,0.67176
5,7,0.67158,0.68615,0.74795,0.65441,0.67158,0.67158,0.67158
5,8,0.61337,0.36589,0.41219,0.38681,0.61337,0.61337,0.61337
5,9,0.67139,0.68627,0.74808,0.65431,0.67139,0.67139,0.67139
6,0,0.70473,0.6921,0.75596,0.68019,0.70473,0.70473,0.70473
6,1,0.31792,0.3109,0.24752,0.26661,0.31792,0.31792,0.31792
6,2,0.31792,0.3109,0.24752,0.26661,0.31792,0.31792,0.31792
6,3,0.31829,0.31107,0.24777,0.26685,0.31829,0.31829,0.31829
6,4,0.31755,0.31072,0.24728,0.26637,0.31755,0.31755,0.31755
6,5,0.31811,0.31099,0.24765,0.26673,0.31811,0.31811,0.31811
6,6,0.31774,0.31081,0.2474,0.26649,0.31774,0.31774,0.31774
6,7,0.31792,0.31109,0.24777,0.26677,0.31792,0.31792,0.31792
6,8,0.37134,0.63117,0.57787,0.36185,0.37134,0.37134,0.37134
6,9,0.31774,0.31081,0.2474,0.26649,0.31774,0.31774,0.31774
7,0,0.2809,0.30535,0.24287,0.25167,0.2809,0.2809,0.2809
7,1,0.69442,0.69144,0.75576,0.67285,0.69442,0.69442,0.69442
7,2,0.69442,0.69144,0.75576,0.67285,0.69442,0.69442,0.69442
7,3,0.69442,0.69144,0.75576,0.67285,0.69442,0.69442,0.69442
7,4,0.69442,0.69144,0.75576,0.67285,0.69442,0.69442,0.69442
7,5,0.69442,0.69144,0.75576,0.67285,0.69442,0.69442,0.69442
7,6,0.69442,0.69144,0.75576,0.67285,0.69442,0.69442,0.69442
7,7,0.69442,0.69144,0.75576,0.67285,0.69442,0.69442,0.69442
7,8,0.64432,0.37021,0.43181,0.39721,0.64432,0.64432,0.64432
7,9,0.69423,0.69117,0.75539,0.67262,0.69423,0.69423,0.69423
8,0,0.72831,0.69369,0.75241,0.69526,0.72831,0.72831,0.72831
8,1,0.29545,0.308,0.24416,0.25798,0.29545,0.29545,0.29545
8,2,0.29545,0.308,0.24416,0.25798,0.29545,0.29545,0.29545
8,3,0.29545,0.308,0.24416,0.25798,0.29545,0.29545,0.29545
8,4,0.29545,0.308,0.24416,0.25798,0.29545,0.29545,0.29545
8,5,0.29545,0.308,0.24416,0.25798,0.29545,0.29545,0.29545
8,6,0.29545,0.308,0.24416,0.25798,0.29545,0.29545,0.29545
8,7,0.29545,0.308,0.24416,0.25798,0.29545,0.29545,0.29545
8,8,0.33045,0.62761,0.55237,0.31161,0.33045,0.33045,0.33045
8,9,0.29545,0.308,0.24416,0.25798,0.29545,0.29545,0.29545
9,0,0.25972,0.30562,0.25295,0.24484,0.25972,0.25972,0.25972
9,1,0.71855,0.69432,0.75677,0.69002,0.71855,0.71855,0.71855
9,2,0.71855,0.69432,0.75677,0.69002,0.71855,0.71855,0.71855
9,3,0.71855,0.69432,0.75677,0.69002,0.71855,0.71855,0.71855
9,4,0.71855,0.69432,0.75677,0.69002,0.71855,0.71855,0.71855
9,5,0.71855,0.69432,0.75677,0.69002,0.71855,0.71855,0.71855
9,6,0.71855,0.69432,0.75677,0.69002,0.71855,0.71855,0.71855
9,7,0.71855,0.69432,0.75677,0.69002,0.71855,0.71855,0.71855
9,8,0.68153,0.37542,0.4556,0.40917,0.68153,0.68153,0.68153
9,9,0.71855,0.69432,0.75677,0.69002,0.71855,0.71855,0.71855
10,0,0.75134,0.69656,0.74206,0.70655,0.75134,0.75134,0.75134
10,1,0.2715,0.30605,0.24723,0.24919,0.2715,0.2715,0.2715
10,2,0.2715,0.30605,0.24723,0.24919,0.2715,0.2715,0.2715
10,3,0.2715,0.30605,0.24723,0.24919,0.2715,0.2715,0.2715
10,4,0.2715,0.30605,0.24723,0.24919,0.2715,0.2715,0.2715
10,5,0.2715,0.30605,0.24723,0.24919,0.2715,0.2715,0.2715
10,6,0.2715,0.30605,0.24723,0.24919,0.2715,0.2715,0.2715
10,7,0.2715,0.30605,0.24723,0.24919,0.2715,0.2715,0.2715
10,8,0.30779,0.62299,0.53753,0.28231,0.30779,0.30779,0.30779
10,9,0.2715,0.30605,0.24723,0.24919,0.2715,0.2715,0.2715
11,0,0.24332,0.30476,0.26746,0.23768,0.24332,0.24332,0.24332
11,1,0.74028,0.69438,0.74705,0.70131,0.74028,0.74028,0.74028
11,2,0.74028,0.69438,0.74705,0.70131,0.74028,0.74028,0.74028
11,3,0.74028,0.69438,0.74705,0.70131,0.74028,0.74028,0.74028
11,4,0.74028,0.69438,0.74705,0.70131,0.74028,0.74028,0.74028
11,5,0.74028,0.69438,0.74705,0.70131,0.74028,0.74028,0.74028
11,6,0.74028,0.69438,0.74705,0.70131,0.74028,0.74028,0.74028
11,7,0.74028,0.69438,0.74705,0.70131,0.74028,0.74028,0.74028
11,8,0.70879,0.38066,0.47327,0.41784,0.70879,0.70879,0.70879
11,9,0.74028,0.69438,0.74705,0.70131,0.74028,0.74028,0.74028
12,0,0.76312,0.69598,0.72374,0.70577,0.76312,0.76312,0.76312
12,1,0.24922,0.30365,0.25781,0.23965,0.24922,0.24922,0.24922
12,2,0.24922,0.30365,0.25781,0.23965,0.24922,0.24922,0.24922
12,3,0.24922,0.30365,0.25781,0.23965,0.24922,0.24922,0.24922
12,4,0.24922,0.30365,0.25781,0.23965,0.24922,0.24922,0.24922
12,5,0.24922,0.30365,0.25781,0.23965,0.24922,0.24922,0.24922
12,6,0.24922,0.30365,0.25781,0.23965,0.24922,0.24922,0.24922
12,7,0.24922,0.30365,0.25781,0.23965,0.24922,0.24922,0.24922
12,8,0.28219,0.62061,0.52122,0.24735,0.28219,0.28219,0.28219
12,9,0.24922,0.30365,0.25781,0.23965,0.24922,0.24922,0.24922
13,0,0.23301,0.30611,0.29195,0.23237,0.23301,0.23301,0.23301
13,1,0.75649,0.69508,0.73241,0.70572,0.75649,0.75649,0.75649
13,2,0.75649,0.69508,0.73241,0.70572,0.75649,0.75649,0.75649
13,3,0.75649,0.69508,0.73241,0.70572,0.75649,0.75649,0.75649
13,4,0.75649,0.69508,0.73241,0.70572,0.75649,0.75649,0.75649
13,5,0.75649,0.69508,0.73241,0.70572,0.75649,0.75649,0.75649
13,6,0.75649,0.69508,0.73241,0.70572,0.75649,0.75649,0.75649
13,7,0.75649,0.69508,0.73241,0.70572,0.75649,0.75649,0.75649
13,8,0.72702,0.38361,0.48492,0.42293,0.72702,0.72702,0.72702
13,9,0.75649,0.69508,0.73241,0.70572,0.75649,0.75649,0.75649
14,0,0.77049,0.69346,0.69384,0.69365,0.77049,0.77049,0.77049
14,1,0.23706,0.3042,0.27638,0.23428,0.23706,0.23706,0.23706
14,2,0.23706,0.3042,0.27638,0.23428,0.23706,0.23706,0.23706
14,3,0.23706,0.3042,0.27638,0.23428,0.23706,0.23706,0.23706
14,4,0.23706,0.3042,0.27638,0.23428,0.23706,0.23706,0.23706
14,5,0.23706,0.3042,0.27638,0.23428,0.23706,0.23706,0.23706
14,6,0.23706,0.3042,0.27638,0.23428,0.23706,0.23706,0.23706
14,7,0.23706,0.3042,0.27638,0.23428,0.23706,0.23706,0.23706
14,8,0.26579,0.62671,0.51104,0.22379,0.26579,0.26579,0.26579
14,9,0.23706,0.3042,0.27638,0.23428,0.23706,0.23706,0.23706
15,0,0.22988,0.31118,0.32739,0.22917,0.22988,0.22988,0.22988
15,1,0.76681,0.6937,0.70793,0.6998,0.76681,0.76681,0.76681
15,2,0.76681,0.6937,0.70793,0.6998,0.76681,0.76681,0.76681
15,3,0.76681,0.6937,0.70793,0.6998,0.76681,0.76681,0.76681
15,4,0.76681,0.6937,0.70793,0.6998,0.76681,0.76681,0.76681
15,5,0.76681,0.6937,0.70793,0.6998,0.76681,0.76681,0.76681
15,6,0.76681,0.6937,0.70793,0.6998,0.76681,0.76681,0.76681
15,7,0.76681,0.6937,0.70793,0.6998,0.76681,0.76681,0.76681
15,8,0.73992,0.37402,0.49276,0.42526,0.73992,0.73992,0.73992
15,9,0.76681,0.6937,0.70793,0.6998,0.76681,0.76681,0.76681
16,0,0.77068,0.68715,0.65422,0.66573,0.77068,0.77068,0.77068
16,1,0.22914,0.30599,0.30542,0.22914,0.22914,0.22914,0.22914
16,2,0.22914,0.30599,0.30542,0.22914,0.22914,0.22914,0.22914
16,3,0.22914,0.30599,0.30542,0.22914,0.22914,0.22914,0.22914
16,4,0.22914,0.30599,0.30542,0.22914,0.22914,0.22914,0.22914
16,5,0.22914,0.30599,0.30542,0.22914,0.22914,0.22914,0.22914
16,6,0.22914,0.30599,0.30542,0.22914,0.22914,0.22914,0.22914
16,7,0.22914,0.30599,0.30542,0.22914,0.22914,0.22914,0.22914
16,8,0.2553,0.62537,0.50405,0.20851,0.2553,0.2553,0.2553
16,9,0.22914,0.30599,0.30542,0.22914,0.22914,0.22914,0.22914
17,0,0.22619,0.30802,0.3595,0.2205,0.22619,0.22619,0.22619
17,1,0.77012,0.68886,0.67286,0.67966,0.77012,0.77012,0.77012
17,2,0.77012,0.68886,0.67286,0.67966,0.77012,0.77012,0.77012
17,3,0.77012,0.68886,0.67286,0.67966,0.77012,0.77012,0.77012
17,4,0.77012,0.68886,0.67286,0.67966,0.77012,0.77012,0.77012
17,5,0.77012,0.68886,0.67286,0.67966,0.77012,0.77012,0.77012
17,6,0.77012,0.68886,0.67286,0.67966,0.77012,0.77012,0.77012
17,7,0.77012,0.68886,0.67286,0.67966,0.77012,0.77012,0.77012
17,8,0.74691,0.37491,0.49742,0.42756,0.74691,0.74691,0.74691
17,9,0.77012,0.68886,0.67286,0.67966,0.77012,0.77012,0.77012
18,0,0.77399,0.69387,0.62556,0.64027,0.77399,0.77399,0.77399
18,1,0.22932,0.31285,0.34578,0.22665,0.22932,0.22932,0.22932
18,2,0.22932,0.31285,0.34578,0.22665,0.22932,0.22932,0.22932
18,3,0.22932,0.31285,0.34578,0.22665,0.22932,0.22932,0.22932
18,4,0.22932,0.31285,0.34578,0.22665,0.22932,0.22932,0.22932
18,5,0.22932,0.31285,0.34578,0.22665,0.22932,0.22932,0.22932
18,6,0.22932,0.31285,0.34578,0.22665,0.22932,0.22932,0.22932
18,7,0.22932,0.31285,0.34578,0.22665,0.22932,0.22932,0.22932
18,8,0.25161,0.62491,0.50159,0.20306,0.25161,0.25161,0.25161
18,9,0.22932,0.31285,0.34578,0.22665,0.22932,0.22932,0.22932
19,0,0.22509,0.30027,0.38765,0.21183,0.22509,0.22509,0.22509
19,1,0.77418,0.69264,0.64124,0.65566,0.77418,0.77418,0.77418
19,2,0.77418,0.69264,0.64124,0.65566,0.77418,0.77418,0.77418
19,3,0.77418,0.69264,0.64124,0.65566,0.77418,0.77418,0.77418
19,4,0.77418,0.69264,0.64124,0.65566,0.77418,0.77418,0.77418
19,5,0.77418,0.69264,0.64124,0.65566,0.77418,0.77418,0.77418
19,6,0.77418,0.69264,0.64124,0.65566,0.77418,0.77418,0.77418
19,7,0.77418,0.69264,0.64124,0.65566,0.77418,0.77418,0.77418
19,8,0.74949,0.37523,0.49914,0.42841,0.74949,0.74949,0.74949
19,9,0.77418,0.69264,0.64124,0.65566,0.77418,0.77418,0.77418
20,0,0.77252,0.69842,0.59841,0.6085,0.77252,0.77252,0.77252
20,1,0.22546,0.30506,0.37333,0.21639,0.22546,0.22546,0.22546
20,2,0.22546,0.30506,0.37333,0.21639,0.22546,0.22546,0.22546
20,3,0.22546,0.30506,0.37333,0.21639,0.22546,0.22546,0.22546
20,4,0.22546,0.30506,0.37333,0.21639,0.22546,0.22546,0.22546
20,5,0.22546,0.30506,0.37333,0.21639,0.22546,0.22546,0.22546
20,6,0.22546,0.30506,0.37333,0.21639,0.22546,0.22546,0.22546
20,7,0.22546,0.30506,0.37333,0.21639,0.22546,0.22546,0.22546
20,8,0.24995,0.6247,0.50049,0.2006,0.24995,0.24995,0.24995
20,9,0.22546,0.30506,0.37333,0.21639,0.22546,0.22546,0.22546
21,0,0.23117,0.30335,0.42107,0.20899,0.23117,0.23117,0.23117
21,1,0.77491,0.69973,0.61235,0.62581,0.77491,0.77491,0.77491
21,2,0.77491,0.69973,0.61235,0.62581,0.77491,0.77491,0.77491
21,3,0.77491,0.69973,0.61235,0.62581,0.77491,0.77491,0.77491
21,4,0.77491,0.69973,0.61235,0.62581,0.77491,0.77491,0.77491
21,5,0.77491,0.69973,0.61235,0.62581,0.77491,0.77491,0.77491
21,6,0.77491,0.69973,0.61235,0.62581,0.77491,0.77491,0.77491
21,7,0.77491,0.69973,0.61235,0.62581,0.77491,0.77491,0.77491
21,8,0.75023,0.37532,0.49963,0.42865,0.75023,0.75023,0.75023
21,9,0.77491,0.69973,0.61235,0.62581,0.77491,0.77491,0.77491
22,0,0.76902,0.70712,0.56942,0.56644,0.76902,0.76902,0.76902
22,1,0.22711,0.30071,0.40085,0.21044,0.22711,0.22711,0.22711
22,2,0.22711,0.30071,0.40085,0.21044,0.22711,0.22711,0.22711
22,3,0.22711,0.30071,0.40085,0.21044,0.22711,0.22711,0.22711
22,4,0.22711,0.30071,0.40085,0.21044,0.22711,0.22711,0.22711
22,5,0.22711,0.30071,0.40085,0.21044,0.22711,0.22711,0.22711
22,6,0.22711,0.30071,0.40085,0.21044,0.22711,0.22711,0.22711
22,7,0.22711,0.30071,0.40085,0.21044,0.22711,0.22711,0.22711
22,8,0.24959,0.62465,0.50025,0.20005,0.24959,0.24959,0.24959
22,9,0.22711,0.30071,0.40085,0.21044,0.22711,0.22711,0.22711
23,0,0.23393,0.29127,0.44415,0.20321,0.23393,0.23393,0.23393
23,1,0.76902,0.69717,0.5793,0.58207,0.76902,0.76902,0.76902
23,2,0.76902,0.69717,0.5793,0.58207,0.76902,0.76902,0.76902
23,3,0.76902,0.69717,0.5793,0.58207,0.76902,0.76902,0.76902
23,4,0.76902,0.69717,0.5793,0.58207,0.76902,0.76902,0.76902
23,5,0.76902,0.69717,0.5793,0.58207,0.76902,0.76902,0.76902
23,6,0.76902,0.69717,0.5793,0.58207,0.76902,0.76902,0.76902
23,7,0.76902,0.69717,0.5793,0.58207,0.76902,0.76902,0.76902
23,8,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
23,9,0.76902,0.69717,0.5793,0.58207,0.76902,0.76902,0.76902
24,0,0.76239,0.70327,0.54353,0.52225,0.76239,0.76239,0.76239
24,1,0.23098,0.29288,0.43058,0.20464,0.23098,0.23098,0.23098
24,2,0.23098,0.29288,0.43058,0.20464,0.23098,0.23098,0.23098
24,3,0.23098,0.29288,0.43058,0.20464,0.23098,0.23098,0.23098
24,4,0.23098,0.29288,0.43058,0.20464,0.23098,0.23098,0.23098
24,5,0.23098,0.29288,0.43058,0.20464,0.23098,0.23098,0.23098
24,6,0.23098,0.29288,0.43058,0.20464,0.23098,0.23098,0.23098
24,7,0.23098,0.29288,0.43058,0.20464,0.23098,0.23098,0.23098
24,8,0.2494,0.62463,0.50012,0.19977,0.2494,0.2494,0.2494
24,9,0.23098,0.29288,0.43058,0.20464,0.23098,0.23098,0.23098
25,0,0.23872,0.28965,0.46338,0.20164,0.23872,0.23872,0.23872
25,1,0.76589,0.70758,0.55573,0.54379,0.76589,0.76589,0.76589
25,2,0.76589,0.70758,0.55573,0.54379,0.76589,0.76589,0.76589
25,3,0.76589,0.70758,0.55573,0.54379,0.76589,0.76589,0.76589
25,4,0.76589,0.70758,0.55573,0.54379,0.76589,0.76589,0.76589
25,5,0.76589,0.70758,0.55573,0.54379,0.76589,0.76589,0.76589
25,6,0.76589,0.70758,0.55573,0.54379,0.76589,0.76589,0.76589
25,7,0.76589,0.70758,0.55573,0.54379,0.76589,0.76589,0.76589
25,8,0.7506,0.37537,0.49988,0.42877,0.7506,0.7506,0.7506
25,9,0.76589,0.70758,0.55573,0.54379,0.76589,0.76589,0.76589
26,0,0.75815,0.69752,0.52836,0.49303,0.75815,0.75815,0.75815
26,1,0.23743,0.29586,0.4561,0.20321,0.23743,0.23743,0.23743
26,2,0.23743,0.29586,0.4561,0.20321,0.23743,0.23743,0.23743
26,3,0.23743,0.29586,0.4561,0.20321,0.23743,0.23743,0.23743
26,4,0.23743,0.29586,0.4561,0.20321,0.23743,0.23743,0.23743
26,5,0.23743,0.29586,0.4561,0.20321,0.23743,0.23743,0.23743
26,6,0.23743,0.29586,0.4561,0.20321,0.23743,0.23743,0.23743
26,7,0.23743,0.29586,0.4561,0.20321,0.23743,0.23743,0.23743
26,8,0.2494,0.62463,0.50012,0.19977,0.2494,0.2494,0.2494
26,9,0.23743,0.29586,0.4561,0.20321,0.23743,0.23743,0.23743
27,0,0.24516,0.32264,0.48051,0.20369,0.24516,0.24516,0.24516
27,1,0.7611,0.70855,0.5365,0.5085,0.7611,0.7611,0.7611
27,2,0.7611,0.70855,0.5365,0.5085,0.7611,0.7611,0.7611
27,3,0.7611,0.70855,0.5365,0.5085,0.7611,0.7611,0.7611
27,4,0.7611,0.70855,0.5365,0.5085,0.7611,0.7611,0.7611
27,5,0.7611,0.70855,0.5365,0.5085,0.7611,0.7611,0.7611
27,6,0.7611,0.70855,0.5365,0.5085,0.7611,0.7611,0.7611
27,7,0.7611,0.70855,0.5365,0.5085,0.7611,0.7611,0.7611
27,8,0.7506,0.37537,0.49988,0.42877,0.7506,0.7506,0.7506
27,9,0.7611,0.70855,0.5365,0.5085,0.7611,0.7611,0.7611
28,0,0.75373,0.67573,0.51431,0.46384,0.75373,0.75373,0.75373
28,1,0.24185,0.30248,0.47164,0.2027,0.24185,0.24185,0.24185
28,2,0.24185,0.30248,0.47164,0.2027,0.24185,0.24185,0.24185
28,3,0.24185,0.30248,0.47164,0.2027,0.24185,0.24185,0.24185
28,4,0.24185,0.30248,0.47164,0.2027,0.24185,0.24185,0.24185
28,5,0.24185,0.30248,0.47164,0.2027,0.24185,0.24185,0.24185
28,6,0.24185,0.30248,0.47164,0.2027,0.24185,0.24185,0.24185
28,7,0.24185,0.30248,0.47164,0.2027,0.24185,0.24185,0.24185
28,8,0.2494,0.62463,0.50012,0.19977,0.2494,0.2494,0.2494
28,9,0.24185,0.30248,0.47164,0.2027,0.24185,0.24185,0.24185
29,0,0.2483,0.35363,0.49075,0.20346,0.2483,0.2483,0.2483
29,1,0.75484,0.67736,0.51949,0.47549,0.75484,0.75484,0.75484
29,2,0.75484,0.67736,0.51949,0.47549,0.75484,0.75484,0.75484
29,3,0.75484,0.67736,0.51949,0.47549,0.75484,0.75484,0.75484
29,4,0.75484,0.67736,0.51949,0.47549,0.75484,0.75484,0.75484
29,5,0.75484,0.67736,0.51949,0.47549,0.75484,0.75484,0.75484
29,6,0.75484,0.67736,0.51949,0.47549,0.75484,0.75484,0.75484
29,7,0.75484,0.67736,0.51949,0.47549,0.75484,0.75484,0.75484
29,8,0.7506,0.37537,0.49988,0.42877,0.7506,0.7506,0.7506
29,9,0.75484,0.67736,0.51949,0.47549,0.75484,0.75484,0.75484
30,0,0.75115,0.63702,0.50642,0.44642,0.75115,0.75115,0.75115
30,1,0.24609,0.32182,0.48532,0.20259,0.24609,0.24609,0.24609
30,2,0.24609,0.32182,0.48532,0.20259,0.24609,0.24609,0.24609
30,3,0.24609,0.32182,0.48532,0.20259,0.24609,0.24609,0.24609
30,4,0.24609,0.32182,0.48532,0.20259,0.24609,0.24609,0.24609
30,5,0.24609,0.32182,0.48532,0.20259,0.24609,0.24609,0.24609
30,6,0.24609,0.32182,0.48532,0.20259,0.24609,0.24609,0.24609
30,7,0.24609,0.32182,0.48532,0.20259,0.24609,0.24609,0.24609
30,8,0.2494,0.62463,0.50012,0.19977,0.2494,0.2494,0.2494
30,9,0.24609,0.32182,0.48532,0.20259,0.24609,0.24609,0.24609
31,0,0.24922,0.37377,0.49556,0.20227,0.24922,0.24922,0.24922
31,1,0.7517,0.64637,0.50925,0.45328,0.7517,0.7517,0.7517
31,2,0.7517,0.64637,0.50925,0.45328,0.7517,0.7517,0.7517
31,3,0.7517,0.64637,0.50925,0.45328,0.7517,0.7517,0.7517
31,4,0.7517,0.64637,0.50925,0.45328,0.7517,0.7517,0.7517
31,5,0.7517,0.64637,0.50925,0.45328,0.7517,0.7517,0.7517
31,6,0.7517,0.64637,0.50925,0.45328,0.7517,0.7517,0.7517
31,7,0.7517,0.64637,0.50925,0.45328,0.7517,0.7517,0.7517
31,8,0.7506,0.37537,0.49988,0.42877,0.7506,0.7506,0.7506
31,9,0.7517,0.64637,0.50925,0.45328,0.7517,0.7517,0.7517
32,0,0.75023,0.60006,0.50284,0.43786,0.75023,0.75023,0.75023
32,1,0.24885,0.36298,0.49358,0.20279,0.24885,0.24885,0.24885
32,2,0.24885,0.36298,0.49358,0.20279,0.24885,0.24885,0.24885
32,3,0.24885,0.36298,0.49358,0.20279,0.24885,0.24885,0.24885
32,4,0.24885,0.36298,0.49358,0.20279,0.24885,0.24885,0.24885
32,5,0.24885,0.36298,0.49358,0.20279,0.24885,0.24885,0.24885
32,6,0.24885,0.36298,0.49358,0.20279,0.24885,0.24885,0.24885
32,7,0.24885,0.36298,0.49358,0.20279,0.24885,0.24885,0.24885
32,8,0.24959,0.62465,0.50025,0.20005,0.24959,0.24959,0.24959
32,9,0.24885,0.36298,0.49358,0.20279,0.24885,0.24885,0.24885
33,0,0.25014,0.42426,0.49814,0.20241,0.25014,0.25014,0.25014
33,1,0.7506,0.61945,0.50432,0.44145,0.7506,0.7506,0.7506
33,2,0.7506,0.61945,0.50432,0.44145,0.7506,0.7506,0.7506
33,3,0.7506,0.61945,0.50432,0.44145,0.7506,0.7506,0.7506
33,4,0.7506,0.61945,0.50432,0.44145,0.7506,0.7506,0.7506
33,5,0.7506,0.61945,0.50432,0.44145,0.7506,0.7506,0.7506
33,6,0.7506,0.61945,0.50432,0.44145,0.7506,0.7506,0.7506
33,7,0.7506,0.61945,0.50432,0.44145,0.7506,0.7506,0.7506
