round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.81477,0.78963,0.75879,0.77079,0.81477,0.81477,0.81477
1,5,0.5,0.5,0.25,0.33333,0.5,0.5,0.5
1,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0,0.64261,0.70874,0.72802,0.64131,0.64261,0.64261,0.64261
2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,0.3447,0.5,0.17235,0.25634,0.3447,0.3447,0.3447
3,0,0.31506,0.28427,0.25125,0.26448,0.31506,0.31506,0.31506
3,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,8,0.838,0.5,0.419,0.45593,0.838,0.838,0.838
4,0,0.68977,0.7159,0.75017,0.68414,0.68977,0.68977,0.68977
4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8,0.19732,0.5,0.09866,0.1648,0.19732,0.19732,0.19732
5,0,0.30312,0.28654,0.25065,0.26324,0.30312,0.30312,0.30312
5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,8,0.82826,0.5,0.41413,0.45303,0.82826,0.82826,0.82826
6,0,0.70767,0.71137,0.74837,0.69745,0.70767,0.70767,0.70767
6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,0.15469,0.5,0.07734,0.13397,0.15469,0.15469,0.15469
7,0,0.28068,0.28558,0.24813,0.25656,0.28068,0.28068,0.28068
7,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,8,0.86967,0.5,0.43484,0.46515,0.86967,0.86967,0.86967
8,0,0.72301,0.70998,0.7455,0.70756,0.72301,0.72301,0.72301
8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,0.1084,0.5,0.0542,0.0978,0.1084,0.1084,0.1084
9,0,0.26847,0.29068,0.25842,0.25669,0.26847,0.26847,0.26847
9,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,8,0.91839,0.5,0.4592,0.47873,0.91839,0.91839,0.91839
10,0,0.74261,0.71222,0.73925,0.7182,0.74261,0.74261,0.74261
10,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,0.07065,0.5,0.03532,0.06598,0.07065,0.07065,0.07065
11,0,0.25284,0.28891,0.26882,0.24991,0.25284,0.25284,0.25284
11,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,8,0.95006,0.5,0.47503,0.4872,0.95006,0.95006,0.95006
12,0,0.75199,0.7118,0.72331,0.71653,0.75199,0.75199,0.75199
12,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,8,0.03898,0.5,0.01949,0.03751,0.03898,0.03898,0.03898
