round,comm_costs
1,125320
2,125320
3,125320
4,125320
5,125320
6,125320
7,125320
8,125320
9,125320
10,125320
11,125320
12,125320
13,125320
14,125320
15,125320
16,125320
17,125320
18,125320
19,125320
20,125320
21,125320
22,125320
23,125320
24,125320
25,125320
26,125320
27,125320
28,125320
29,125320
30,125320
31,125320
32,125320
33,125320
34,125320
35,125320
36,125320
37,125320
38,125320
39,125320
40,125320
41,125320
42,125320
43,125320
44,125320
45,125320
46,125320
47,125320
48,125320
49,125320
50,187980
