round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.80107,0.843,0.61027,0.62375,0.80107,0.80107,0.80107
2,0.69792,0.57843,0.56922,0.57221,0.69792,0.69792,0.69792
3,0.38534,0.63314,0.5867,0.37819,0.38534,0.38534,0.38534
4,0.75318,0.68434,0.51024,0.45391,0.75318,0.75318,0.75318
5,0.26119,0.61861,0.50773,0.21727,0.26119,0.26119,0.26119
6,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
7,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
8,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
9,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
10,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
11,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
12,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
13,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
14,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
15,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
16,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
17,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
18,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
19,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
20,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
21,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
22,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
23,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
24,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
25,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
26,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
27,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
28,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
29,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
30,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
31,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
32,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
33,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
34,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
35,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
36,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
37,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
38,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
39,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
40,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
41,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
42,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
43,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
44,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
45,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
46,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
47,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
48,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
49,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
50,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
