round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.83772,0.78584,0.76923,0.77682,0.83772,0.83772,0.83772
1,1,0.37152,0.54162,0.53455,0.36948,0.37152,0.37152,0.37152
1,2,0.34684,0.53408,0.52428,0.34141,0.34684,0.34684,0.34684
1,3,0.39307,0.54807,0.54421,0.39259,0.39307,0.39307,0.39307
1,4,0.35274,0.54173,0.53018,0.3477,0.35274,0.35274,0.35274
1,5,0.33045,0.54549,0.5262,0.31958,0.33045,0.33045,0.33045
1,6,0.45441,0.55297,0.56136,0.45185,0.45441,0.45441,0.45441
1,7,0.34739,0.5538,0.53526,0.33996,0.34739,0.34739,0.34739
1,8,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,9,0.35458,0.53309,0.52523,0.35075,0.35458,0.35458,0.35458
2,0,0.78081,0.72305,0.76687,0.73588,0.78081,0.78081,0.78081
2,1,0.83588,0.79411,0.73912,0.75947,0.83588,0.83588,0.83588
2,2,0.83441,0.78557,0.75023,0.76476,0.83441,0.83441,0.83441
2,3,0.83478,0.78841,0.74529,0.76229,0.83478,0.83478,0.83478
2,4,0.83367,0.80015,0.72185,0.74713,0.83367,0.83367,0.83367
2,5,0.83533,0.7963,0.73332,0.75559,0.83533,0.83533,0.83533
2,6,0.83514,0.78499,0.75591,0.7683,0.83514,0.83514,0.83514
2,7,0.83607,0.79258,0.7427,0.76169,0.83607,0.83607,0.83607
2,8,0.76404,0.86738,0.5271,0.48386,0.76404,0.76404,0.76404
2,9,0.81323,0.82699,0.64429,0.66909,0.81323,0.81323,0.81323
3,0,0.70621,0.69667,0.76237,0.68303,0.70621,0.70621,0.70621
3,1,0.62314,0.67129,0.72211,0.61261,0.62314,0.62314,0.62314
3,2,0.68281,0.66561,0.72013,0.65439,0.68281,0.68281,0.68281
3,3,0.70234,0.68944,0.75239,0.67749,0.70234,0.70234,0.70234
3,4,0.68116,0.67964,0.74001,0.6592,0.68116,0.68116,0.68116
