round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.69318,0.34659,0.5,0.4094,0.69318,0.69318,0.69318
1,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0,0.69574,0.77067,0.50468,0.42002,0.69574,0.69574,0.69574
2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0,0.76165,0.71922,0.70189,0.70885,0.76165,0.76165,0.76165
3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,0.99391,0.5,0.49695,0.49847,0.99391,0.99391,0.99391
4,0,0.74915,0.7271,0.76203,0.7308,0.74915,0.74915,0.74915
4,5,0.5,0.5,0.25,0.33333,0.5,0.5,0.5
4,8,0.84653,0.5,0.42326,0.45844,0.84653,0.84653,0.84653
5,0,0.74972,0.72604,0.75986,0.73045,0.74972,0.74972,0.74972
5,5,0.5,0.5,0.25,0.33333,0.5,0.5,0.5
5,8,0.77223,0.5,0.38611,0.43574,0.77223,0.77223,0.77223
6,0,0.7679,0.73514,0.76059,0.74273,0.7679,0.7679,0.7679
6,5,0.5,0.5,0.25,0.33333,0.5,0.5,0.5
6,8,0.78928,0.5,0.39464,0.44112,0.78928,0.78928,0.78928
7,0,0.76818,0.73331,0.75486,0.74059,0.76818,0.76818,0.76818
7,5,0.5,0.5,0.25,0.33333,0.5,0.5,0.5
7,8,0.81486,0.5,0.40743,0.44899,0.81486,0.81486,0.81486
8,0,0.76705,0.73679,0.76591,0.7442,0.76705,0.76705,0.76705
8,5,0.5,0.5,0.25,0.33333,0.5,0.5,0.5
8,8,0.80633,0.5,0.40317,0.44639,0.80633,0.80633,0.80633
9,0,0.75795,0.73453,0.76967,0.73937,0.75795,0.75795,0.75795
9,5,0.5,0.5,0.25,0.33333,0.5,0.5,0.5
9,8,0.76736,0.5,0.38368,0.43418,0.76736,0.76736,0.76736
10,0,0.75824,0.73773,0.77504,0.74129,0.75824,0.75824,0.75824
10,5,0.5,0.5,0.25,0.33333,0.5,0.5,0.5
10,8,0.74421,0.5,0.37211,0.42668,0.74421,0.74421,0.74421
