round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.4569,0.66056,0.46991,0.38741,0.4569,0.4569,0.4569
2,0.6157,0.7222,0.62338,0.57198,0.6157,0.6157,0.6157
3,0.7724,0.79957,0.77312,0.75422,0.7724,0.7724,0.7724
4,0.8314,0.83269,0.8313,0.82772,0.8314,0.8314,0.8314
5,0.8565,0.85466,0.85665,0.85464,0.8565,0.8565,0.8565
6,0.8717,0.86994,0.87206,0.87021,0.8717,0.8717,0.8717
7,0.8789,0.87759,0.87919,0.87769,0.8789,0.8789,0.8789
8,0.8847,0.88376,0.88498,0.88353,0.8847,0.8847,0.8847
9,0.8902,0.88943,0.89032,0.88915,0.8902,0.8902,0.8902
10,0.8942,0.89409,0.8943,0.89314,0.8942,0.8942,0.8942
11,0.8958,0.89556,0.89585,0.89464,0.8958,0.8958,0.8958
12,0.8972,0.89726,0.8973,0.89611,0.8972,0.8972,0.8972
13,0.8996,0.89958,0.89969,0.89847,0.8996,0.8996,0.8996
14,0.9015,0.90187,0.90153,0.9004,0.9015,0.9015,0.9015
15,0.9038,0.90429,0.90386,0.9028,0.9038,0.9038,0.9038
16,0.9052,0.90582,0.90524,0.90424,0.9052,0.9052,0.9052
17,0.9074,0.90748,0.90748,0.90646,0.9074,0.9074,0.9074
18,0.9105,0.91114,0.91056,0.90968,0.9105,0.9105,0.9105
19,0.911,0.9118,0.91094,0.91008,0.911,0.911,0.911
20,0.914,0.91405,0.91405,0.91318,0.914,0.914,0.914
21,0.914,0.91477,0.91401,0.9132,0.914,0.914,0.914
22,0.9145,0.91546,0.91452,0.91372,0.9145,0.9145,0.9145
23,0.9155,0.91633,0.91543,0.91474,0.9155,0.9155,0.9155
24,0.9178,0.91854,0.9178,0.91703,0.9178,0.9178,0.9178
25,0.9176,0.9186,0.91768,0.91685,0.9176,0.9176,0.9176
26,0.9197,0.91999,0.91964,0.91885,0.9197,0.9197,0.9197
27,0.9202,0.9207,0.92026,0.91942,0.9202,0.9202,0.9202
28,0.9201,0.92074,0.92015,0.91926,0.9201,0.9201,0.9201
29,0.9215,0.92195,0.92151,0.92068,0.9215,0.9215,0.9215
30,0.9219,0.92249,0.92198,0.92114,0.9219,0.9219,0.9219
31,0.923,0.92369,0.92305,0.92233,0.923,0.923,0.923
32,0.924,0.92462,0.924,0.92326,0.924,0.924,0.924
33,0.9248,0.92546,0.92488,0.92413,0.9248,0.9248,0.9248
34,0.9266,0.92706,0.92657,0.92592,0.9266,0.9266,0.9266
35,0.9256,0.92598,0.92565,0.92489,0.9256,0.9256,0.9256
36,0.9265,0.92742,0.92654,0.92582,0.9265,0.9265,0.9265
37,0.9273,0.92766,0.92731,0.9266,0.9273,0.9273,0.9273
38,0.9286,0.92894,0.92859,0.92795,0.9286,0.9286,0.9286
39,0.9289,0.92958,0.92893,0.92825,0.9289,0.9289,0.9289
40,0.9292,0.92974,0.92922,0.92863,0.9292,0.9292,0.9292
41,0.9289,0.92987,0.9289,0.92826,0.9289,0.9289,0.9289
42,0.9289,0.92898,0.92888,0.92816,0.9289,0.9289,0.9289
43,0.9305,0.9309,0.93047,0.92986,0.9305,0.9305,0.9305
44,0.9311,0.93185,0.93115,0.93052,0.9311,0.9311,0.9311
45,0.9321,0.93257,0.93201,0.93149,0.9321,0.9321,0.9321
46,0.9321,0.93281,0.93205,0.93153,0.9321,0.9321,0.9321
47,0.9316,0.93218,0.93168,0.93101,0.9316,0.9316,0.9316
48,0.9319,0.93263,0.93188,0.93135,0.9319,0.9319,0.9319
49,0.9324,0.93279,0.93238,0.93175,0.9324,0.9324,0.9324
50,0.9326,0.93324,0.93256,0.93199,0.9326,0.9326,0.9326
