round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.1831,0.03662,0.19635,0.06173,0.1831,0.1831,0.1831
1,1,0.2112,0.04255,0.19969,0.06998,0.2112,0.2112,0.2112
1,2,0.2913,0.21123,0.29482,0.15904,0.2913,0.2913,0.2913
1,3,0.1904,0.05305,0.19624,0.06956,0.1904,0.1904,0.1904
1,4,0.1975,0.04244,0.19887,0.06932,0.1975,0.1975,0.1975
1,5,0.281,0.11285,0.28446,0.15113,0.281,0.281,0.281
1,6,0.2874,0.10641,0.29676,0.15033,0.2874,0.2874,0.2874
1,7,0.0958,0.00958,0.1,0.01748,0.0958,0.0958,0.0958
1,8,0.1959,0.04764,0.19907,0.07484,0.1959,0.1959,0.1959
1,9,0.1172,0.03369,0.12224,0.04211,0.1172,0.1172,0.1172
2,0,0.1846,0.28698,0.19788,0.0637,0.1846,0.1846,0.1846
2,1,0.2208,0.34261,0.20976,0.08862,0.2208,0.2208,0.2208
2,2,0.3163,0.30634,0.31945,0.20351,0.3163,0.3163,0.3163
2,3,0.2453,0.27885,0.25241,0.15358,0.2453,0.2453,0.2453
2,4,0.2281,0.26087,0.23037,0.12299,0.2281,0.2281,0.2281
2,5,0.3129,0.37167,0.31704,0.2075,0.3129,0.3129,0.3129
2,6,0.2907,0.3791,0.29999,0.15996,0.2907,0.2907,0.2907
2,7,0.3338,0.60631,0.33752,0.33268,0.3338,0.3338,0.3338
2,8,0.2007,0.24892,0.20397,0.08557,0.2007,0.2007,0.2007
2,9,0.5229,0.6835,0.52975,0.51278,0.5229,0.5229,0.5229
3,0,0.2493,0.64684,0.26331,0.17869,0.2493,0.2493,0.2493
3,1,0.3458,0.73953,0.33623,0.30073,0.3458,0.3458,0.3458
3,2,0.3473,0.48237,0.351,0.25301,0.3473,0.3473,0.3473
3,3,0.3515,0.51348,0.36084,0.30891,0.3515,0.3515,0.3515
3,4,0.2999,0.59236,0.30385,0.24451,0.2999,0.2999,0.2999
3,5,0.3597,0.59871,0.36418,0.27296,0.3597,0.3597,0.3597
3,6,0.3223,0.67426,0.33126,0.22145,0.3223,0.3223,0.3223
3,7,0.5374,0.70388,0.53335,0.54174,0.5374,0.5374,0.5374
3,8,0.2205,0.70129,0.22411,0.12289,0.2205,0.2205,0.2205
3,9,0.683,0.70217,0.68544,0.67666,0.683,0.683,0.683
4,0,0.3179,0.7482,0.33035,0.2874,0.3179,0.3179,0.3179
4,1,0.4458,0.76455,0.43725,0.43684,0.4458,0.4458,0.4458
4,2,0.381,0.60501,0.38497,0.30486,0.381,0.381,0.381
4,3,0.431,0.63057,0.43718,0.41444,0.431,0.431,0.431
