round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.05772,0.09635,0.01016,0.01839,0.05772,0.05772,0.05772
1,1,0.00069,0.14286,0.00011,0.00021,0.00069,0.00069,0.00069
1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.56515,0.18532,0.12106,0.14645,0.56515,0.56515,0.56515
1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,0.00883,0.09723,0.01038,0.00951,0.00883,0.00883,0.00883
1,7,0.0105,0.2,0.0021,0.00416,0.0105,0.0105,0.0105
1,8,0.14444,0.26607,0.03815,0.05696,0.14444,0.14444,0.14444
1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.82137,0.27423,0.22343,0.24472,0.82137,0.82137,0.82137
2,1,0.1909,0.24762,0.14114,0.15238,0.1909,0.1909,0.1909
2,2,0.41925,0.31798,0.36565,0.24396,0.41925,0.41925,0.41925
2,3,0.1255,0.16558,0.29153,0.0569,0.1255,0.1255,0.1255
2,4,0.04292,0.11298,0.1224,0.1175,0.04292,0.04292,0.04292
2,5,0.35242,0.13709,0.20528,0.12575,0.35242,0.35242,0.35242
2,6,0.81749,0.56093,0.50941,0.52878,0.81749,0.81749,0.81749
2,7,0.96063,0.25,0.24016,0.24498,0.96063,0.96063,0.96063
2,8,0.39536,0.24499,0.13103,0.13964,0.39536,0.39536,0.39536
2,9,0.66667,0.66667,0.5,0.55556,0.66667,0.66667,0.66667
3,0,0.88846,0.21527,0.1984,0.20646,0.88846,0.88846,0.88846
3,1,0.46589,0.22115,0.15834,0.17686,0.46589,0.46589,0.46589
3,2,0.78042,0.25409,0.36143,0.25216,0.78042,0.78042,0.78042
3,3,0.07754,0.1349,0.21977,0.04224,0.07754,0.07754,0.07754
3,4,0.37443,0.19792,0.13259,0.14941,0.37443,0.37443,0.37443
3,5,0.64317,0.30931,0.31972,0.2578,0.64317,0.64317,0.64317
3,6,0.86207,0.36629,0.33294,0.34717,0.86207,0.86207,0.86207
3,7,0.96588,0.33333,0.32196,0.32755,0.96588,0.96588,0.96588
3,8,0.51871,0.19759,0.12398,0.1401,0.51871,0.51871,0.51871
3,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0,0.88846,0.19645,0.17666,0.18603,0.88846,0.88846,0.88846
4,1,0.84769,0.22222,0.20401,0.2123,0.84769,0.84769,0.84769
4,2,0.84292,0.27337,0.36859,0.27107,0.84292,0.84292,0.84292
4,3,0.22142,0.1342,0.21321,0.07949,0.22142,0.22142,0.22142
4,4,0.66393,0.19792,0.16286,0.17667,0.66393,0.66393,0.66393
4,5,0.7489,0.22329,0.2479,0.20874,0.7489,0.7489,0.7489
4,6,0.91211,0.29723,0.27633,0.28604,0.91211,0.91211,0.91211
4,7,0.96063,0.2,0.19213,0.19598,0.96063,0.96063,0.96063
4,8,0.77438,0.19893,0.16347,0.17793,0.77438,0.77438,0.77438
4,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0,0.89002,0.1978,0.17624,0.18638,0.89002,0.89002,0.89002
5,1,0.91247,0.2,0.19058,0.19506,0.91247,0.91247,0.91247
5,2,0.77323,0.28147,0.35741,0.27416,0.77323,0.77323,0.77323
5,3,0.57794,0.14681,0.25253,0.13452,0.57794,0.57794,0.57794
