round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,tp,fp,tn,fn,group_0_tp,group_0_fp,group_0_tn,group_0_fn,group_0_positive_rate,group_0_true_positive_rate,group_1_tp,group_1_fp,group_1_tn,group_1_fn,group_1_positive_rate,group_1_true_positive_rate,statistical_parity_difference,equal_opportunity_difference
1,0.63273,0.31637,0.5,0.38753,0.63273,0.63273,0.63273,0.0,0.0,7048.0,4091.0,0.0,0.0,3880.0,184.0,0.0,0.0,0.0,0.0,3168.0,3907.0,0.0,0.0,0.0,0.0
2,0.63264,0.31635,0.49993,0.3875,0.63264,0.63264,0.63264,0.0,1.0,7047.0,4091.0,0.0,1.0,3879.0,184.0,0.00025,0.0,0.0,0.0,3168.0,3907.0,0.0,0.0,-0.00025,0.0
3,0.57537,0.51787,0.51512,0.51064,0.57537,0.57537,0.57537,1179.0,1818.0,5230.0,2912.0,49.0,983.0,2897.0,135.0,0.25394,0.2663,1130.0,835.0,2333.0,2777.0,0.27774,0.28922,0.0238,0.02292
4,0.59889,0.52398,0.5153,0.49609,0.59889,0.59889,0.59889,820.0,1197.0,5851.0,3271.0,32.0,659.0,3221.0,152.0,0.17003,0.17391,788.0,538.0,2630.0,3119.0,0.18742,0.20169,0.01739,0.02778
5,0.61208,0.53098,0.51517,0.4815,0.61208,0.61208,0.61208,614.0,844.0,6204.0,3477.0,24.0,468.0,3412.0,160.0,0.12106,0.13043,590.0,376.0,2792.0,3317.0,0.13654,0.15101,0.01547,0.02058
6,0.60777,0.53144,0.51786,0.49277,0.60777,0.60777,0.60777,733.0,1011.0,6037.0,3358.0,29.0,568.0,3312.0,155.0,0.1469,0.15761,704.0,443.0,2725.0,3203.0,0.16212,0.18019,0.01522,0.02258
7,0.59925,0.52651,0.51733,0.49978,0.59925,0.59925,0.59925,854.0,1227.0,5821.0,3237.0,33.0,673.0,3207.0,151.0,0.17372,0.17935,821.0,554.0,2614.0,3086.0,0.19435,0.21014,0.02063,0.03079
8,0.6155,0.53763,0.51812,0.48432,0.6155,0.6155,0.6155,619.0,811.0,6237.0,3472.0,25.0,442.0,3438.0,159.0,0.11491,0.13587,594.0,369.0,2799.0,3313.0,0.13611,0.15203,0.0212,0.01617
9,0.57994,0.51933,0.51577,0.50963,0.57994,0.57994,0.57994,1121.0,1709.0,5339.0,2970.0,47.0,908.0,2972.0,137.0,0.23499,0.25543,1074.0,801.0,2367.0,2833.0,0.26502,0.27489,0.03003,0.01946
10,0.58165,0.52022,0.5163,0.50962,0.58165,0.58165,0.58165,1105.0,1674.0,5374.0,2986.0,46.0,885.0,2995.0,138.0,0.22908,0.25,1059.0,789.0,2379.0,2848.0,0.2612,0.27105,0.03212,0.02105
11,0.59135,0.52386,0.51744,0.50595,0.59135,0.59135,0.59135,978.0,1439.0,5609.0,3113.0,42.0,770.0,3110.0,142.0,0.1998,0.22826,936.0,669.0,2499.0,2971.0,0.22686,0.23957,0.02705,0.01131
12,0.60158,0.53156,0.52097,0.50487,0.60158,0.60158,0.60158,889.0,1236.0,5812.0,3202.0,34.0,665.0,3215.0,150.0,0.172,0.18478,855.0,571.0,2597.0,3052.0,0.20155,0.21884,0.02956,0.03406
13,0.58784,0.52556,0.52001,0.5123,0.58784,0.58784,0.58784,1082.0,1582.0,5466.0,3009.0,45.0,838.0,3042.0,139.0,0.21727,0.24457,1037.0,744.0,2424.0,2870.0,0.25173,0.26542,0.03446,0.02086
14,0.5891,0.52593,0.52003,0.51165,0.5891,0.5891,0.5891,1063.0,1549.0,5499.0,3028.0,43.0,818.0,3062.0,141.0,0.21186,0.2337,1020.0,731.0,2437.0,2887.0,0.24749,0.26107,0.03563,0.02737
15,0.60481,0.5377,0.52537,0.51061,0.60481,0.60481,0.60481,925.0,1236.0,5812.0,3166.0,34.0,659.0,3221.0,150.0,0.17052,0.18478,891.0,577.0,2591.0,3016.0,0.20749,0.22805,0.03697,0.04327
16,0.62708,0.55902,0.52378,0.48281,0.62708,0.62708,0.62708,551.0,614.0,6434.0,3540.0,18.0,320.0,3560.0,166.0,0.08317,0.09783,533.0,294.0,2874.0,3374.0,0.11689,0.13642,0.03372,0.0386
17,0.59485,0.53024,0.52242,0.51224,0.59485,0.59485,0.59485,1021.0,1443.0,5605.0,3070.0,39.0,758.0,3122.0,145.0,0.19611,0.21196,982.0,685.0,2483.0,2925.0,0.23562,0.25134,0.03951,0.03939
18,0.59144,0.53064,0.52403,0.51679,0.59144,0.59144,0.59144,1105.0,1565.0,5483.0,2986.0,44.0,827.0,3053.0,140.0,0.21432,0.23913,1061.0,738.0,2430.0,2846.0,0.25428,0.27156,0.03995,0.03243
19,0.58641,0.5307,0.5257,0.52152,0.58641,0.58641,0.58641,1215.0,1731.0,5317.0,2876.0,48.0,908.0,2972.0,136.0,0.23524,0.26087,1167.0,823.0,2345.0,2740.0,0.28127,0.29869,0.04604,0.03783
20,0.59592,0.53374,0.52558,0.51686,0.59592,0.59592,0.59592,1066.0,1476.0,5572.0,3025.0,39.0,775.0,3105.0,145.0,0.2003,0.21196,1027.0,701.0,2467.0,2880.0,0.24424,0.26286,0.04395,0.05091
