round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,tp,fp,tn,fn,group_0_tp,group_0_fp,group_0_tn,group_0_fn,group_0_positive_rate,group_0_true_positive_rate,group_1_tp,group_1_fp,group_1_tn,group_1_fn,group_1_positive_rate,group_1_true_positive_rate,statistical_parity_difference,equal_opportunity_difference
1,0,0.63273,0.31637,0.5,0.38753,0.63273,0.63273,0.63273,0.0,0.0,7048.0,4091.0,0.0,0.0,3880.0,184.0,0.0,0.0,0.0,0.0,3168.0,3907.0,0.0,0.0,0.0,0.0
1,1,0.63273,0.31637,0.5,0.38753,0.63273,0.63273,0.63273,0.0,0.0,7048.0,4091.0,0.0,0.0,3880.0,184.0,0.0,0.0,0.0,0.0,3168.0,3907.0,0.0,0.0,0.0,0.0
1,2,0.63273,0.31637,0.5,0.38753,0.63273,0.63273,0.63273,0.0,0.0,7048.0,4091.0,0.0,0.0,3880.0,184.0,0.0,0.0,0.0,0.0,3168.0,3907.0,0.0,0.0,0.0,0.0
1,3,0.63273,0.31637,0.5,0.38753,0.63273,0.63273,0.63273,0.0,0.0,7048.0,4091.0,0.0,0.0,3880.0,184.0,0.0,0.0,0.0,0.0,3168.0,3907.0,0.0,0.0,0.0,0.0
1,4,0.63273,0.31637,0.5,0.38753,0.63273,0.63273,0.63273,0.0,0.0,7048.0,4091.0,0.0,0.0,3880.0,184.0,0.0,0.0,0.0,0.0,3168.0,3907.0,0.0,0.0,0.0,0.0
1,5,0.63273,0.31637,0.5,0.38753,0.63273,0.63273,0.63273,0.0,0.0,7048.0,4091.0,0.0,0.0,3880.0,184.0,0.0,0.0,0.0,0.0,3168.0,3907.0,0.0,0.0,0.0,0.0
1,6,0.63273,0.31637,0.5,0.38753,0.63273,0.63273,0.63273,0.0,0.0,7048.0,4091.0,0.0,0.0,3880.0,184.0,0.0,0.0,0.0,0.0,3168.0,3907.0,0.0,0.0,0.0,0.0
1,7,0.63273,0.31637,0.5,0.38753,0.63273,0.63273,0.63273,0.0,0.0,7048.0,4091.0,0.0,0.0,3880.0,184.0,0.0,0.0,0.0,0.0,3168.0,3907.0,0.0,0.0,0.0,0.0
1,8,0.63273,0.31637,0.5,0.38753,0.63273,0.63273,0.63273,0.0,0.0,7048.0,4091.0,0.0,0.0,3880.0,184.0,0.0,0.0,0.0,0.0,3168.0,3907.0,0.0,0.0,0.0,0.0
1,9,0.63273,0.31637,0.5,0.38753,0.63273,0.63273,0.63273,0.0,0.0,7048.0,4091.0,0.0,0.0,3880.0,184.0,0.0,0.0,0.0,0.0,3168.0,3907.0,0.0,0.0,0.0,0.0
2,0,0.63264,0.31635,0.49993,0.3875,0.63264,0.63264,0.63264,0.0,1.0,7047.0,4091.0,0.0,1.0,3879.0,184.0,0.00025,0.0,0.0,0.0,3168.0,3907.0,0.0,0.0,-0.00025,0.0
2,1,0.63264,0.31635,0.49993,0.3875,0.63264,0.63264,0.63264,0.0,1.0,7047.0,4091.0,0.0,1.0,3879.0,184.0,0.00025,0.0,0.0,0.0,3168.0,3907.0,0.0,0.0,-0.00025,0.0
2,2,0.63264,0.31635,0.49993,0.3875,0.63264,0.63264,0.63264,0.0,1.0,7047.0,4091.0,0.0,1.0,3879.0,184.0,0.00025,0.0,0.0,0.0,3168.0,3907.0,0.0,0.0,-0.00025,0.0
