round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,tp,fp,tn,fn,group_0_tp,group_0_fp,group_0_tn,group_0_fn,group_0_positive_rate,group_0_true_positive_rate,group_1_tp,group_1_fp,group_1_tn,group_1_fn,group_1_positive_rate,group_1_true_positive_rate,statistical_parity_difference,equal_opportunity_difference
1,0,0.61211,0.30605,0.5,0.37969,0.61211,0.61211,0.61211,0.0,0.0,546.0,346.0,0.0,0.0,292.0,13.0,0.0,0.0,0.0,0.0,254.0,333.0,0.0,0.0,0.0,0.0
1,1,0.65208,0.82584,0.50161,0.39776,0.65208,0.65208,0.65208,1.0,0.0,580.0,310.0,0.0,0.0,341.0,13.0,0.0,0.0,1.0,0.0,239.0,297.0,0.00186,0.00336,0.00186,0.00336
1,2,0.63861,0.3193,0.5,0.38973,0.63861,0.63861,0.63861,0.0,0.0,569.0,322.0,0.0,0.0,318.0,9.0,0.0,0.0,0.0,0.0,251.0,313.0,0.0,0.0,0.0,0.0
1,3,0.63412,0.31706,0.5,0.38805,0.63412,0.63412,0.63412,0.0,0.0,565.0,326.0,0.0,0.0,321.0,14.0,0.0,0.0,0.0,0.0,244.0,312.0,0.0,0.0,0.0,0.0
1,4,0.63973,0.31987,0.5,0.39014,0.63973,0.63973,0.63973,0.0,0.0,570.0,321.0,0.0,0.0,328.0,10.0,0.0,0.0,0.0,0.0,242.0,311.0,0.0,0.0,0.0,0.0
1,5,0.63749,0.31874,0.5,0.38931,0.63749,0.63749,0.63749,0.0,0.0,568.0,323.0,0.0,0.0,309.0,17.0,0.0,0.0,0.0,0.0,259.0,306.0,0.0,0.0,0.0,0.0
1,6,0.64198,0.32099,0.5,0.39098,0.64198,0.64198,0.64198,0.0,0.0,572.0,319.0,0.0,0.0,274.0,13.0,0.0,0.0,0.0,0.0,298.0,306.0,0.0,0.0,0.0,0.0
1,7,0.63075,0.31538,0.5,0.38679,0.63075,0.63075,0.63075,0.0,0.0,562.0,329.0,0.0,0.0,309.0,15.0,0.0,0.0,0.0,0.0,253.0,314.0,0.0,0.0,0.0,0.0
1,8,0.61504,0.30752,0.5,0.38082,0.61504,0.61504,0.61504,0.0,0.0,548.0,343.0,0.0,0.0,300.0,17.0,0.0,0.0,0.0,0.0,248.0,326.0,0.0,0.0,0.0,0.0
1,9,0.62626,0.31313,0.5,0.38509,0.62626,0.62626,0.62626,0.0,0.0,558.0,333.0,0.0,0.0,306.0,10.0,0.0,0.0,0.0,0.0,252.0,323.0,0.0,0.0,0.0,0.0
2,0,0.61211,0.30605,0.5,0.37969,0.61211,0.61211,0.61211,0.0,0.0,546.0,346.0,0.0,0.0,292.0,13.0,0.0,0.0,0.0,0.0,254.0,333.0,0.0,0.0,0.0,0.0
2,1,0.65208,0.82584,0.50161,0.39776,0.65208,0.65208,0.65208,1.0,0.0,580.0,310.0,0.0,0.0,341.0,13.0,0.0,0.0,1.0,0.0,239.0,297.0,0.00186,0.00336,0.00186,0.00336
2,2,0.63973,0.81966,0.50155,0.39309,0.63973,0.63973,0.63973,1.0,0.0,569.0,321.0,0.0,0.0,318.0,9.0,0.0,0.0,1.0,0.0,251.0,312.0,0.00177,0.00319,0.00177,0.00319
