round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,tp,fp,tn,fn,group_0_tp,group_0_fp,group_0_tn,group_0_fn,group_0_positive_rate,group_0_true_positive_rate,group_1_tp,group_1_fp,group_1_tn,group_1_fn,group_1_positive_rate,group_1_true_positive_rate,statistical_parity_difference,equal_opportunity_difference
1,0.63273,0.31637,0.5,0.38753,0.63273,0.63273,0.63273,0.0,0.0,7048.0,4091.0,0.0,0.0,3880.0,184.0,0.0,0.0,0.0,0.0,3168.0,3907.0,0.0,0.0,0.0,0.0
2,0.63327,0.66035,0.50099,0.39027,0.63327,0.63327,0.63327,11.0,5.0,7043.0,4080.0,0.0,1.0,3879.0,184.0,0.00025,0.0,11.0,4.0,3164.0,3896.0,0.00212,0.00282,0.00187,0.00282
3,0.57941,0.51625,0.51298,0.50559,0.57941,0.57941,0.57941,1075.0,1669.0,5379.0,3016.0,45.0,897.0,2983.0,139.0,0.23179,0.24457,1030.0,772.0,2396.0,2877.0,0.2547,0.26363,0.02291,0.01906
4,0.60822,0.53078,0.51709,0.49058,0.60822,0.60822,0.60822,711.0,984.0,6064.0,3380.0,27.0,553.0,3327.0,157.0,0.14272,0.14674,684.0,431.0,2737.0,3223.0,0.1576,0.17507,0.01488,0.02833
5,0.58039,0.51626,0.51284,0.50484,0.58039,0.58039,0.58039,1057.0,1640.0,5408.0,3034.0,45.0,877.0,3003.0,139.0,0.22687,0.24457,1012.0,763.0,2405.0,2895.0,0.25088,0.25902,0.02401,0.01446
6,0.57088,0.52263,0.52065,0.51935,0.57088,0.57088,0.57088,1356.0,2045.0,5003.0,2735.0,55.0,1110.0,2770.0,129.0,0.28666,0.29891,1301.0,935.0,2233.0,2606.0,0.31604,0.33299,0.02938,0.03408
7,0.58102,0.51968,0.5159,0.50932,0.58102,0.58102,0.58102,1107.0,1683.0,5365.0,2984.0,47.0,891.0,2989.0,137.0,0.23081,0.25543,1060.0,792.0,2376.0,2847.0,0.26177,0.27131,0.03096,0.01587
8,0.57142,0.52618,0.52436,0.52372,0.57142,0.57142,0.57142,1420.0,2103.0,4945.0,2671.0,57.0,1136.0,2744.0,127.0,0.29355,0.30978,1363.0,967.0,2201.0,2544.0,0.32933,0.34886,0.03578,0.03908
9,0.58336,0.52378,0.51939,0.51354,0.58336,0.58336,0.58336,1139.0,1689.0,5359.0,2952.0,47.0,893.0,2987.0,137.0,0.2313,0.25543,1092.0,796.0,2372.0,2815.0,0.26686,0.2795,0.03556,0.02406
10,0.60167,0.5336,0.52289,0.50839,0.60167,0.60167,0.60167,925.0,1271.0,5777.0,3166.0,34.0,682.0,3198.0,150.0,0.17618,0.18478,891.0,589.0,2579.0,3016.0,0.20919,0.22805,0.03301,0.04327
11,0.59278,0.52705,0.52002,0.50945,0.59278,0.59278,0.59278,1006.0,1451.0,5597.0,3085.0,42.0,771.0,3109.0,142.0,0.20005,0.22826,964.0,680.0,2488.0,2943.0,0.23237,0.24674,0.03232,0.01848
12,0.61945,0.54923,0.52529,0.49652,0.61945,0.61945,0.61945,698.0,846.0,6202.0,3393.0,25.0,431.0,3449.0,159.0,0.1122,0.13587,673.0,415.0,2753.0,3234.0,0.15378,0.17225,0.04158,0.03639
13,0.61379,0.54499,0.52662,0.50537,0.61379,0.61379,0.61379,811.0,1022.0,6026.0,3280.0,30.0,533.0,3347.0,154.0,0.13853,0.16304,781.0,489.0,2679.0,3126.0,0.17951,0.1999,0.04097,0.03685
14,0.60293,0.53825,0.52701,0.51495,0.60293,0.60293,0.60293,986.0,1318.0,5730.0,3105.0,35.0,690.0,3190.0,149.0,0.1784,0.19022,951.0,628.0,2540.0,2956.0,0.22318,0.24341,0.04478,0.05319
15,0.60284,0.53947,0.52837,0.51739,0.60284,0.60284,0.60284,1014.0,1347.0,5701.0,3077.0,35.0,703.0,3177.0,149.0,0.18159,0.19022,979.0,644.0,2524.0,2928.0,0.2294,0.25058,0.0478,0.06036
16,0.60041,0.53938,0.52958,0.52089,0.60041,0.60041,0.60041,1075.0,1435.0,5613.0,3016.0,37.0,744.0,3136.0,147.0,0.19218,0.20109,1038.0,691.0,2477.0,2869.0,0.24438,0.26568,0.05221,0.06459
17,0.59269,0.53638,0.52974,0.52489,0.59269,0.59269,0.59269,1197.0,1643.0,5405.0,2894.0,47.0,850.0,3030.0,137.0,0.22072,0.25543,1150.0,793.0,2375.0,2757.0,0.27463,0.29434,0.05391,0.03891
18,0.63031,0.56952,0.53131,0.4976,0.63031,0.63031,0.63031,648.0,675.0,6373.0,3443.0,17.0,312.0,3568.0,167.0,0.08095,0.09239,631.0,363.0,2805.0,3276.0,0.14049,0.1615,0.05954,0.06911
19,0.63587,0.58248,0.52992,0.48613,0.63587,0.63587,0.63587,535.0,500.0,6548.0,3556.0,15.0,214.0,3666.0,169.0,0.05635,0.08152,520.0,286.0,2882.0,3387.0,0.11392,0.13309,0.05757,0.05157
20,0.59583,0.54296,0.53602,0.53268,0.59583,0.59583,0.59583,1271.0,1682.0,5366.0,2820.0,48.0,867.0,3013.0,136.0,0.22515,0.26087,1223.0,815.0,2353.0,2684.0,0.28806,0.31303,0.06291,0.05216
