round,client,train_loss
1,0,2341.618603515625
1,1,1134.83985463018
1,2,1062.7526681082588
1,3,1103.8455981445313
1,4,1068.204460797991
1,5,183.7071572455493
1,6,1571.7070610894098
1,7,640.2318466186523
1,8,1354.2637044270834
1,9,226.06627066476005
2,0,921.9185546875
2,1,183.88387872447137
2,2,326.68751002720427
2,3,224.8641035461426
2,4,227.64966314860752
2,5,38.40904097990556
2,6,440.6724873860677
2,7,151.20010751883189
2,8,318.418675438563
2,9,69.44277158464705
3,0,34.88722667694092
3,1,12.713124623505966
3,2,15.668966920035226
3,3,14.200875523885092
3,4,12.960874101093838
3,5,4.340084334937009
3,6,18.128202205234103
3,7,8.920801289876302
3,8,13.909122657775878
3,9,13.160784254755292
4,0,12.324078369140626
4,1,10.664976086823836
4,2,8.477948352268763
4,3,9.817188727060953
4,4,8.86268298966544
4,5,4.114005213434046
4,6,11.445735952589247
4,7,5.820389811197916
4,8,10.699515628814698
4,9,2.2367203065327237
5,0,12.418673324584962
5,1,10.517930818640668
5,2,7.704979310716902
5,3,9.510911286671956
5,4,8.822294582639422
5,5,3.9050606841390785
5,6,11.01882824367947
5,7,5.810752213001251
5,8,10.909720055262248
5,9,2.163478037289211
6,0,11.48642807006836
6,1,9.890817277327828
6,2,7.293549592154367
6,3,8.89590113957723
6,4,8.613206604548862
6,5,4.077388988841664
6,6,10.6776609632704
6,7,5.575588305791219
6,8,10.121011463801066
6,9,2.020545857293265
7,0,10.88055477142334
7,1,9.675577914196513
7,2,7.404158387865339
7,3,8.796221701304118
7,4,8.087400334221977
7,5,3.7324968629262663
7,6,10.509656312730577
7,7,5.47942267258962
7,8,10.074069277445476
7,9,2.3889915806906563
8,0,10.870265007019043
8,1,9.350320011636486
8,2,6.959243134089879
8,3,8.677878659566243
8,4,7.880155277252197
8,5,3.469729129292748
8,6,9.94401010937161
8,7,5.558466657002767
8,8,9.46779751777649
8,9,2.059024575778416
9,0,10.06914405822754
9,1,9.244202924811322
9,2,6.646338517325265
9,3,8.213128089904785
9,4,7.55651364326477
9,5,3.4070274168794805
9,6,9.958606486850314
9,7,5.54690660238266
9,8,9.266054892539978
9,9,1.9853396824428013
10,0,10.077701187133789
10,1,8.59753816438758
10,2,6.511542061397008
10,3,7.823444811503093
10,4,7.169435691833496
10,5,3.3459768560799685
10,6,9.453107918633355
10,7,5.02498471736908
10,8,8.670837148030598
10,9,1.902350994518825
11,0,9.799049568176269
11,1,8.616355087446129
11,2,6.4462514468601775
11,3,7.527062994639079
11,4,7.076602860859462
11,5,3.2274873305450784
11,6,8.93103781806098
11,7,4.924061032136281
11,8,8.305193638801574
11,9,1.7808613317353386
12,0,9.495451164245605
12,1,8.052920544665792
12,2,5.908484949384417
12,3,7.617491582234701
12,4,6.808090986524309
12,5,3.0477767846801065
12,6,8.899009047614204
12,7,4.726785723368327
12,8,8.276895014444987
12,9,1.7038068192345754
13,0,9.33176097869873
13,1,7.911174546117368
13,2,5.764124952043805
13,3,7.148205019632975
13,4,6.407395253862654
13,5,2.9434592203660443
13,6,8.107236851586237
13,7,4.3861470222473145
13,8,8.052095007896423
13,9,1.7622962542942593
14,0,8.93442440032959
14,1,7.493669497448465
14,2,5.593337944575718
14,3,6.744645055135091
14,4,6.548376744134085
14,5,2.9298516582358967
14,6,8.177362124125162
14,7,4.419802701473236
14,8,7.754638648033142
14,9,1.5698264258248464
15,0,8.578996086120606
15,1,7.148212416275688
15,2,5.649702548980713
15,3,6.846796455383301
15,4,6.357484885624477
15,5,2.9803236294876445
15,6,7.739038054148356
15,7,4.2350099643071495
15,8,7.500095295906067
15,9,1.7683030690465655
16,0,8.197505664825439
16,1,7.07784422169561
16,2,5.490428652082171
16,3,6.438560721079509
16,4,6.219407088415963
16,5,2.7807479722933337
16,6,7.3770076539781355
16,7,3.9892233411471048
16,8,7.0269966204961145
16,9,1.9481797082083565
17,0,7.880402755737305
17,1,6.98402272514675
17,2,5.527634518487113
17,3,6.143769569396973
17,4,6.0875041348593575
17,5,2.7111517266793683
17,6,7.300032212999132
17,7,3.7771979212760924
17,8,6.859162378311157
17,9,1.8605632373264858
18,0,7.472174835205078
18,1,6.740642186869746
18,2,5.73216233934675
18,3,6.0551296297709145
18,4,5.480754634312221
18,5,2.845420152490789
18,6,7.55364875793457
18,7,3.8034178376197816
18,8,6.94810954729716
18,9,1.565011521748134
19,0,7.789872932434082
19,1,6.300176392430845
19,2,4.739042847497123
19,3,6.149697653452555
19,4,5.423508208138602
19,5,2.5900131580504504
19,6,6.9571094195048016
19,7,3.684757649898529
19,8,6.713571707407634
19,9,1.512068850653512
20,0,7.428591251373291
20,1,6.466122436523437
20,2,4.68942586353847
20,3,5.705881678263347
20,4,5.556066288266863
20,5,2.4648028872229837
20,6,6.611441495683458
20,7,3.6923233826955157
20,8,6.2489647229512535
20,9,1.4923962184361048
