round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,tp,fp,tn,fn,group_0_tp,group_0_fp,group_0_tn,group_0_fn,group_0_positive_rate,group_0_true_positive_rate,group_1_tp,group_1_fp,group_1_tn,group_1_fn,group_1_positive_rate,group_1_true_positive_rate,statistical_parity_difference,equal_opportunity_difference
1,0,0.13725,0.06863,0.5,0.12069,0.13725,0.13725,0.13725,0.0,0.0,7.0,44.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,2.0,41.0,0.0,0.0,0.0,0.0
1,1,0.42694,0.71327,0.50062,0.30024,0.42694,0.42694,0.42694,1.0,0.0,598.0,804.0,0.0,0.0,320.0,26.0,0.0,0.0,1.0,0.0,278.0,778.0,0.00095,0.00128,0.00095,0.00128
1,2,0.61739,0.3087,0.5,0.38172,0.61739,0.61739,0.61739,0.0,0.0,284.0,176.0,0.0,0.0,151.0,11.0,0.0,0.0,0.0,0.0,133.0,165.0,0.0,0.0,0.0,0.0
1,3,0.5437,0.27185,0.5,0.35221,0.5437,0.5437,0.5437,0.0,0.0,479.0,402.0,0.0,0.0,278.0,19.0,0.0,0.0,0.0,0.0,201.0,383.0,0.0,0.0,0.0,0.0
1,4,0.56379,0.2819,0.5,0.36053,0.56379,0.56379,0.56379,0.0,0.0,517.0,400.0,0.0,0.0,268.0,17.0,0.0,0.0,0.0,0.0,249.0,383.0,0.0,0.0,0.0,0.0
1,5,0.73823,0.50164,0.50163,0.50164,0.73823,0.73823,0.73823,69.0,366.0,2001.0,368.0,0.0,203.0,1101.0,15.0,0.1539,0.0,69.0,163.0,900.0,353.0,0.15623,0.16351,0.00232,0.16351
1,6,0.36879,0.1844,0.5,0.26943,0.36879,0.36879,0.36879,0.0,0.0,208.0,356.0,0.0,0.0,104.0,15.0,0.0,0.0,0.0,0.0,104.0,341.0,0.0,0.0,0.0,0.0
1,7,0.7135,0.35675,0.5,0.4164,0.7135,0.7135,0.7135,0.0,0.0,518.0,208.0,0.0,0.0,292.0,7.0,0.0,0.0,0.0,0.0,226.0,201.0,0.0,0.0,0.0,0.0
1,8,0.42837,0.21419,0.5,0.2999,0.42837,0.42837,0.42837,0.0,0.0,308.0,411.0,0.0,0.0,170.0,17.0,0.0,0.0,0.0,0.0,138.0,394.0,0.0,0.0,0.0,0.0
1,9,0.91192,0.45596,0.5,0.47696,0.91192,0.91192,0.91192,0.0,0.0,352.0,34.0,0.0,0.0,206.0,1.0,0.0,0.0,0.0,0.0,146.0,33.0,0.0,0.0,0.0,0.0
2,0,0.13725,0.06863,0.5,0.12069,0.13725,0.13725,0.13725,0.0,0.0,7.0,44.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,2.0,41.0,0.0,0.0,0.0,0.0
2,1,0.49608,0.51119,0.51099,0.49575,0.49608,0.49608,0.49608,330.0,232.0,366.0,475.0,12.0,124.0,196.0,14.0,0.39306,0.46154,318.0,108.0,170.0,461.0,0.40303,0.40822,0.00996,-0.05332
2,2,0.61739,0.3087,0.5,0.38172,0.61739,0.61739,0.61739,0.0,0.0,284.0,176.0,0.0,0.0,151.0,11.0,0.0,0.0,0.0,0.0,133.0,165.0,0.0,0.0,0.0,0.0
2,3,0.54143,0.51543,0.50431,0.41227,0.54143,0.54143,0.54143,32.0,34.0,445.0,370.0,5.0,22.0,256.0,14.0,0.09091,0.26316,27.0,12.0,189.0,356.0,0.06678,0.0705,-0.02413,-0.19266
2,4,0.48419,0.50743,0.50663,0.47773,0.48419,0.48419,0.48419,273.0,346.0,171.0,127.0,10.0,179.0,89.0,7.0,0.66316,0.58824,263.0,167.0,82.0,120.0,0.68038,0.68668,0.01722,0.09845
2,5,0.69187,0.50444,0.50589,0.50107,0.69187,0.69187,0.69187,103.0,530.0,1837.0,334.0,1.0,284.0,1020.0,14.0,0.21607,0.06667,102.0,246.0,817.0,320.0,0.23434,0.24171,0.01827,0.17504
2,6,0.36879,0.1844,0.5,0.26943,0.36879,0.36879,0.36879,0.0,0.0,208.0,356.0,0.0,0.0,104.0,15.0,0.0,0.0,0.0,0.0,104.0,341.0,0.0,0.0,0.0,0.0
2,7,0.48209,0.50509,0.50615,0.46853,0.48209,0.48209,0.48209,117.0,285.0,233.0,91.0,5.0,153.0,139.0,2.0,0.52843,0.71429,112.0,132.0,94.0,89.0,0.57143,0.55721,0.043,-0.15707
2,8,0.55216,0.53628,0.53464,0.53371,0.55216,0.55216,0.55216,270.0,181.0,127.0,141.0,15.0,100.0,70.0,2.0,0.61497,0.88235,255.0,81.0,57.0,139.0,0.63158,0.64721,0.01661,-0.23514
2,9,0.91192,0.45596,0.5,0.47696,0.91192,0.91192,0.91192,0.0,0.0,352.0,34.0,0.0,0.0,206.0,1.0,0.0,0.0,0.0,0.0,146.0,33.0,0.0,0.0,0.0,0.0
3,0,0.64706,0.61258,0.73539,0.575,0.64706,0.64706,0.64706,27.0,1.0,6.0,17.0,2.0,1.0,4.0,1.0,0.375,0.66667,25.0,0.0,2.0,16.0,0.5814,0.60976,0.2064,-0.05691
3,1,0.49608,0.51962,0.5183,0.4933,0.49608,0.49608,0.49608,296.0,198.0,400.0,509.0,11.0,108.0,212.0,15.0,0.34393,0.42308,285.0,90.0,188.0,494.0,0.35478,0.36585,0.01085,-0.05722
3,2,0.54565,0.48713,0.48944,0.48041,0.54565,0.54565,0.54565,44.0,77.0,207.0,132.0,2.0,52.0,99.0,9.0,0.33333,0.18182,42.0,25.0,108.0,123.0,0.22483,0.25455,-0.1085,0.07273
3,3,0.52894,0.50891,0.50662,0.48247,0.52894,0.52894,0.52894,101.0,114.0,365.0,301.0,6.0,68.0,210.0,13.0,0.24916,0.31579,95.0,46.0,155.0,288.0,0.24144,0.24804,-0.00772,-0.06775
3,4,0.56052,0.51323,0.50219,0.39656,0.56052,0.56052,0.56052,18.0,21.0,496.0,382.0,0.0,6.0,262.0,17.0,0.02105,0.0,18.0,15.0,234.0,365.0,0.05222,0.047,0.03116,0.047
3,5,0.71148,0.50294,0.50352,0.50184,0.71148,0.71148,0.71148,88.0,460.0,1907.0,349.0,1.0,246.0,1058.0,14.0,0.18726,0.06667,87.0,214.0,849.0,335.0,0.20269,0.20616,0.01543,0.13949
3,6,0.53546,0.53453,0.53708,0.52687,0.53546,0.53546,0.53546,189.0,95.0,113.0,167.0,8.0,49.0,55.0,7.0,0.47899,0.53333,181.0,46.0,58.0,160.0,0.51011,0.53079,0.03112,-0.00254
3,7,0.68457,0.53873,0.51713,0.49475,0.68457,0.68457,0.68457,26.0,47.0,471.0,182.0,1.0,23.0,269.0,6.0,0.08027,0.14286,25.0,24.0,202.0,176.0,0.11475,0.12438,0.03449,-0.01848
3,8,0.53129,0.54102,0.5412,0.53126,0.53129,0.53129,0.53129,194.0,120.0,188.0,217.0,10.0,67.0,103.0,7.0,0.41176,0.58824,184.0,53.0,85.0,210.0,0.44549,0.46701,0.03372,-0.12123
3,9,0.91192,0.45596,0.5,0.47696,0.91192,0.91192,0.91192,0.0,0.0,352.0,34.0,0.0,0.0,206.0,1.0,0.0,0.0,0.0,0.0,146.0,33.0,0.0,0.0,0.0,0.0
4,0,0.82353,0.66341,0.71753,0.68235,0.82353,0.82353,0.82353,38.0,3.0,4.0,6.0,3.0,3.0,2.0,0.0,0.75,1.0,35.0,0.0,2.0,6.0,0.81395,0.85366,0.06395,-0.14634
4,1,0.47826,0.53886,0.52449,0.44751,0.47826,0.47826,0.47826,170.0,97.0,501.0,635.0,6.0,51.0,269.0,20.0,0.16474,0.23077,164.0,46.0,232.0,615.0,0.19868,0.21053,0.03394,-0.02024
4,2,0.61739,0.55947,0.50324,0.39724,0.61739,0.61739,0.61739,3.0,3.0,281.0,173.0,0.0,2.0,149.0,11.0,0.01235,0.0,3.0,1.0,132.0,162.0,0.01342,0.01818,0.00108,0.01818
4,3,0.5403,0.51708,0.50747,0.44185,0.5403,0.5403,0.5403,53.0,56.0,423.0,349.0,5.0,32.0,246.0,14.0,0.12458,0.26316,48.0,24.0,177.0,335.0,0.12329,0.12533,-0.00129,-0.13783
4,4,0.53435,0.49473,0.49652,0.46508,0.53435,0.53435,0.53435,80.0,107.0,410.0,320.0,3.0,50.0,218.0,14.0,0.18596,0.17647,77.0,57.0,192.0,306.0,0.21203,0.20104,0.02606,0.02457
4,5,0.83595,0.5557,0.50727,0.48184,0.83595,0.83595,0.83595,13.0,36.0,2331.0,424.0,0.0,15.0,1289.0,15.0,0.01137,0.0,13.0,21.0,1042.0,409.0,0.0229,0.03081,0.01152,0.03081
4,6,0.54255,0.53886,0.5417,0.53267,0.54255,0.54255,0.54255,194.0,96.0,112.0,162.0,8.0,49.0,55.0,7.0,0.47899,0.53333,186.0,47.0,57.0,155.0,0.5236,0.54545,0.0446,0.01212
4,7,0.70799,0.58488,0.5206,0.48121,0.70799,0.70799,0.70799,17.0,21.0,497.0,191.0,1.0,9.0,283.0,6.0,0.03344,0.14286,16.0,12.0,214.0,185.0,0.06557,0.0796,0.03213,-0.06326
4,8,0.51043,0.53414,0.53191,0.50776,0.51043,0.51043,0.51043,157.0,98.0,210.0,254.0,9.0,57.0,113.0,8.0,0.35294,0.52941,148.0,41.0,97.0,246.0,0.35526,0.37563,0.00232,-0.15378
4,9,0.84197,0.52602,0.52807,0.52691,0.84197,0.84197,0.84197,5.0,32.0,320.0,29.0,1.0,14.0,192.0,0.0,0.07246,1.0,4.0,18.0,128.0,29.0,0.12291,0.12121,0.05044,-0.87879
5,0,0.7451,0.62768,0.73214,0.63511,0.7451,0.7451,0.7451,33.0,2.0,5.0,11.0,3.0,2.0,3.0,0.0,0.625,1.0,30.0,0.0,2.0,11.0,0.69767,0.73171,0.07267,-0.26829
5,1,0.49964,0.52677,0.52441,0.49551,0.49964,0.49964,0.49964,287.0,184.0,414.0,518.0,10.0,97.0,223.0,16.0,0.30925,0.38462,277.0,87.0,191.0,502.0,0.34437,0.35558,0.03512,-0.02903
5,2,0.52609,0.48818,0.48872,0.48765,0.52609,0.52609,0.52609,58.0,100.0,184.0,118.0,2.0,64.0,87.0,9.0,0.40741,0.18182,56.0,36.0,97.0,109.0,0.30872,0.33939,-0.09868,0.15758
5,3,0.53008,0.50701,0.50467,0.47074,0.53008,0.53008,0.53008,86.0,98.0,381.0,316.0,6.0,59.0,219.0,13.0,0.21886,0.31579,80.0,39.0,162.0,303.0,0.20377,0.20888,-0.01509,-0.10691
5,4,0.52017,0.48454,0.48819,0.46807,0.52017,0.52017,0.52017,95.0,135.0,382.0,305.0,5.0,61.0,207.0,12.0,0.23158,0.29412,90.0,74.0,175.0,293.0,0.25949,0.23499,0.02791,-0.05913
5,5,0.71612,0.50138,0.5016,0.50061,0.71612,0.71612,0.71612,83.0,442.0,1925.0,354.0,1.0,237.0,1067.0,14.0,0.18044,0.06667,82.0,205.0,858.0,340.0,0.19327,0.19431,0.01283,0.12765
5,6,0.54078,0.54501,0.54829,0.5346,0.54078,0.54078,0.54078,185.0,88.0,120.0,171.0,8.0,45.0,59.0,7.0,0.44538,0.53333,177.0,43.0,61.0,164.0,0.49438,0.51906,0.049,-0.01427
5,7,0.69972,0.55854,0.51768,0.48308,0.69972,0.69972,0.69972,19.0,29.0,489.0,189.0,1.0,14.0,278.0,6.0,0.05017,0.14286,18.0,15.0,211.0,183.0,0.07728,0.08955,0.02712,-0.0533
5,8,0.45202,0.51135,0.50522,0.39821,0.45202,0.45202,0.45202,55.0,38.0,270.0,356.0,1.0,22.0,148.0,16.0,0.12299,0.05882,54.0,16.0,122.0,340.0,0.13158,0.13706,0.00858,0.07823
5,9,0.90155,0.4555,0.49432,0.47411,0.90155,0.90155,0.90155,0.0,4.0,348.0,34.0,0.0,0.0,206.0,1.0,0.0,0.0,0.0,4.0,142.0,33.0,0.02235,0.0,0.02235,0.0
6,0,0.7451,0.62768,0.73214,0.63511,0.7451,0.7451,0.7451,33.0,2.0,5.0,11.0,3.0,2.0,3.0,0.0,0.625,1.0,30.0,0.0,2.0,11.0,0.69767,0.73171,0.07267,-0.26829
6,1,0.49394,0.53344,0.5274,0.48246,0.49394,0.49394,0.49394,242.0,147.0,451.0,563.0,8.0,75.0,245.0,18.0,0.23988,0.30769,234.0,72.0,206.0,545.0,0.2895,0.30039,0.04961,-0.00731
6,2,0.54783,0.49858,0.49876,0.49402,0.54783,0.54783,0.54783,51.0,83.0,201.0,125.0,2.0,54.0,97.0,9.0,0.34568,0.18182,49.0,29.0,104.0,116.0,0.26174,0.29697,-0.08393,0.11515
6,3,0.51986,0.50609,0.50547,0.49797,0.51986,0.51986,0.51986,137.0,158.0,321.0,265.0,7.0,93.0,185.0,12.0,0.3367,0.36842,130.0,65.0,136.0,253.0,0.3339,0.33943,-0.0028,-0.029
6,4,0.52126,0.48485,0.48859,0.46724,0.52126,0.52126,0.52126,93.0,132.0,385.0,307.0,5.0,59.0,209.0,12.0,0.22456,0.29412,88.0,73.0,176.0,295.0,0.25475,0.22977,0.03019,-0.06435
6,5,0.65442,0.50338,0.50517,0.49275,0.65442,0.65442,0.65442,126.0,658.0,1709.0,311.0,2.0,355.0,949.0,13.0,0.27066,0.13333,124.0,303.0,760.0,298.0,0.28754,0.29384,0.01688,0.16051
6,6,0.54433,0.54018,0.54311,0.53424,0.54433,0.54433,0.54433,195.0,96.0,112.0,161.0,8.0,49.0,55.0,7.0,0.47899,0.53333,187.0,47.0,57.0,154.0,0.52584,0.54839,0.04685,0.01505
6,7,0.66116,0.52207,0.51367,0.50248,0.66116,0.66116,0.66116,35.0,73.0,445.0,173.0,1.0,32.0,260.0,6.0,0.11037,0.14286,34.0,41.0,185.0,167.0,0.17564,0.16915,0.06528,0.0263
6,8,0.53686,0.54172,0.54241,0.53615,0.53686,0.53686,0.53686,207.0,129.0,179.0,204.0,11.0,72.0,98.0,6.0,0.44385,0.64706,196.0,57.0,81.0,198.0,0.47556,0.49746,0.03171,-0.1496
6,9,0.90415,0.45561,0.49574,0.47483,0.90415,0.90415,0.90415,0.0,3.0,349.0,34.0,0.0,0.0,206.0,1.0,0.0,0.0,0.0,3.0,143.0,33.0,0.01676,0.0,0.01676,0.0
7,0,0.7451,0.62768,0.73214,0.63511,0.7451,0.7451,0.7451,33.0,2.0,5.0,11.0,3.0,2.0,3.0,0.0,0.625,1.0,30.0,0.0,2.0,11.0,0.69767,0.73171,0.07267,-0.26829
7,1,0.51461,0.52102,0.52133,0.51413,0.51461,0.51461,0.51461,383.0,259.0,339.0,422.0,14.0,135.0,185.0,12.0,0.43064,0.53846,369.0,124.0,154.0,410.0,0.46641,0.47368,0.03578,-0.06478
7,2,0.60435,0.50106,0.50024,0.42276,0.60435,0.60435,0.60435,10.0,16.0,268.0,166.0,0.0,11.0,140.0,11.0,0.0679,0.0,10.0,5.0,128.0,155.0,0.05034,0.06061,-0.01757,0.06061
7,3,0.5403,0.51831,0.50886,0.45058,0.5403,0.5403,0.5403,60.0,63.0,416.0,342.0,5.0,36.0,242.0,14.0,0.13805,0.26316,55.0,27.0,174.0,328.0,0.14041,0.1436,0.00236,-0.11955
7,4,0.55071,0.49841,0.49943,0.42632,0.55071,0.55071,0.55071,39.0,51.0,466.0,361.0,1.0,22.0,246.0,16.0,0.0807,0.05882,38.0,29.0,220.0,345.0,0.10601,0.09922,0.02531,0.04039
7,5,0.82275,0.54918,0.51531,0.50466,0.82275,0.82275,0.82275,30.0,90.0,2277.0,407.0,0.0,42.0,1262.0,15.0,0.03184,0.0,30.0,48.0,1015.0,392.0,0.05253,0.07109,0.02068,0.07109
7,6,0.53723,0.54434,0.54748,0.53211,0.53723,0.53723,0.53723,181.0,86.0,122.0,175.0,8.0,43.0,61.0,7.0,0.42857,0.53333,173.0,43.0,61.0,168.0,0.48539,0.50733,0.05682,-0.026
7,7,0.63636,0.52906,0.52507,0.52461,0.63636,0.63636,0.63636,55.0,111.0,407.0,153.0,2.0,56.0,236.0,5.0,0.19398,0.28571,53.0,55.0,171.0,148.0,0.25293,0.26368,0.05895,-0.02203
7,8,0.53825,0.53484,0.53549,0.53396,0.53825,0.53825,0.53825,228.0,149.0,159.0,183.0,12.0,81.0,89.0,5.0,0.49733,0.70588,216.0,68.0,70.0,178.0,0.53383,0.54822,0.03651,-0.15766
7,9,0.90415,0.45561,0.49574,0.47483,0.90415,0.90415,0.90415,0.0,3.0,349.0,34.0,0.0,0.0,206.0,1.0,0.0,0.0,0.0,3.0,143.0,33.0,0.01676,0.0,0.01676,0.0
8,0,0.7451,0.62768,0.73214,0.63511,0.7451,0.7451,0.7451,33.0,2.0,5.0,11.0,3.0,2.0,3.0,0.0,0.625,1.0,30.0,0.0,2.0,11.0,0.69767,0.73171,0.07267,-0.26829
8,1,0.49608,0.52897,0.52518,0.48875,0.49608,0.49608,0.49608,264.0,166.0,432.0,541.0,9.0,86.0,234.0,17.0,0.27457,0.34615,255.0,80.0,198.0,524.0,0.31693,0.32734,0.04237,-0.01881
8,2,0.57826,0.49748,0.49856,0.46722,0.57826,0.57826,0.57826,28.0,46.0,238.0,148.0,1.0,32.0,119.0,10.0,0.2037,0.09091,27.0,14.0,119.0,138.0,0.13758,0.16364,-0.06612,0.07273
8,3,0.52894,0.51993,0.51902,0.51674,0.52894,0.52894,0.52894,163.0,176.0,303.0,239.0,7.0,104.0,174.0,12.0,0.37374,0.36842,156.0,72.0,129.0,227.0,0.39041,0.40731,0.01667,0.03889
8,4,0.50818,0.48137,0.48377,0.47455,0.50818,0.50818,0.50818,117.0,168.0,349.0,283.0,5.0,76.0,192.0,12.0,0.28421,0.29412,112.0,92.0,157.0,271.0,0.32278,0.29243,0.03857,-0.00169
8,5,0.65193,0.50657,0.51022,0.49531,0.65193,0.65193,0.65193,133.0,672.0,1695.0,304.0,2.0,365.0,939.0,13.0,0.27824,0.13333,131.0,307.0,756.0,291.0,0.29495,0.31043,0.01671,0.17709
8,6,0.55319,0.53968,0.54213,0.53746,0.55319,0.55319,0.55319,208.0,104.0,104.0,148.0,9.0,55.0,49.0,6.0,0.53782,0.6,199.0,49.0,55.0,142.0,0.5573,0.58358,0.01949,-0.01642
8,7,0.63912,0.53156,0.527,0.52655,0.63912,0.63912,0.63912,55.0,109.0,409.0,153.0,2.0,55.0,237.0,5.0,0.19064,0.28571,53.0,54.0,172.0,148.0,0.25059,0.26368,0.05995,-0.02203
8,8,0.48679,0.52124,0.51773,0.47625,0.48679,0.48679,0.48679,124.0,82.0,226.0,287.0,4.0,46.0,124.0,13.0,0.26738,0.23529,120.0,36.0,102.0,274.0,0.29323,0.30457,0.02585,0.06927
8,9,0.89119,0.50612,0.50192,0.49388,0.89119,0.89119,0.89119,1.0,9.0,343.0,33.0,0.0,2.0,204.0,1.0,0.00966,0.0,1.0,7.0,139.0,32.0,0.04469,0.0303,0.03503,0.0303
9,0,0.7451,0.62768,0.73214,0.63511,0.7451,0.7451,0.7451,33.0,2.0,5.0,11.0,3.0,2.0,3.0,0.0,0.625,1.0,30.0,0.0,2.0,11.0,0.69767,0.73171,0.07267,-0.26829
9,1,0.48325,0.53102,0.52281,0.46368,0.48325,0.48325,0.48325,205.0,125.0,473.0,600.0,7.0,63.0,257.0,19.0,0.20231,0.26923,198.0,62.0,216.0,581.0,0.24598,0.25417,0.04367,-0.01506
9,2,0.55,0.50182,0.5016,0.49725,0.55,0.55,0.55,52.0,83.0,201.0,124.0,2.0,54.0,97.0,9.0,0.34568,0.18182,50.0,29.0,104.0,115.0,0.2651,0.30303,-0.08058,0.12121
9,3,0.53008,0.52236,0.52166,0.52043,0.53008,0.53008,0.53008,171.0,183.0,296.0,231.0,7.0,110.0,168.0,12.0,0.39394,0.36842,164.0,73.0,128.0,219.0,0.40582,0.4282,0.01188,0.05978
