round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.91667,0.5,0.45833,0.47826,0.91667,0.91667,0.91667
1,1,0.49352,0.32466,0.366,0.34219,0.49352,0.49352,0.49352
2,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1,0.41245,0.31862,0.34943,0.28124,0.41245,0.41245,0.41245
3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1,0.39383,0.3197,0.34551,0.25587,0.39383,0.39383,0.39383
4,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1,0.53998,0.36428,0.33502,0.23891,0.53998,0.53998,0.53998
5,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1,0.54035,0.35311,0.3357,0.2414,0.54035,0.54035,0.54035
6,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1,0.5401,0.3443,0.33609,0.24403,0.5401,0.5401,0.5401
7,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1,0.54121,0.34093,0.34001,0.2598,0.54121,0.54121,0.54121
8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1,0.44939,0.3146,0.35276,0.3174,0.44939,0.44939,0.44939
9,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1,0.54121,0.3511,0.33753,0.24816,0.54121,0.54121,0.54121
10,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,1,0.54182,0.34121,0.34181,0.26607,0.54182,0.54182,0.54182
11,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,1,0.40409,0.36865,0.34974,0.27647,0.40409,0.40409,0.40409
12,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,1,0.44625,0.31021,0.34833,0.31508,0.44625,0.44625,0.44625
13,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,1,0.50777,0.32408,0.36454,0.34307,0.50777,0.50777,0.50777
14,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,1,0.53979,0.3517,0.33499,0.2393,0.53979,0.53979,0.53979
15,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,1,0.54004,0.35268,0.33529,0.24013,0.54004,0.54004,0.54004
16,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1,0.53986,0.36511,0.3348,0.23812,0.53986,0.53986,0.53986
17,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1,0.53648,0.39321,0.3357,0.24518,0.53648,0.53648,0.53648
18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1,0.5393,0.34647,0.33413,0.23624,0.5393,0.5393,0.5393
19,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1,0.48288,0.30933,0.34824,0.32762,0.48288,0.48288,0.48288
20,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1,0.54195,0.33864,0.34337,0.27224,0.54195,0.54195,0.54195
21,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,1,0.5417,0.33423,0.35617,0.31377,0.5417,0.5417,0.5417
22,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,1,0.38922,0.31474,0.34227,0.25184,0.38922,0.38922,0.38922
