round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.41667,0.33333,0.13889,0.19608,0.41667,0.41667,0.41667
1,1,0.12273,0.1342,0.33302,0.09412,0.12273,0.12273,0.12273
2,0,0.83333,0.5,0.41667,0.45455,0.83333,0.83333,0.83333
2,1,0.49327,0.32458,0.36591,0.34207,0.49327,0.49327,0.49327
3,0,0.83333,0.5,0.41667,0.45455,0.83333,0.83333,0.83333
3,1,0.41257,0.31871,0.34951,0.28134,0.41257,0.41257,0.41257
4,0,0.83333,0.5,0.41667,0.45455,0.83333,0.83333,0.83333
4,1,0.39377,0.3196,0.34545,0.25584,0.39377,0.39377,0.39377
5,0,0.83333,0.5,0.41667,0.45455,0.83333,0.83333,0.83333
5,1,0.53998,0.36428,0.33502,0.23891,0.53998,0.53998,0.53998
6,0,0.83333,0.5,0.41667,0.45455,0.83333,0.83333,0.83333
6,1,0.54035,0.35311,0.3357,0.2414,0.54035,0.54035,0.54035
7,0,0.83333,0.5,0.41667,0.45455,0.83333,0.83333,0.83333
7,1,0.5401,0.3443,0.33609,0.24403,0.5401,0.5401,0.5401
8,0,0.83333,0.5,0.41667,0.45455,0.83333,0.83333,0.83333
8,1,0.54121,0.34093,0.34001,0.2598,0.54121,0.54121,0.54121
9,0,0.83333,0.5,0.41667,0.45455,0.83333,0.83333,0.83333
9,1,0.44957,0.31469,0.35285,0.31753,0.44957,0.44957,0.44957
10,0,0.83333,0.5,0.41667,0.45455,0.83333,0.83333,0.83333
10,1,0.54121,0.3511,0.33753,0.24816,0.54121,0.54121,0.54121
11,0,0.83333,0.5,0.41667,0.45455,0.83333,0.83333,0.83333
11,1,0.54182,0.34121,0.34181,0.26607,0.54182,0.54182,0.54182
12,0,0.83333,0.5,0.41667,0.45455,0.83333,0.83333,0.83333
12,1,0.40415,0.36902,0.34975,0.27654,0.40415,0.40415,0.40415
13,0,0.83333,0.5,0.41667,0.45455,0.83333,0.83333,0.83333
13,1,0.44589,0.31002,0.3481,0.31483,0.44589,0.44589,0.44589
14,0,0.83333,0.5,0.41667,0.45455,0.83333,0.83333,0.83333
14,1,0.5079,0.32417,0.36464,0.34316,0.5079,0.5079,0.5079
15,0,0.83333,0.5,0.41667,0.45455,0.83333,0.83333,0.83333
15,1,0.53979,0.3517,0.33499,0.2393,0.53979,0.53979,0.53979
16,0,0.83333,0.5,0.41667,0.45455,0.83333,0.83333,0.83333
