round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.53768,0.33037,0.33313,0.23511,0.53768,0.53768,0.53768
2,0.53891,0.2706,0.33326,0.23374,0.53891,0.53891,0.53891
3,0.53886,0.22134,0.3332,0.23354,0.53886,0.53886,0.53886
4,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
5,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
6,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
7,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
8,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
9,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
10,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
11,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
12,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
13,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
14,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
15,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
16,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
17,0.53886,0.17967,0.33318,0.23345,0.53886,0.53886,0.53886
18,0.53886,0.17967,0.33318,0.23345,0.53886,0.53886,0.53886
19,0.53886,0.17967,0.33318,0.23345,0.53886,0.53886,0.53886
20,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
21,0.53886,0.17967,0.33318,0.23345,0.53886,0.53886,0.53886
22,0.53886,0.17967,0.33318,0.23345,0.53886,0.53886,0.53886
23,0.53886,0.17967,0.33318,0.23345,0.53886,0.53886,0.53886
24,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
25,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
26,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
27,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
28,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
29,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
30,0.53886,0.17967,0.33318,0.23345,0.53886,0.53886,0.53886
31,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
32,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
33,0.53886,0.17967,0.33318,0.23345,0.53886,0.53886,0.53886
34,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
35,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
36,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
37,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
38,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
39,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
40,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
41,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
42,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
43,0.53891,0.17967,0.33321,0.23346,0.53891,0.53891,0.53891
44,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
45,0.53891,0.17967,0.33321,0.23346,0.53891,0.53891,0.53891
46,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
47,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
48,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
49,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
50,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
