round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.53257,0.34092,0.33247,0.23994,0.53257,0.53257,0.53257
1,1,0.53896,0.23525,0.33326,0.23357,0.53896,0.53896,0.53896
2,0,0.53822,0.34939,0.33347,0.23527,0.53822,0.53822,0.53822
2,1,0.53891,0.2273,0.33323,0.23355,0.53891,0.53891,0.53891
3,0,0.53896,0.3009,0.33331,0.23382,0.53896,0.53896,0.53896
3,1,0.53886,0.17967,0.33318,0.23345,0.53886,0.53886,0.53886
4,0,0.53881,0.17967,0.33315,0.23344,0.53881,0.53881,0.53881
4,1,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
5,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
5,1,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
6,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
6,1,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
7,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
7,1,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
8,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
8,1,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
9,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
9,1,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
10,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
10,1,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
11,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
11,1,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
12,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
12,1,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
13,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
13,1,0.53886,0.17967,0.33318,0.23345,0.53886,0.53886,0.53886
14,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
14,1,0.53881,0.17967,0.33315,0.23344,0.53881,0.53881,0.53881
15,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
15,1,0.53896,0.17968,0.33324,0.23347,0.53896,0.53896,0.53896
16,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
16,1,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
17,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
17,1,0.53867,0.20529,0.33308,0.23349,0.53867,0.53867,0.53867
18,0,0.53886,0.17967,0.33318,0.23345,0.53886,0.53886,0.53886
18,1,0.53886,0.22134,0.3332,0.23354,0.53886,0.53886,0.53886
19,0,0.53886,0.17967,0.33318,0.23345,0.53886,0.53886,0.53886
19,1,0.53881,0.17967,0.33315,0.23344,0.53881,0.53881,0.53881
20,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
20,1,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
21,0,0.53886,0.17967,0.33318,0.23345,0.53886,0.53886,0.53886
21,1,0.53876,0.17966,0.33312,0.23343,0.53876,0.53876,0.53876
22,0,0.53886,0.17967,0.33318,0.23345,0.53886,0.53886,0.53886
22,1,0.53886,0.17967,0.33318,0.23345,0.53886,0.53886,0.53886
23,0,0.53886,0.17967,0.33318,0.23345,0.53886,0.53886,0.53886
23,1,0.53881,0.2167,0.33317,0.23353,0.53881,0.53881,0.53881
24,0,0.53886,0.17967,0.33318,0.23345,0.53886,0.53886,0.53886
24,1,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
25,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
25,1,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
26,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
26,1,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
27,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
27,1,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
28,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
28,1,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
29,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
29,1,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
30,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
30,1,0.53876,0.263,0.33319,0.23377,0.53876,0.53876,0.53876
31,0,0.53886,0.17967,0.33318,0.23345,0.53886,0.53886,0.53886
31,1,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
32,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
32,1,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
33,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
33,1,0.53876,0.17966,0.33312,0.23343,0.53876,0.53876,0.53876
34,0,0.53886,0.17967,0.33318,0.23345,0.53886,0.53886,0.53886
34,1,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
35,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
35,1,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
36,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
36,1,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
37,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
37,1,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
38,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
38,1,0.53881,0.17967,0.33315,0.23344,0.53881,0.53881,0.53881
39,0,0.53886,0.17967,0.33318,0.23345,0.53886,0.53886,0.53886
39,1,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
40,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
40,1,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
41,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
41,1,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
42,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
42,1,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
43,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
43,1,0.53896,0.17968,0.33324,0.23347,0.53896,0.53896,0.53896
44,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
44,1,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
45,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
45,1,0.53896,0.17968,0.33324,0.23347,0.53896,0.53896,0.53896
46,0,0.53891,0.17967,0.33321,0.23346,0.53891,0.53891,0.53891
46,1,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
47,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
47,1,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
48,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
48,1,0.53881,0.17967,0.33315,0.23344,0.53881,0.53881,0.53881
49,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
49,1,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
50,0,0.53886,0.17966,0.33318,0.23345,0.53886,0.53886,0.53886
50,1,0.53881,0.17966,0.33315,0.23343,0.53881,0.53881,0.53881
