round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.54075,0.33942,0.33781,0.25167,0.54075,0.54075,0.54075
1,1,0.53866,0.32495,0.33767,0.25631,0.53866,0.53866,0.53866
2,0,0.54112,0.3423,0.3381,0.25208,0.54112,0.54112,0.54112
2,1,0.54026,0.34029,0.33668,0.24753,0.54026,0.54026,0.54026
3,0,0.54106,0.35611,0.33672,0.24551,0.54106,0.54106,0.54106
3,1,0.50808,0.32034,0.35952,0.33794,0.50808,0.50808,0.50808
4,0,0.54161,0.35005,0.33818,0.25114,0.54161,0.54161,0.54161
4,1,0.54093,0.34609,0.33739,0.24913,0.54093,0.54093,0.54093
5,0,0.53977,0.3585,0.33433,0.237,0.53977,0.53977,0.53977
5,1,0.54253,0.34399,0.34139,0.26349,0.54253,0.54253,0.54253
6,0,0.54093,0.34013,0.33803,0.25223,0.54093,0.54093,0.54093
6,1,0.53977,0.5106,0.33508,0.24047,0.53977,0.53977,0.53977
7,0,0.54069,0.34116,0.33752,0.25045,0.54069,0.54069,0.54069
7,1,0.5405,0.35012,0.33582,0.24257,0.5405,0.5405,0.5405
8,0,0.53866,0.17965,0.33303,0.2334,0.53866,0.53866,0.53866
8,1,0.54406,0.33822,0.35018,0.29373,0.54406,0.54406,0.54406
9,0,0.54075,0.33927,0.33775,0.25138,0.54075,0.54075,0.54075
9,1,0.53283,0.32638,0.35762,0.3253,0.53283,0.53283,0.53283
10,0,0.54093,0.3408,0.33792,0.25173,0.54093,0.54093,0.54093
10,1,0.54112,0.35107,0.33727,0.24807,0.54112,0.54112,0.54112
11,0,0.54149,0.35586,0.33729,0.2472,0.54149,0.54149,0.54149
11,1,0.54044,0.34948,0.33549,0.24112,0.54044,0.54044,0.54044
12,0,0.54087,0.34297,0.33784,0.25148,0.54087,0.54087,0.54087
12,1,0.53989,0.35391,0.33478,0.23896,0.53989,0.53989,0.53989
13,0,0.54161,0.36027,0.33727,0.24671,0.54161,0.54161,0.54161
13,1,0.50482,0.32434,0.36522,0.34354,0.50482,0.50482,0.50482
14,0,0.5413,0.35282,0.3372,0.24724,0.5413,0.5413,0.5413
14,1,0.51047,0.32465,0.36498,0.34346,0.51047,0.51047,0.51047
15,0,0.54185,0.37018,0.33705,0.24495,0.54185,0.54185,0.54185
15,1,0.5394,0.34116,0.3341,0.23689,0.5394,0.5394,0.5394
16,0,0.5402,0.33529,0.33718,0.25012,0.5402,0.5402,0.5402
16,1,0.5405,0.347,0.33617,0.24433,0.5405,0.5405,0.5405
17,0,0.54093,0.34005,0.33799,0.25203,0.54093,0.54093,0.54093
17,1,0.39329,0.3187,0.3445,0.25645,0.39329,0.39329,0.39329
18,0,0.54136,0.35351,0.33726,0.24736,0.54136,0.54136,0.54136
18,1,0.45483,0.31814,0.35637,0.32122,0.45483,0.45483,0.45483
19,0,0.54099,0.35201,0.33664,0.24532,0.54099,0.54099,0.54099
19,1,0.45612,0.36141,0.35229,0.34424,0.45612,0.45612,0.45612
20,0,0.54142,0.35419,0.33732,0.24748,0.54142,0.54142,0.54142
20,1,0.54173,0.33572,0.34244,0.26975,0.54173,0.54173,0.54173
21,0,0.54075,0.33949,0.33804,0.25273,0.54075,0.54075,0.54075
21,1,0.45231,0.37801,0.36008,0.32121,0.45231,0.45231,0.45231
22,0,0.5402,0.41143,0.33449,0.23656,0.5402,0.5402,0.5402
22,1,0.5066,0.32011,0.35955,0.33812,0.5066,0.5066,0.5066
23,0,0.54149,0.36746,0.33686,0.24501,0.54149,0.54149,0.54149
23,1,0.42007,0.32204,0.35288,0.28887,0.42007,0.42007,0.42007
24,0,0.5405,0.33894,0.33731,0.24991,0.5405,0.5405,0.5405
24,1,0.54247,0.35361,0.33929,0.25415,0.54247,0.54247,0.54247
25,0,0.54075,0.34066,0.33754,0.25039,0.54075,0.54075,0.54075
25,1,0.53878,0.32339,0.3367,0.25154,0.53878,0.53878,0.53878
26,0,0.54038,0.33633,0.33731,0.25029,0.54038,0.54038,0.54038
26,1,0.54007,0.3626,0.33485,0.23884,0.54007,0.54007,0.54007
27,0,0.54063,0.33819,0.33761,0.25105,0.54063,0.54063,0.54063
27,1,0.53025,0.39295,0.34094,0.26811,0.53025,0.53025,0.53025
28,0,0.54081,0.34221,0.33762,0.25059,0.54081,0.54081,0.54081
28,1,0.53995,0.35676,0.33455,0.23761,0.53995,0.53995,0.53995
29,0,0.54087,0.34029,0.33786,0.25162,0.54087,0.54087,0.54087
29,1,0.52558,0.36542,0.3411,0.28446,0.52558,0.52558,0.52558
30,0,0.54136,0.35356,0.33724,0.24726,0.54136,0.54136,0.54136
30,1,0.37929,0.31473,0.34036,0.23548,0.37929,0.37929,0.37929
31,0,0.54099,0.36157,0.33627,0.24342,0.54099,0.54099,0.54099
31,1,0.54413,0.33725,0.35202,0.29946,0.54413,0.54413,0.54413
32,0,0.54149,0.34958,0.33796,0.25041,0.54149,0.54149,0.54149
32,1,0.54038,0.35448,0.33527,0.24012,0.54038,0.54038,0.54038
33,0,0.54087,0.34081,0.33791,0.2518,0.54087,0.54087,0.54087
33,1,0.44556,0.32315,0.35877,0.31377,0.44556,0.44556,0.44556
34,0,0.54081,0.33953,0.33789,0.25189,0.54081,0.54081,0.54081
34,1,0.53485,0.31778,0.33949,0.27221,0.53485,0.53485,0.53485
35,0,0.5413,0.35364,0.33716,0.24704,0.5413,0.5413,0.5413
35,1,0.5289,0.32361,0.35416,0.32123,0.5289,0.5289,0.5289
36,0,0.54124,0.36298,0.3364,0.24342,0.54124,0.54124,0.54124
36,1,0.5405,0.3903,0.33888,0.25496,0.5405,0.5405,0.5405
37,0,0.54136,0.35827,0.33701,0.24612,0.54136,0.54136,0.54136
37,1,0.5405,0.34699,0.33607,0.24383,0.5405,0.5405,0.5405
