round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.3772,0.3597,0.35903,0.32079,0.3772,0.3772,0.3772
1,1,0.12264,0.13397,0.33302,0.09407,0.12264,0.12264,0.12264
2,0,0.51962,0.36661,0.3408,0.28902,0.51962,0.51962,0.51962
2,1,0.1348,0.36236,0.33742,0.11385,0.1348,0.1348,0.1348
3,0,0.53983,0.35315,0.33458,0.23811,0.53983,0.53983,0.53983
3,1,0.19794,0.3334,0.34682,0.18797,0.19794,0.19794,0.19794
4,0,0.53989,0.36296,0.33437,0.23683,0.53989,0.53989,0.53989
4,1,0.4945,0.34544,0.34102,0.3203,0.4945,0.4945,0.4945
5,0,0.54124,0.3634,0.33636,0.24321,0.54124,0.54124,0.54124
5,1,0.54155,0.33713,0.34156,0.26649,0.54155,0.54155,0.54155
6,0,0.54118,0.36528,0.33626,0.24287,0.54118,0.54118,0.54118
6,1,0.54185,0.34235,0.33981,0.25816,0.54185,0.54185,0.54185
7,0,0.54106,0.34479,0.33781,0.25086,0.54106,0.54106,0.54106
7,1,0.54075,0.34977,0.33624,0.24401,0.54075,0.54075,0.54075
8,0,0.54106,0.34437,0.3379,0.25125,0.54106,0.54106,0.54106
8,1,0.54026,0.34377,0.33563,0.24231,0.54026,0.54026,0.54026
9,0,0.54106,0.35106,0.33676,0.24575,0.54106,0.54106,0.54106
9,1,0.54198,0.34949,0.33875,0.25294,0.54198,0.54198,0.54198
10,0,0.54136,0.34909,0.33767,0.24938,0.54136,0.54136,0.54136
10,1,0.54327,0.34174,0.34432,0.27404,0.54327,0.54327,0.54327
11,0,0.54075,0.33918,0.33771,0.25119,0.54075,0.54075,0.54075
11,1,0.54216,0.34972,0.33951,0.25595,0.54216,0.54216,0.54216
12,0,0.54142,0.35249,0.33746,0.24819,0.54142,0.54142,0.54142
12,1,0.54056,0.3455,0.33639,0.24529,0.54056,0.54056,0.54056
13,0,0.54087,0.34362,0.3376,0.25031,0.54087,0.54087,0.54087
13,1,0.54038,0.35408,0.33533,0.24043,0.54038,0.54038,0.54038
14,0,0.54136,0.34912,0.33761,0.24909,0.54136,0.54136,0.54136
14,1,0.54228,0.34333,0.34117,0.26313,0.54228,0.54228,0.54228
15,0,0.5413,0.35257,0.33733,0.24784,0.5413,0.5413,0.5413
15,1,0.53522,0.32598,0.35429,0.3161,0.53522,0.53522,0.53522
16,0,0.5413,0.35282,0.3372,0.24724,0.5413,0.5413,0.5413
16,1,0.54001,0.34061,0.33545,0.24212,0.54001,0.54001,0.54001
17,0,0.54093,0.3466,0.3372,0.24824,0.54093,0.54093,0.54093
17,1,0.54007,0.33965,0.33549,0.24216,0.54007,0.54007,0.54007
18,0,0.5405,0.33759,0.33749,0.25081,0.5405,0.5405,0.5405
18,1,0.47626,0.31756,0.35766,0.33252,0.47626,0.47626,0.47626
19,0,0.54118,0.34676,0.33764,0.24972,0.54118,0.54118,0.54118
19,1,0.47006,0.31964,0.35942,0.33055,0.47006,0.47006,0.47006
20,0,0.54136,0.35102,0.33753,0.24867,0.54136,0.54136,0.54136
20,1,0.48093,0.31593,0.35601,0.33306,0.48093,0.48093,0.48093
21,0,0.54142,0.35324,0.33742,0.24799,0.54142,0.54142,0.54142
