round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.63327,0.66035,0.50099,0.39027,0.63327,0.63327,0.63327
1,1,0.63255,0.44134,0.49991,0.38769,0.63255,0.63255,0.63255
1,2,0.42643,0.50968,0.50665,0.40983,0.42643,0.42643,0.42643
1,3,0.63264,0.31635,0.49993,0.3875,0.63264,0.63264,0.63264
1,4,0.63318,0.64011,0.50092,0.39024,0.63318,0.63318,0.63318
1,5,0.63291,0.62896,0.5004,0.38875,0.63291,0.63291,0.63291
1,6,0.46027,0.51243,0.51145,0.45851,0.46027,0.46027,0.46027
1,7,0.63255,0.44134,0.49991,0.38769,0.63255,0.63255,0.63255
1,8,0.63264,0.51637,0.50003,0.38796,0.63264,0.63264,0.63264
1,9,0.44403,0.51392,0.51122,0.43625,0.44403,0.44403,0.44403
2,0,0.59027,0.5051,0.50311,0.47915,0.59027,0.59027,0.59027
2,1,0.63857,0.63125,0.51302,0.42536,0.63857,0.63857,0.63857
2,2,0.58443,0.51892,0.51455,0.50535,0.58443,0.58443,0.58443
2,3,0.61693,0.5058,0.50151,0.43456,0.61693,0.61693,0.61693
2,4,0.63408,0.66309,0.50245,0.39424,0.63408,0.63408,0.63408
2,5,0.63569,0.65275,0.50567,0.40336,0.63569,0.63569,0.63569
2,6,0.63399,0.6235,0.50294,0.39668,0.63399,0.63399,0.63399
2,7,0.47275,0.50897,0.50895,0.47275,0.47275,0.47275,0.47275
2,8,0.47976,0.517,0.51695,0.47975,0.47976,0.47976,0.47976
2,9,0.63507,0.60712,0.50677,0.40977,0.63507,0.63507,0.63507
3,0,0.42966,0.50879,0.50633,0.41573,0.42966,0.42966,0.42966
3,1,0.52249,0.52346,0.52523,0.5144,0.52249,0.52249,0.52249
3,2,0.61199,0.53804,0.5211,0.49537,0.61199,0.61199,0.61199
3,3,0.45552,0.51191,0.51066,0.45267,0.45552,0.45552,0.45552
3,4,0.63381,0.65507,0.50203,0.39323,0.63381,0.63381,0.63381
3,5,0.43783,0.51268,0.50971,0.42732,0.43783,0.43783,0.43783
3,6,0.57564,0.511,0.50877,0.50092,0.57564,0.57564,0.57564
3,7,0.52446,0.52191,0.52356,0.51462,0.52446,0.52446,0.52446
3,8,0.6093,0.53476,0.51989,0.49558,0.6093,0.6093,0.6093
3,9,0.45632,0.50881,0.50807,0.45436,0.45632,0.45632,0.45632
4,0,0.57366,0.51738,0.5149,0.51098,0.57366,0.57366,0.57366
4,1,0.53595,0.52285,0.52434,0.51988,0.53595,0.53595,0.53595
4,2,0.53281,0.52568,0.52754,0.52056,0.53281,0.53281,0.53281
4,3,0.53784,0.51522,0.51588,0.51441,0.53784,0.53784,0.53784
4,4,0.6374,0.64505,0.50938,0.41396,0.6374,0.6374,0.6374
4,5,0.63435,0.63972,0.50333,0.39727,0.63435,0.63435,0.63435
4,6,0.63363,0.6501,0.50173,0.39247,0.63363,0.63363,0.63363
4,7,0.46925,0.50944,0.50926,0.46912,0.46925,0.46925,0.46925
4,8,0.47742,0.51254,0.51259,0.47741,0.47742,0.47742,0.47742
4,9,0.45273,0.51567,0.51344,0.44802,0.45273,0.45273,0.45273
5,0,0.63273,0.56643,0.50026,0.38869,0.63273,0.63273,0.63273
5,1,0.63578,0.64507,0.5061,0.40492,0.63578,0.63578,0.63578
5,2,0.55193,0.51617,0.51604,0.51608,0.55193,0.55193,0.55193
5,3,0.55562,0.52235,0.52239,0.52236,0.55562,0.55562,0.55562
5,4,0.53138,0.50899,0.50939,0.50798,0.53138,0.53138,0.53138
5,5,0.63327,0.64162,0.50109,0.39073,0.63327,0.63327,0.63327
5,6,0.57204,0.51721,0.51496,0.51162,0.57204,0.57204,0.57204
5,7,0.43119,0.50799,0.5059,0.4186,0.43119,0.43119,0.43119
5,8,0.58452,0.52956,0.52503,0.52127,0.58452,0.58452,0.58452
5,9,0.47652,0.51153,0.51157,0.47652,0.47652,0.47652,0.47652
6,0,0.55975,0.50795,0.50719,0.50498,0.55975,0.55975,0.55975
6,1,0.52105,0.51551,0.51666,0.50946,0.52105,0.52105,0.52105
6,2,0.4943,0.51777,0.51854,0.49321,0.4943,0.4943,0.4943
6,3,0.42652,0.51076,0.50734,0.4095,0.42652,0.42652,0.42652
6,4,0.63399,0.63182,0.50274,0.39578,0.63399,0.63399,0.63399
6,5,0.47123,0.51117,0.51098,0.47112,0.47123,0.47123,0.47123
6,6,0.44995,0.51572,0.51319,0.44417,0.44995,0.44995,0.44995
6,7,0.46844,0.51285,0.51237,0.46798,0.46844,0.46844,0.46844
6,8,0.53856,0.52129,0.5225,0.51949,0.53856,0.53856,0.53856
6,9,0.42329,0.51345,0.50858,0.40256,0.42329,0.42329,0.42329
7,0,0.40722,0.50687,0.50352,0.37438,0.40722,0.40722,0.40722
7,1,0.51836,0.52182,0.52346,0.51135,0.51836,0.51836,0.51836
7,2,0.63354,0.63933,0.50166,0.39244,0.63354,0.63354,0.63354
7,3,0.47805,0.51159,0.5117,0.47801,0.47805,0.47805,0.47805
7,4,0.51396,0.51985,0.52131,0.50793,0.51396,0.51396,0.51396
7,5,0.63237,0.56243,0.50469,0.4088,0.63237,0.63237,0.63237
7,6,0.46835,0.51249,0.51204,0.46792,0.46835,0.46835,0.46835
7,7,0.51001,0.52279,0.52429,0.50641,0.51001,0.51001,0.51001
7,8,0.45695,0.51302,0.5117,0.45425,0.45695,0.45695,0.45695
7,9,0.63587,0.64527,0.50628,0.4054,0.63587,0.63587,0.63587
8,0,0.6348,0.59006,0.50907,0.41977,0.6348,0.6348,0.6348
8,1,0.63534,0.62866,0.50585,0.40517,0.63534,0.63534,0.63534
8,2,0.59808,0.52079,0.51297,0.49211,0.59808,0.59808,0.59808
8,3,0.47212,0.51155,0.51138,0.47205,0.47212,0.47212,0.47212
8,4,0.63722,0.64381,0.50909,0.41325,0.63722,0.63722,0.63722
8,5,0.46476,0.5091,0.50874,0.46426,0.46476,0.46476,0.46476
8,6,0.63354,0.59355,0.50305,0.3985,0.63354,0.63354,0.63354
8,7,0.48936,0.51444,0.515,0.48854,0.48936,0.48936,0.48936
8,8,0.45794,0.51695,0.51499,0.45461,0.45794,0.45794,0.45794
8,9,0.51145,0.51641,0.51763,0.505,0.51145,0.51145,0.51145
9,0,0.63435,0.65043,0.50312,0.39638,0.63435,0.63435,0.63435
9,1,0.53093,0.5211,0.52257,0.51693,0.53093,0.53093,0.53093
9,2,0.63435,0.63535,0.50343,0.39772,0.63435,0.63435,0.63435
9,3,0.63489,0.66727,0.50386,0.39794,0.63489,0.63489,0.63489
9,4,0.43119,0.5101,0.50734,0.4177,0.43119,0.43119,0.43119
9,5,0.56567,0.52081,0.51951,0.5189,0.56567,0.56567,0.56567
9,6,0.59144,0.51008,0.50634,0.48478,0.59144,0.59144,0.59144
9,7,0.63381,0.60286,0.50331,0.39884,0.63381,0.63381,0.63381
9,8,0.45713,0.52372,0.52004,0.45177,0.45713,0.45713,0.45713
9,9,0.53138,0.50817,0.50851,0.50729,0.53138,0.53138,0.53138
10,0,0.41216,0.51531,0.50799,0.38047,0.41216,0.41216,0.41216
10,1,0.54861,0.52463,0.52557,0.52424,0.54861,0.54861,0.54861
10,2,0.63498,0.64652,0.50444,0.4002,0.63498,0.63498,0.63498
10,3,0.46512,0.51233,0.51169,0.46428,0.46512,0.46512,0.46512
10,4,0.55894,0.51616,0.51542,0.51508,0.55894,0.55894,0.55894
10,5,0.54242,0.52015,0.52103,0.5194,0.54242,0.54242,0.54242
10,6,0.48299,0.51305,0.51335,0.48274,0.48299,0.48299,0.48299
10,7,0.63381,0.62942,0.50239,0.39481,0.63381,0.63381,0.63381
10,8,0.63489,0.61683,0.50545,0.40476,0.63489,0.63489,0.63489
10,9,0.49376,0.51599,0.51673,0.49246,0.49376,0.49376,0.49376
11,0,0.4671,0.51463,0.51387,0.46625,0.4671,0.4671,0.4671
11,1,0.49834,0.51837,0.51933,0.4966,0.49834,0.49834,0.49834
11,2,0.4214,0.51444,0.50888,0.39866,0.4214,0.4214,0.4214
11,3,0.57716,0.51884,0.51577,0.51086,0.57716,0.57716,0.57716
11,4,0.63498,0.66062,0.50413,0.39887,0.63498,0.63498,0.63498
11,5,0.63489,0.65555,0.50406,0.39883,0.63489,0.63489,0.63489
11,6,0.63668,0.61784,0.50999,0.41841,0.63668,0.63668,0.63668
11,7,0.44618,0.51391,0.51144,0.43939,0.44618,0.44618,0.44618
11,8,0.46467,0.51459,0.51364,0.46343,0.46467,0.46467,0.46467
11,9,0.63345,0.59637,0.50252,0.39647,0.63345,0.63345,0.63345
12,0,0.63587,0.60067,0.51043,0.42228,0.63587,0.63587,0.63587
12,1,0.63507,0.65294,0.50446,0.40001,0.63507,0.63507,0.63507
12,2,0.64054,0.60748,0.52427,0.46099,0.64054,0.64054,0.64054
12,3,0.47141,0.50644,0.50645,0.4714,0.47141,0.47141,0.47141
12,4,0.48667,0.51532,0.51574,0.48628,0.48667,0.48667,0.48667
12,5,0.63498,0.66975,0.50398,0.3982,0.63498,0.63498,0.63498
12,6,0.60418,0.5187,0.5098,0.47852,0.60418,0.60418,0.60418
12,7,0.63534,0.61145,0.50708,0.41031,0.63534,0.63534,0.63534
12,8,0.47661,0.51567,0.51549,0.47657,0.47661,0.47661,0.47661
12,9,0.46072,0.5171,0.51539,0.45813,0.46072,0.46072,0.46072
13,0,0.63587,0.62757,0.50715,0.40906,0.63587,0.63587,0.63587
13,1,0.63426,0.65378,0.5029,0.39567,0.63426,0.63426,0.63426
13,2,0.6365,0.62318,0.50898,0.41481,0.6365,0.6365,0.6365
13,3,0.60068,0.52519,0.5157,0.49524,0.60068,0.60068,0.60068
13,4,0.57474,0.51821,0.51555,0.51149,0.57474,0.57474,0.57474
13,5,0.60356,0.52429,0.51397,0.48872,0.60356,0.60356,0.60356
13,6,0.42329,0.51002,0.50658,0.40414,0.42329,0.42329,0.42329
13,7,0.63363,0.59994,0.50291,0.39765,0.63363,0.63363,0.63363
13,8,0.55831,0.52264,0.52241,0.52248,0.55831,0.55831,0.55831
13,9,0.63462,0.67009,0.50334,0.39648,0.63462,0.63462,0.63462
14,0,0.59404,0.518,0.51178,0.49339,0.59404,0.59404,0.59404
14,1,0.46988,0.51186,0.51155,0.46964,0.46988,0.46988,0.46988
14,2,0.41251,0.51617,0.50842,0.3808,0.41251,0.41251,0.41251
14,3,0.6348,0.62798,0.50466,0.40167,0.6348,0.6348,0.6348
14,4,0.5092,0.51685,0.51807,0.50382,0.5092,0.5092,0.5092
14,5,0.59188,0.51606,0.51069,0.49312,0.59188,0.59188,0.59188
