round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.63372,0.65551,0.50186,0.39274,0.63372,0.63372,0.63372
2,0.54053,0.51541,0.51595,0.51497,0.54053,0.54053,0.54053
3,0.53739,0.51802,0.51896,0.51664,0.53739,0.53739,0.53739
4,0.54161,0.51878,0.51958,0.51809,0.54161,0.54161,0.54161
5,0.55238,0.52137,0.52163,0.52143,0.55238,0.55238,0.55238
6,0.52563,0.52182,0.52346,0.51513,0.52563,0.52563,0.52563
7,0.53389,0.52209,0.52358,0.51867,0.53389,0.53389,0.53389
8,0.53802,0.52199,0.5233,0.51988,0.53802,0.53802,0.53802
9,0.56396,0.52712,0.52663,0.52674,0.56396,0.56396,0.56396
10,0.54664,0.52489,0.52601,0.52416,0.54664,0.54664,0.54664
11,0.60302,0.53927,0.52805,0.51672,0.60302,0.60302,0.60302
12,0.58102,0.53568,0.53282,0.53222,0.58102,0.58102,0.58102
13,0.58686,0.54027,0.53641,0.53553,0.58686,0.58686,0.58686
14,0.56899,0.53778,0.53803,0.53789,0.56899,0.56899,0.56899
15,0.54368,0.53456,0.537,0.53047,0.54368,0.54368,0.54368
16,0.53479,0.53583,0.53854,0.52694,0.53479,0.53479,0.53479
17,0.57411,0.54683,0.54787,0.54708,0.57411,0.57411,0.57411
18,0.63004,0.58234,0.56269,0.55827,0.63004,0.63004,0.63004
19,0.61558,0.57495,0.56813,0.56875,0.61558,0.61558,0.61558
20,0.65392,0.62348,0.55946,0.53585,0.65392,0.65392,0.65392
