round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,tp,fp,tn,fn,group_0_tp,group_0_fp,group_0_tn,group_0_fn,group_0_positive_rate,group_0_true_positive_rate,group_1_tp,group_1_fp,group_1_tn,group_1_fn,group_1_positive_rate,group_1_true_positive_rate,statistical_parity_difference,equal_opportunity_difference
1,0,0.61211,0.30605,0.5,0.37969,0.61211,0.61211,0.61211,0.0,0.0,546.0,346.0,0.0,0.0,292.0,13.0,0.0,0.0,0.0,0.0,254.0,333.0,0.0,0.0,0.0,0.0
1,1,0.6532,0.82621,0.50322,0.40122,0.6532,0.6532,0.6532,2.0,0.0,580.0,309.0,0.0,0.0,341.0,13.0,0.0,0.0,2.0,0.0,239.0,296.0,0.00372,0.00671,0.00372,0.00671
1,2,0.4624,0.52263,0.52044,0.46011,0.4624,0.4624,0.4624,235.0,392.0,177.0,87.0,7.0,219.0,99.0,2.0,0.69113,0.77778,228.0,173.0,78.0,85.0,0.71099,0.72843,0.01986,-0.04934
1,3,0.63412,0.31706,0.5,0.38805,0.63412,0.63412,0.63412,0.0,0.0,565.0,326.0,0.0,0.0,321.0,14.0,0.0,0.0,0.0,0.0,244.0,312.0,0.0,0.0,0.0,0.0
1,4,0.63861,0.31966,0.49912,0.38973,0.63861,0.63861,0.63861,0.0,1.0,569.0,321.0,0.0,0.0,328.0,10.0,0.0,0.0,0.0,1.0,241.0,311.0,0.00181,0.0,0.00181,0.0
1,5,0.63636,0.31854,0.49912,0.38889,0.63636,0.63636,0.63636,0.0,1.0,567.0,323.0,0.0,1.0,308.0,17.0,0.00307,0.0,0.0,0.0,259.0,306.0,0.0,0.0,-0.00307,0.0
1,6,0.48373,0.50936,0.50986,0.48229,0.48373,0.48373,0.48373,192.0,333.0,239.0,127.0,7.0,156.0,118.0,6.0,0.56794,0.53846,185.0,177.0,121.0,121.0,0.59934,0.60458,0.03139,0.06611
1,7,0.63075,0.56552,0.50063,0.38965,0.63075,0.63075,0.63075,1.0,1.0,561.0,328.0,0.0,0.0,309.0,15.0,0.0,0.0,1.0,1.0,252.0,313.0,0.00353,0.00318,0.00353,0.00318
1,8,0.61728,0.80821,0.50292,0.38715,0.61728,0.61728,0.61728,2.0,0.0,548.0,341.0,0.0,0.0,300.0,17.0,0.0,0.0,2.0,0.0,248.0,324.0,0.00348,0.00613,0.00348,0.00613
1,9,0.56004,0.53796,0.53916,0.53791,0.56004,0.56004,0.56004,152.0,211.0,347.0,181.0,6.0,111.0,195.0,4.0,0.37025,0.6,146.0,100.0,152.0,177.0,0.42783,0.45201,0.05757,-0.14799
