round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.71429,0.35714,0.5,0.41667,0.71429,0.71429,0.71429
1,1,0.71429,0.35714,0.5,0.41667,0.71429,0.71429,0.71429
1,2,0.55844,0.55567,0.56818,0.53582,0.55844,0.55844,0.55844
1,3,0.71429,0.61301,0.52727,0.49099,0.71429,0.71429,0.71429
1,4,0.5974,0.5,0.5,0.4999,0.5974,0.5974,0.5974
1,5,0.71429,0.35714,0.5,0.41667,0.71429,0.71429,0.71429
1,6,0.7013,0.35526,0.49091,0.41221,0.7013,0.7013,0.7013
1,7,0.7013,0.59848,0.55909,0.55647,0.7013,0.7013,0.7013
1,8,0.71429,0.35714,0.5,0.41667,0.71429,0.71429,0.71429
1,9,0.71429,0.35714,0.5,0.41667,0.71429,0.71429,0.71429
2,0,0.71429,0.35714,0.5,0.41667,0.71429,0.71429,0.71429
2,1,0.71429,0.35714,0.5,0.41667,0.71429,0.71429,0.71429
2,2,0.5974,0.53667,0.54091,0.53605,0.5974,0.5974,0.5974
2,3,0.71429,0.35714,0.5,0.41667,0.71429,0.71429,0.71429
2,4,0.28571,0.14286,0.5,0.22222,0.28571,0.28571,0.28571
2,5,0.71429,0.35714,0.5,0.41667,0.71429,0.71429,0.71429
2,6,0.5974,0.57857,0.59545,0.56828,0.5974,0.5974,0.5974
2,7,0.66234,0.56733,0.55909,0.56096,0.66234,0.66234,0.66234
2,8,0.71429,0.35714,0.5,0.41667,0.71429,0.71429,0.71429
2,9,0.71429,0.35714,0.5,0.41667,0.71429,0.71429,0.71429
3,0,0.71429,0.35714,0.5,0.41667,0.71429,0.71429,0.71429
3,1,0.71429,0.35714,0.5,0.41667,0.71429,0.71429,0.71429
3,2,0.64935,0.51322,0.50909,0.50084,0.64935,0.64935,0.64935
3,3,0.71429,0.35714,0.5,0.41667,0.71429,0.71429,0.71429
3,4,0.28571,0.14286,0.5,0.22222,0.28571,0.28571,0.28571
3,5,0.71429,0.35714,0.5,0.41667,0.71429,0.71429,0.71429
3,6,0.71429,0.35714,0.5,0.41667,0.71429,0.71429,0.71429
3,7,0.63636,0.59362,0.60909,0.59351,0.63636,0.63636,0.63636
3,8,0.71429,0.35714,0.5,0.41667,0.71429,0.71429,0.71429
3,9,0.71429,0.35714,0.5,0.41667,0.71429,0.71429,0.71429
4,0,0.71429,0.35714,0.5,0.41667,0.71429,0.71429,0.71429
4,1,0.71429,0.35714,0.5,0.41667,0.71429,0.71429,0.71429
4,2,0.27273,0.34722,0.42273,0.25139,0.27273,0.27273,0.27273
