round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.57143,0.28571,0.5,0.36364,0.57143,0.57143,0.57143
1,1,0.57143,0.28571,0.5,0.36364,0.57143,0.57143,0.57143
1,2,0.5,0.5,0.5,0.48571,0.5,0.5,0.5
1,3,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
1,4,0.66667,0.625,0.625,0.625,0.66667,0.66667,0.66667
1,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,6,0.83333,0.41667,0.5,0.45455,0.83333,0.83333,0.83333
1,7,0.66667,0.4,0.4,0.4,0.66667,0.66667,0.66667
1,8,0.5,0.25,0.5,0.33333,0.5,0.5,0.5
1,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0,0.57143,0.28571,0.5,0.36364,0.57143,0.57143,0.57143
2,1,0.57143,0.28571,0.5,0.36364,0.57143,0.57143,0.57143
2,2,0.5,0.5,0.5,0.48571,0.5,0.5,0.5
2,3,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
2,4,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
2,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,6,0.5,0.375,0.3,0.33333,0.5,0.5,0.5
2,7,0.5,0.375,0.3,0.33333,0.5,0.5,0.5
2,8,0.5,0.25,0.5,0.33333,0.5,0.5,0.5
2,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0,0.57143,0.28571,0.5,0.36364,0.57143,0.57143,0.57143
3,1,0.57143,0.28571,0.5,0.36364,0.57143,0.57143,0.57143
3,2,0.83333,0.9,0.75,0.77778,0.83333,0.83333,0.83333
3,3,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
3,4,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
3,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,6,0.83333,0.41667,0.5,0.45455,0.83333,0.83333,0.83333
3,7,0.33333,0.33333,0.2,0.25,0.33333,0.33333,0.33333
3,8,0.5,0.25,0.5,0.33333,0.5,0.5,0.5
3,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0,0.57143,0.28571,0.5,0.36364,0.57143,0.57143,0.57143
4,1,0.57143,0.28571,0.5,0.36364,0.57143,0.57143,0.57143
4,2,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
4,3,0.16667,0.16667,0.125,0.14286,0.16667,0.16667,0.16667
4,4,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
4,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,6,0.83333,0.41667,0.5,0.45455,0.83333,0.83333,0.83333
4,7,0.16667,0.08333,0.5,0.14286,0.16667,0.16667,0.16667
4,8,0.5,0.5,0.5,0.48571,0.5,0.5,0.5
4,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0,0.57143,0.28571,0.5,0.36364,0.57143,0.57143,0.57143
5,1,0.57143,0.28571,0.5,0.36364,0.57143,0.57143,0.57143
5,2,0.33333,0.375,0.375,0.33333,0.33333,0.33333,0.33333
5,3,0.5,0.3,0.375,0.33333,0.5,0.5,0.5
5,4,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,0.66667,0.4,0.4,0.4,0.66667,0.66667,0.66667
5,7,0.83333,0.41667,0.5,0.45455,0.83333,0.83333,0.83333
5,8,0.5,0.25,0.5,0.33333,0.5,0.5,0.5
5,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0,0.57143,0.28571,0.5,0.36364,0.57143,0.57143,0.57143
6,1,0.57143,0.28571,0.5,0.36364,0.57143,0.57143,0.57143
6,2,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
6,3,0.5,0.3,0.375,0.33333,0.5,0.5,0.5
6,4,0.16667,0.1,0.25,0.14286,0.16667,0.16667,0.16667
6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,0.83333,0.41667,0.5,0.45455,0.83333,0.83333,0.83333
6,7,0.83333,0.41667,0.5,0.45455,0.83333,0.83333,0.83333
6,8,0.5,0.25,0.5,0.33333,0.5,0.5,0.5
6,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0,0.85714,0.875,0.875,0.85714,0.85714,0.85714,0.85714
7,1,0.57143,0.28571,0.5,0.36364,0.57143,0.57143,0.57143
7,2,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
7,3,0.5,0.3,0.375,0.33333,0.5,0.5,0.5
7,4,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
7,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,6,0.66667,0.4,0.4,0.4,0.66667,0.66667,0.66667
7,7,0.83333,0.41667,0.5,0.45455,0.83333,0.83333,0.83333
7,8,0.5,0.25,0.5,0.33333,0.5,0.5,0.5
7,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0,0.57143,0.55,0.54167,0.53333,0.57143,0.57143,0.57143
8,1,0.57143,0.28571,0.5,0.36364,0.57143,0.57143,0.57143
8,2,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
8,3,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
8,4,0.5,0.3,0.375,0.33333,0.5,0.5,0.5
8,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,6,0.16667,0.08333,0.5,0.14286,0.16667,0.16667,0.16667
8,7,0.16667,0.08333,0.5,0.14286,0.16667,0.16667,0.16667
8,8,0.33333,0.2,0.33333,0.25,0.33333,0.33333,0.33333
8,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,0.57143,0.55,0.54167,0.53333,0.57143,0.57143,0.57143
9,1,0.57143,0.28571,0.5,0.36364,0.57143,0.57143,0.57143
9,2,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
9,3,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
9,4,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
9,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,6,0.83333,0.41667,0.5,0.45455,0.83333,0.83333,0.83333
9,7,0.16667,0.08333,0.5,0.14286,0.16667,0.16667,0.16667
9,8,0.66667,0.8,0.66667,0.625,0.66667,0.66667,0.66667
9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,0.57143,0.28571,0.5,0.36364,0.57143,0.57143,0.57143
10,1,0.42857,0.25,0.375,0.3,0.42857,0.42857,0.42857
10,2,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
10,3,0.5,0.3,0.375,0.33333,0.5,0.5,0.5
10,4,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
10,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,6,0.83333,0.41667,0.5,0.45455,0.83333,0.83333,0.83333
10,7,0.16667,0.08333,0.5,0.14286,0.16667,0.16667,0.16667
10,8,0.5,0.25,0.5,0.33333,0.5,0.5,0.5
10,9,0.33333,0.5,0.16667,0.25,0.33333,0.33333,0.33333
11,0,0.57143,0.28571,0.5,0.36364,0.57143,0.57143,0.57143
11,1,0.57143,0.28571,0.5,0.36364,0.57143,0.57143,0.57143
11,2,0.5,0.5,0.5,0.48571,0.5,0.5,0.5
11,3,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
11,4,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
11,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,6,0.16667,0.08333,0.5,0.14286,0.16667,0.16667,0.16667
11,7,0.66667,0.4,0.4,0.4,0.66667,0.66667,0.66667
11,8,0.5,0.25,0.5,0.33333,0.5,0.5,0.5
11,9,0.5,0.5,0.25,0.33333,0.5,0.5,0.5
12,0,0.57143,0.28571,0.5,0.36364,0.57143,0.57143,0.57143
12,1,0.57143,0.28571,0.5,0.36364,0.57143,0.57143,0.57143
12,2,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
12,3,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
12,4,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
12,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,6,0.33333,0.33333,0.2,0.25,0.33333,0.33333,0.33333
12,7,0.66667,0.4,0.4,0.4,0.66667,0.66667,0.66667
12,8,0.66667,0.8,0.66667,0.625,0.66667,0.66667,0.66667
12,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,0,0.57143,0.28571,0.5,0.36364,0.57143,0.57143,0.57143
13,1,0.57143,0.28571,0.5,0.36364,0.57143,0.57143,0.57143
13,2,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
13,3,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
13,4,0.83333,0.9,0.75,0.77778,0.83333,0.83333,0.83333
13,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,6,0.83333,0.41667,0.5,0.45455,0.83333,0.83333,0.83333
13,7,0.83333,0.41667,0.5,0.45455,0.83333,0.83333,0.83333
13,8,0.66667,0.8,0.66667,0.625,0.66667,0.66667,0.66667
13,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,0,0.57143,0.28571,0.5,0.36364,0.57143,0.57143,0.57143
14,1,0.57143,0.28571,0.5,0.36364,0.57143,0.57143,0.57143
14,2,0.83333,0.83333,0.875,0.82857,0.83333,0.83333,0.83333
14,3,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
14,4,0.83333,0.83333,0.875,0.82857,0.83333,0.83333,0.83333
14,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,6,0.83333,0.41667,0.5,0.45455,0.83333,0.83333,0.83333
14,7,0.83333,0.41667,0.5,0.45455,0.83333,0.83333,0.83333
14,8,0.5,0.5,0.5,0.48571,0.5,0.5,0.5
14,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
