round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,tp,fp,tn,fn,group_0_tp,group_0_fp,group_0_tn,group_0_fn,group_0_positive_rate,group_0_true_positive_rate,group_1_tp,group_1_fp,group_1_tn,group_1_fn,group_1_positive_rate,group_1_true_positive_rate,statistical_parity_difference,equal_opportunity_difference
1,0,0.63435,0.66931,0.50287,0.39525,0.63435,0.63435,0.63435,31.0,13.0,7035.0,4060.0,0.0,4.0,3876.0,184.0,0.00098,0.0,31.0,9.0,3159.0,3876.0,0.00565,0.00793,0.00467,0.00793
1,1,0.63345,0.63814,0.50149,0.39195,0.63345,0.63345,0.63345,18.0,10.0,7038.0,4073.0,0.0,4.0,3876.0,184.0,0.00098,0.0,18.0,6.0,3162.0,3889.0,0.00339,0.00461,0.00241,0.00461
1,2,0.55786,0.51957,0.51913,0.51916,0.55786,0.55786,0.55786,1527.0,2361.0,4687.0,2564.0,63.0,1283.0,2597.0,121.0,0.3312,0.34239,1464.0,1078.0,2090.0,2443.0,0.35929,0.37471,0.02809,0.03232
1,3,0.63282,0.59422,0.50033,0.38872,0.63282,0.63282,0.63282,5.0,4.0,7044.0,4086.0,0.0,1.0,3879.0,184.0,0.00025,0.0,5.0,3.0,3165.0,3902.0,0.00113,0.00128,0.00088,0.00128
1,4,0.63426,0.66146,0.5028,0.39521,0.63426,0.63426,0.63426,31.0,14.0,7034.0,4060.0,0.0,5.0,3875.0,184.0,0.00123,0.0,31.0,9.0,3159.0,3876.0,0.00565,0.00793,0.00442,0.00793
1,5,0.63354,0.65006,0.50156,0.39198,0.63354,0.63354,0.63354,18.0,9.0,7039.0,4073.0,0.0,3.0,3877.0,184.0,0.00074,0.0,18.0,6.0,3162.0,3889.0,0.00339,0.00461,0.00265,0.00461
1,6,0.63444,0.61183,0.50458,0.4024,0.63444,0.63444,0.63444,63.0,44.0,7004.0,4028.0,0.0,18.0,3862.0,184.0,0.00443,0.0,63.0,26.0,3142.0,3844.0,0.01258,0.01612,0.00815,0.01612
1,7,0.61962,0.52272,0.50656,0.4455,0.61962,0.61962,0.61962,330.0,476.0,6572.0,3761.0,10.0,275.0,3605.0,174.0,0.07013,0.05435,320.0,201.0,2967.0,3587.0,0.07364,0.0819,0.00351,0.02756
1,8,0.63372,0.65551,0.50186,0.39274,0.63372,0.63372,0.63372,21.0,10.0,7038.0,4070.0,0.0,3.0,3877.0,184.0,0.00074,0.0,21.0,7.0,3161.0,3886.0,0.00396,0.00537,0.00322,0.00537
1,9,0.63354,0.65672,0.50151,0.39175,0.63354,0.63354,0.63354,17.0,8.0,7040.0,4074.0,0.0,3.0,3877.0,184.0,0.00074,0.0,17.0,5.0,3163.0,3890.0,0.00311,0.00435,0.00237,0.00435
2,0,0.56423,0.51867,0.51745,0.51671,0.56423,0.56423,0.56423,1396.0,2159.0,4889.0,2695.0,58.0,1178.0,2702.0,126.0,0.30413,0.31522,1338.0,981.0,2187.0,2569.0,0.32777,0.34246,0.02364,0.02724
2,1,0.52509,0.52001,0.52149,0.51386,0.52509,0.52509,0.52509,2078.0,3277.0,3771.0,2013.0,85.0,1771.0,2109.0,99.0,0.45669,0.46196,1993.0,1506.0,1662.0,1914.0,0.49456,0.51011,0.03787,0.04815
2,2,0.55032,0.52079,0.52118,0.52081,0.55032,0.55032,0.55032,1683.0,2601.0,4447.0,2408.0,72.0,1407.0,2473.0,112.0,0.36393,0.3913,1611.0,1194.0,1974.0,2296.0,0.39647,0.41234,0.03254,0.02103
2,3,0.55957,0.51797,0.51725,0.51705,0.55957,0.55957,0.55957,1464.0,2279.0,4769.0,2627.0,61.0,1237.0,2643.0,123.0,0.31939,0.33152,1403.0,1042.0,2126.0,2504.0,0.34558,0.3591,0.02619,0.02758
2,4,0.57393,0.52099,0.51845,0.51575,0.57393,0.57393,0.57393,1266.0,1921.0,5127.0,2825.0,50.0,1042.0,2838.0,134.0,0.2687,0.27174,1216.0,879.0,2289.0,2691.0,0.29611,0.31124,0.02741,0.0395
