round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,tp,fp,tn,fn,group_0_tp,group_0_fp,group_0_tn,group_0_fn,group_0_positive_rate,group_0_true_positive_rate,group_1_tp,group_1_fp,group_1_tn,group_1_fn,group_1_positive_rate,group_1_true_positive_rate,statistical_parity_difference,equal_opportunity_difference
1,0.63417,0.6579,0.50267,0.39495,0.63417,0.63417,0.63417,30.0,14.0,7034.0,4061.0,0.0,5.0,3875.0,184.0,0.00123,0.0,30.0,9.0,3159.0,3877.0,0.00551,0.00768,0.00428,0.00768
2,0.5496,0.52031,0.52071,0.52032,0.5496,0.5496,0.5496,1685.0,2611.0,4437.0,2406.0,72.0,1415.0,2465.0,112.0,0.3659,0.3913,1613.0,1196.0,1972.0,2294.0,0.39703,0.41285,0.03114,0.02154
3,0.554,0.52145,0.52157,0.5215,0.554,0.554,0.554,1634.0,2511.0,4537.0,2457.0,70.0,1363.0,2517.0,114.0,0.35261,0.38043,1564.0,1148.0,2020.0,2343.0,0.38332,0.40031,0.03071,0.01987
4,0.55526,0.52271,0.52282,0.52275,0.55526,0.55526,0.55526,1639.0,2502.0,4546.0,2452.0,69.0,1356.0,2524.0,115.0,0.35064,0.375,1570.0,1146.0,2022.0,2337.0,0.38389,0.40184,0.03325,0.02684
5,0.54996,0.52329,0.52397,0.52318,0.54996,0.54996,0.54996,1743.0,2665.0,4383.0,2348.0,71.0,1439.0,2441.0,113.0,0.37156,0.38587,1672.0,1226.0,1942.0,2235.0,0.40961,0.42795,0.03806,0.04208
6,0.55579,0.52472,0.52499,0.5248,0.55579,0.55579,0.55579,1673.0,2530.0,4518.0,2418.0,69.0,1365.0,2515.0,115.0,0.35285,0.375,1604.0,1165.0,2003.0,2303.0,0.39138,0.41055,0.03852,0.03555
7,0.56405,0.52737,0.5269,0.52702,0.56405,0.56405,0.56405,1583.0,2348.0,4700.0,2508.0,64.0,1261.0,2619.0,120.0,0.32603,0.34783,1519.0,1087.0,2081.0,2388.0,0.36834,0.38879,0.04231,0.04096
8,0.54906,0.52677,0.52792,0.52618,0.54906,0.54906,0.54906,1834.0,2766.0,4282.0,2257.0,74.0,1487.0,2393.0,110.0,0.3841,0.40217,1760.0,1279.0,1889.0,2147.0,0.42954,0.45047,0.04544,0.0483
9,0.55463,0.52849,0.52935,0.52842,0.55463,0.55463,0.55463,1776.0,2646.0,4402.0,2315.0,70.0,1421.0,2459.0,114.0,0.36688,0.38043,1706.0,1225.0,1943.0,2201.0,0.41428,0.43665,0.0474,0.05622
10,0.56818,0.53417,0.53396,0.53405,0.56818,0.56818,0.56818,1657.0,2376.0,4672.0,2434.0,64.0,1262.0,2618.0,120.0,0.32628,0.34783,1593.0,1114.0,2054.0,2314.0,0.38261,0.40773,0.05634,0.0599
11,0.56998,0.53716,0.53712,0.53714,0.56998,0.56998,0.56998,1691.0,2390.0,4658.0,2400.0,65.0,1267.0,2613.0,119.0,0.32776,0.35326,1626.0,1123.0,2045.0,2281.0,0.38855,0.41618,0.0608,0.06292
12,0.56908,0.53829,0.53862,0.53842,0.56908,0.56908,0.56908,1734.0,2443.0,4605.0,2357.0,66.0,1286.0,2594.0,118.0,0.33268,0.3587,1668.0,1157.0,2011.0,2239.0,0.39929,0.42693,0.06662,0.06823
13,0.57438,0.54252,0.5426,0.54255,0.57438,0.57438,0.57438,1730.0,2380.0,4668.0,2361.0,64.0,1242.0,2638.0,120.0,0.32136,0.34783,1666.0,1138.0,2030.0,2241.0,0.39633,0.42641,0.07497,0.07859
14,0.58165,0.54874,0.54845,0.54858,0.58165,0.58165,0.58165,1732.0,2301.0,4747.0,2359.0,65.0,1184.0,2696.0,119.0,0.30733,0.35326,1667.0,1117.0,2051.0,2240.0,0.3935,0.42667,0.08617,0.07341
15,0.56899,0.54835,0.5506,0.54801,0.56899,0.56899,0.56899,1969.0,2679.0,4369.0,2122.0,74.0,1404.0,2476.0,110.0,0.36368,0.40217,1895.0,1275.0,1893.0,2012.0,0.44806,0.48503,0.08438,0.08285
16,0.56001,0.54747,0.55058,0.54499,0.56001,0.56001,0.56001,2107.0,2917.0,4131.0,1984.0,78.0,1526.0,2354.0,106.0,0.39469,0.42391,2029.0,1391.0,1777.0,1878.0,0.48339,0.51932,0.08871,0.09541
17,0.6277,0.58462,0.57187,0.57151,0.6277,0.6277,0.6277,1479.0,1535.0,5513.0,2612.0,41.0,701.0,3179.0,143.0,0.18258,0.22283,1438.0,834.0,2334.0,2469.0,0.32113,0.36806,0.13855,0.14523
18,0.5944,0.56872,0.57042,0.56922,0.5944,0.5944,0.5944,1964.0,2391.0,4657.0,2127.0,73.0,1199.0,2681.0,111.0,0.31299,0.39674,1891.0,1192.0,1976.0,2016.0,0.43576,0.484,0.12277,0.08726
19,0.62232,0.58704,0.58263,0.58382,0.62232,0.62232,0.62232,1772.0,1888.0,5160.0,2319.0,59.0,870.0,3010.0,125.0,0.22859,0.32065,1713.0,1018.0,2150.0,2194.0,0.38601,0.43844,0.15741,0.11779
20,0.61837,0.59021,0.59064,0.59041,0.61837,0.61837,0.61837,1989.0,2149.0,4899.0,2102.0,68.0,993.0,2887.0,116.0,0.26107,0.36957,1921.0,1156.0,2012.0,1986.0,0.43491,0.49168,0.17384,0.12212
