round,client,train_loss
1,0,449.3569370678493
1,1,457.208266714641
1,2,452.3030562673296
1,3,450.9903071131025
1,4,463.100560597011
1,5,454.3992062159947
1,6,453.32833598681856
1,7,451.928584589277
1,8,452.31422967910765
1,9,464.1725844519479
2,0,11.707688106809343
2,1,11.064787994112287
2,2,11.645393644060407
2,3,12.670017385482788
2,4,12.292558826719011
2,5,11.530557693753924
2,6,10.652649572917394
2,7,11.517973831721715
2,8,10.483162995747158
2,9,9.869826098850796
3,0,8.56929416656494
3,1,8.221185568400792
3,2,8.338046285084316
3,3,8.34020026751927
3,4,8.028289822169713
3,5,8.419093540736608
3,6,8.484687110355923
3,7,8.098828608649118
3,8,7.752320800508771
3,9,7.619737420763288
4,0,7.905561835425241
4,1,7.8478704452514645
4,2,7.745909752164568
4,3,8.123189844403948
4,4,7.671640879767281
4,5,7.712458705902099
4,6,7.819219357626778
4,7,7.606713363102505
4,8,7.223867811475482
4,9,7.106759534563337
5,0,7.7485182557787216
5,1,7.280674845831735
5,2,7.582916327885219
5,3,7.806594882692609
5,4,7.09145382472447
5,5,7.477263368879046
5,6,7.621541656766619
5,7,7.087560830797468
5,8,7.005227899551391
5,9,6.903541721616473
6,0,7.366748278481619
6,1,7.132316711970738
6,2,7.395268665041242
6,3,7.197972168241228
6,4,7.00951326915196
6,5,7.031693465369088
6,6,7.122104501724243
6,7,7.098422057288033
6,8,6.611780820574079
6,9,6.5931525162288125
7,0,6.829443802152361
7,1,6.332743038449968
7,2,6.499705076217651
7,3,6.760226699284145
7,4,6.521506997517177
7,5,6.8124601227896555
7,6,6.713484403065273
7,7,6.49704681124006
7,8,6.267736503056118
7,9,5.965443822315761
8,0,6.255893237250191
8,1,6.089603124346052
8,2,6.066853366579328
8,3,6.210267584664481
8,4,6.125740044457572
8,5,6.135161093303135
8,6,6.419547012874058
8,7,6.011818211419242
8,8,5.865142270496913
8,9,5.564495652062552
9,0,5.919842910766602
9,1,5.5768537521362305
9,2,6.228577470779419
9,3,5.731437873840332
9,4,5.76062502861023
9,5,5.927882065091814
9,6,6.216386679240635
9,7,5.838604409354073
9,8,5.50423721585955
9,9,5.182332835878644
10,0,5.348076442309789
10,1,5.110905453136989
10,2,5.47666244166238
10,3,5.4011436939239506
10,4,5.421242591312954
10,5,5.267776100976127
10,6,5.571902186529977
10,7,5.740153574943543
10,8,5.00954715524401
10,9,4.876073554583958
11,0,5.047996282577515
11,1,5.137322122710092
11,2,4.9889862980161395
11,3,5.030584556715829
11,4,5.0282584530966625
11,5,4.886874066080366
11,6,5.0007421561649865
11,7,5.005821023668561
11,8,4.9940105267933435
11,9,4.593552838053022
12,0,4.776489768709455
12,1,4.401948268072946
12,2,4.504460321153913
12,3,4.7123202732631135
12,4,4.579540034702846
12,5,4.511118221282959
12,6,4.959257885387966
12,7,4.559353583199638
12,8,4.402305752890451
12,9,4.318666424070086
13,0,4.378209982599531
13,1,4.366920992306301
13,2,4.341334199905395
13,3,4.426816276141575
13,4,4.509176543780735
13,5,4.184303259849548
13,6,4.494587659835815
13,7,4.178879472187587
13,8,4.210110749517169
13,9,3.7768354313714165
14,0,3.9856625999723163
14,1,3.8017302751541138
14,2,3.8214768716267176
14,3,3.7851406029292516
14,4,4.0307073490960255
14,5,4.025475931167603
14,6,3.930655350003924
14,7,4.252309264455523
14,8,3.777661837850298
14,9,3.5309508187430247
15,0,3.623013424873352
15,1,3.4691747290747506
15,2,3.463004984174456
15,3,3.6448215109961373
15,4,3.5668183360780987
15,5,3.48054062298366
15,6,3.911677959987095
15,7,3.6030243737357
15,8,3.6321267298289706
15,9,3.108201040540423
16,0,3.20474762235369
16,1,3.226627996989659
16,2,3.261989491326468
16,3,3.2813501255852837
16,4,3.152466538974217
16,5,3.081834326471601
16,6,3.3210274185453144
16,7,3.435597940853664
16,8,3.120055423464094
16,9,3.001188850402832
17,0,3.1499829496656147
17,1,2.9749272550855363
17,2,2.900349637440273
17,3,2.9700977189200266
17,4,2.8811011280332295
17,5,3.1469666617257253
17,6,3.0909340960638865
17,7,3.1071124792099
17,8,2.861556567464556
17,9,2.926554158755711
18,0,2.6982230271611893
18,1,2.6747289896011353
18,2,2.6174348524638584
18,3,2.7499407870428905
18,4,2.8316581334386552
18,5,2.7564565454210554
18,6,2.8869880080223083
18,7,2.7303701332637242
18,8,2.744973407472883
18,9,2.3547928282192774
19,0,2.626570972374507
19,1,2.418455639907292
19,2,2.472457117693765
19,3,2.5605587567601886
19,4,2.4084899408476694
19,5,2.4741703152656553
19,6,2.568277450970241
19,7,2.5787676300321305
19,8,2.413765716552734
19,9,2.3269498331206186
20,0,2.272014433997018
20,1,2.5083911384855
20,2,2.286312484741211
20,3,2.429356377465384
20,4,2.3755277786936078
20,5,2.2809382728167944
20,6,2.6583883830479214
20,7,2.414544403553009
20,8,2.3771379930632457
20,9,2.01667001588004
