round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.46961,0.34351,0.33956,0.32145,0.46961,0.46961,0.46961
1,1,0.43462,0.33381,0.33476,0.33288,0.43462,0.43462,0.43462
1,2,0.44199,0.34052,0.34059,0.3393,0.44199,0.44199,0.44199
1,3,0.4785,0.35059,0.34752,0.3369,0.4785,0.4785,0.4785
1,4,0.46622,0.34455,0.34237,0.3324,0.46622,0.46622,0.46622
1,5,0.46499,0.35832,0.35695,0.35567,0.46499,0.46499,0.46499
1,6,0.4441,0.34476,0.34361,0.34214,0.4441,0.4441,0.4441
1,7,0.44165,0.32048,0.32538,0.31073,0.44165,0.44165,0.44165
1,8,0.4441,0.35893,0.35843,0.35864,0.4441,0.4441,0.4441
1,9,0.43305,0.32325,0.32387,0.32219,0.43305,0.43305,0.43305
2,0,0.47268,0.36447,0.35707,0.35434,0.47268,0.47268,0.47268
2,1,0.48312,0.3474,0.34926,0.33784,0.48312,0.48312,0.48312
2,2,0.48926,0.35793,0.3519,0.34394,0.48926,0.48926,0.48926
2,3,0.45147,0.35434,0.35385,0.35398,0.45147,0.45147,0.45147
2,4,0.47604,0.34593,0.34485,0.33976,0.47604,0.47604,0.47604
2,5,0.46376,0.36334,0.36015,0.35869,0.46376,0.46376,0.46376
2,6,0.48956,0.36611,0.35948,0.3548,0.48956,0.48956,0.48956
2,7,0.46007,0.36248,0.35927,0.36004,0.46007,0.46007,0.46007
2,8,0.46376,0.36612,0.36675,0.36125,0.46376,0.46376,0.46376
2,9,0.47973,0.34029,0.34551,0.33851,0.47973,0.47973,0.47973
3,0,0.46961,0.34875,0.347,0.3378,0.46961,0.46961,0.46961
3,1,0.48128,0.34309,0.34655,0.34169,0.48128,0.48128,0.48128
3,2,0.48312,0.35802,0.34755,0.33847,0.48312,0.48312,0.48312
3,3,0.4613,0.34437,0.34252,0.33658,0.4613,0.4613,0.4613
3,4,0.49816,0.34975,0.34291,0.3178,0.49816,0.49816,0.49816
3,5,0.49017,0.36884,0.35684,0.34591,0.49017,0.49017,0.49017
3,6,0.49754,0.37536,0.3635,0.3581,0.49754,0.49754,0.49754
3,7,0.46683,0.34598,0.34188,0.33368,0.46683,0.46683,0.46683
3,8,0.48587,0.38045,0.36274,0.36023,0.48587,0.48587,0.48587
3,9,0.48894,0.35515,0.3523,0.34452,0.48894,0.48894,0.48894
4,0,0.51258,0.35453,0.33601,0.27212,0.51258,0.51258,0.51258
4,1,0.50829,0.34513,0.34435,0.33148,0.50829,0.50829,0.50829
4,2,0.49233,0.37446,0.34634,0.33148,0.49233,0.49233,0.49233
4,3,0.48219,0.34351,0.34024,0.33132,0.48219,0.48219,0.48219
4,4,0.48342,0.33832,0.33769,0.32312,0.48342,0.48342,0.48342
4,5,0.47973,0.36845,0.36865,0.36228,0.47973,0.47973,0.47973
4,6,0.49693,0.38248,0.37207,0.36793,0.49693,0.49693,0.49693
4,7,0.47543,0.33505,0.33391,0.31096,0.47543,0.47543,0.47543
4,8,0.47052,0.36878,0.36432,0.35524,0.47052,0.47052,0.47052
4,9,0.48894,0.3615,0.3532,0.34658,0.48894,0.48894,0.48894
5,0,0.47514,0.33248,0.336,0.32057,0.47514,0.47514,0.47514
5,1,0.51811,0.34684,0.34376,0.32379,0.51811,0.51811,0.51811
5,2,0.48619,0.36979,0.34996,0.33751,0.48619,0.48619,0.48619
5,3,0.48833,0.36158,0.35202,0.34737,0.48833,0.48833,0.48833
5,4,0.49386,0.34612,0.34542,0.33316,0.49386,0.49386,0.49386
5,5,0.48219,0.36221,0.35967,0.35394,0.48219,0.48219,0.48219
5,6,0.49754,0.39014,0.37328,0.37217,0.49754,0.49754,0.49754
5,7,0.4656,0.35046,0.34875,0.34677,0.4656,0.4656,0.4656
5,8,0.45823,0.36269,0.36161,0.35051,0.45823,0.45823,0.45823
5,9,0.48526,0.34719,0.34096,0.32789,0.48526,0.48526,0.48526
6,0,0.469,0.33893,0.3423,0.3326,0.469,0.469,0.469
6,1,0.48987,0.36014,0.35437,0.34526,0.48987,0.48987,0.48987
6,2,0.50952,0.38306,0.34475,0.32014,0.50952,0.50952,0.50952
6,3,0.48096,0.36734,0.35207,0.34823,0.48096,0.48096,0.48096
