round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.4576,0.34901,0.34562,0.34449,0.4576,0.4576,0.4576
1,1,0.44026,0.35263,0.35283,0.35271,0.44026,0.44026,0.44026
1,2,0.45372,0.35088,0.34858,0.34787,0.45372,0.45372,0.45372
1,3,0.44551,0.35104,0.35061,0.35041,0.44551,0.44551,0.44551
1,4,0.44473,0.35266,0.35194,0.35213,0.44473,0.44473,0.44473
1,5,0.44399,0.35065,0.34869,0.34922,0.44399,0.44399,0.44399
1,6,0.47347,0.34777,0.34406,0.33343,0.47347,0.47347,0.47347
1,7,0.4493,0.34992,0.35029,0.34713,0.4493,0.4493,0.4493
1,8,0.4718,0.34804,0.34611,0.33247,0.4718,0.4718,0.4718
1,9,0.44065,0.34951,0.34758,0.34817,0.44065,0.44065,0.44065
2,0,0.46074,0.36405,0.36237,0.3628,0.46074,0.46074,0.46074
2,1,0.45161,0.36438,0.36156,0.3585,0.45161,0.45161,0.45161
2,2,0.44438,0.36385,0.36053,0.35385,0.44438,0.44438,0.44438
2,3,0.47391,0.35312,0.34837,0.34446,0.47391,0.47391,0.47391
2,4,0.48123,0.35744,0.35185,0.34347,0.48123,0.48123,0.48123
2,5,0.44989,0.35628,0.3563,0.35524,0.44989,0.44989,0.44989
2,6,0.46129,0.36396,0.36083,0.36077,0.46129,0.46129,0.46129
2,7,0.47155,0.35808,0.35342,0.35086,0.47155,0.47155,0.47155
2,8,0.47317,0.3649,0.36113,0.3576,0.47317,0.47317,0.47317
2,9,0.44999,0.35955,0.35902,0.35924,0.44999,0.44999,0.44999
3,0,0.44198,0.3642,0.36226,0.35832,0.44198,0.44198,0.44198
3,1,0.4663,0.35947,0.35617,0.35586,0.4663,0.4663,0.4663
3,2,0.47386,0.35845,0.35387,0.35142,0.47386,0.47386,0.47386
3,3,0.50029,0.35224,0.34347,0.31865,0.50029,0.50029,0.50029
3,4,0.49278,0.35911,0.35081,0.33821,0.49278,0.49278,0.49278
3,5,0.42611,0.36872,0.36457,0.34738,0.42611,0.42611,0.42611
3,6,0.48045,0.3596,0.35338,0.34938,0.48045,0.48045,0.48045
3,7,0.45632,0.36143,0.35966,0.36002,0.45632,0.45632,0.45632
3,8,0.49297,0.35433,0.34642,0.33345,0.49297,0.49297,0.49297
3,9,0.45166,0.35878,0.35729,0.35777,0.45166,0.45166,0.45166
4,0,0.49435,0.3611,0.35166,0.34115,0.49435,0.49435,0.49435
4,1,0.49047,0.35473,0.3476,0.33497,0.49047,0.49047,0.49047
4,2,0.49862,0.35469,0.34447,0.32618,0.49862,0.49862,0.49862
4,3,0.48944,0.35811,0.35033,0.33993,0.48944,0.48944,0.48944
4,4,0.49666,0.35161,0.3443,0.32028,0.49666,0.49666,0.49666
4,5,0.48914,0.3552,0.34837,0.33876,0.48914,0.48914,0.48914
4,6,0.47995,0.35365,0.34871,0.33876,0.47995,0.47995,0.47995
4,7,0.46865,0.36486,0.35859,0.35495,0.46865,0.46865,0.46865
4,8,0.47799,0.3634,0.3558,0.35215,0.47799,0.47799,0.47799
4,9,0.47337,0.36029,0.35566,0.3536,0.47337,0.47337,0.47337
5,0,0.4998,0.35501,0.34259,0.32054,0.4998,0.4998,0.4998
5,1,0.50423,0.35477,0.34513,0.32031,0.50423,0.50423,0.50423
5,2,0.51091,0.35605,0.34483,0.31561,0.51091,0.51091,0.51091
5,3,0.48845,0.35889,0.34926,0.34022,0.48845,0.48845,0.48845
