round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.45731,0.35339,0.3514,0.34997,0.45731,0.45731,0.45731
2,0.46625,0.36316,0.35925,0.35949,0.46625,0.46625,0.46625
3,0.47283,0.36082,0.35599,0.35476,0.47283,0.47283,0.47283
4,0.48801,0.3558,0.34895,0.33977,0.48801,0.48801,0.48801
5,0.49779,0.35609,0.34643,0.33001,0.49779,0.49779,0.49779
6,0.4889,0.36313,0.35307,0.34545,0.4889,0.4889,0.4889
7,0.50619,0.36258,0.34812,0.3281,0.50619,0.50619,0.50619
8,0.50594,0.3717,0.35154,0.33503,0.50594,0.50594,0.50594
9,0.51651,0.3745,0.3471,0.31715,0.51651,0.51651,0.51651
10,0.5199,0.37379,0.34813,0.31652,0.5199,0.5199,0.5199
11,0.5143,0.371,0.35009,0.3258,0.5143,0.5143,0.5143
12,0.52869,0.36655,0.3449,0.29801,0.52869,0.52869,0.52869
13,0.52599,0.36805,0.34805,0.31053,0.52599,0.52599,0.52599
14,0.52982,0.36724,0.34678,0.30231,0.52982,0.52982,0.52982
15,0.52673,0.36673,0.35056,0.31623,0.52673,0.52673,0.52673
16,0.53508,0.37131,0.34746,0.29657,0.53508,0.53508,0.53508
17,0.53036,0.37137,0.34981,0.31026,0.53036,0.53036,0.53036
18,0.53395,0.37941,0.35026,0.30706,0.53395,0.53395,0.53395
19,0.53375,0.37084,0.3489,0.30304,0.53375,0.53375,0.53375
20,0.53292,0.37465,0.35238,0.3141,0.53292,0.53292,0.53292
21,0.53758,0.37707,0.35008,0.30153,0.53758,0.53758,0.53758
22,0.53454,0.3772,0.3547,0.31825,0.53454,0.53454,0.53454
23,0.53744,0.37718,0.35126,0.30501,0.53744,0.53744,0.53744
24,0.53734,0.37487,0.35311,0.31092,0.53734,0.53734,0.53734
25,0.54417,0.38871,0.35038,0.29253,0.54417,0.54417,0.54417
26,0.54343,0.38587,0.34994,0.29169,0.54343,0.54343,0.54343
27,0.52963,0.3772,0.35957,0.33323,0.52963,0.52963,0.52963
28,0.54279,0.3801,0.3529,0.30314,0.54279,0.54279,0.54279
29,0.54358,0.38283,0.35223,0.29971,0.54358,0.54358,0.54358
30,0.54422,0.38827,0.34949,0.28873,0.54422,0.54422,0.54422
31,0.54196,0.3876,0.35464,0.30941,0.54196,0.54196,0.54196
32,0.54672,0.39529,0.3493,0.28348,0.54672,0.54672,0.54672
33,0.54726,0.39675,0.35331,0.29653,0.54726,0.54726,0.54726
34,0.54731,0.39389,0.35241,0.29331,0.54731,0.54731,0.54731
35,0.54771,0.39367,0.35047,0.2864,0.54771,0.54771,0.54771
36,0.548,0.39893,0.35057,0.28554,0.548,0.548,0.548
37,0.54864,0.39919,0.35551,0.30177,0.54864,0.54864,0.54864
38,0.54859,0.39034,0.35486,0.30085,0.54859,0.54859,0.54859
39,0.55006,0.40966,0.35195,0.2862,0.55006,0.55006,0.55006
40,0.54943,0.39696,0.357,0.30612,0.54943,0.54943,0.54943
41,0.55085,0.4038,0.35618,0.30071,0.55085,0.55085,0.55085
42,0.55139,0.40201,0.35462,0.29458,0.55139,0.55139,0.55139
43,0.55164,0.40347,0.35564,0.29789,0.55164,0.55164,0.55164
44,0.55085,0.40942,0.35076,0.28165,0.55085,0.55085,0.55085
45,0.55188,0.41394,0.35338,0.28883,0.55188,0.55188,0.55188
46,0.55129,0.40573,0.35317,0.2886,0.55129,0.55129,0.55129
47,0.55227,0.4101,0.35393,0.28987,0.55227,0.55227,0.55227
48,0.55429,0.40568,0.36106,0.31176,0.55429,0.55429,0.55429
49,0.54992,0.39109,0.36942,0.33785,0.54992,0.54992,0.54992
50,0.55326,0.41903,0.35422,0.28978,0.55326,0.55326,0.55326
