round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.63273,0.31637,0.5,0.38753,0.63273,0.63273,0.63273
1,1,0.44421,0.51508,0.51208,0.43612,0.44421,0.44421,0.44421
1,2,0.63273,0.31637,0.5,0.38753,0.63273,0.63273,0.63273
1,3,0.41979,0.50988,0.50617,0.39781,0.41979,0.41979,0.41979
1,4,0.63713,0.61745,0.51122,0.42207,0.63713,0.63713,0.63713
1,5,0.57869,0.51956,0.51621,0.51086,0.57869,0.57869,0.57869
1,6,0.38118,0.50234,0.50048,0.31227,0.38118,0.38118,0.38118
1,7,0.39959,0.50397,0.50175,0.359,0.39959,0.39959,0.39959
1,8,0.63264,0.51637,0.50003,0.38796,0.63264,0.63264,0.63264
1,9,0.63273,0.31637,0.5,0.38753,0.63273,0.63273,0.63273
2,0,0.4091,0.5068,0.50363,0.37836,0.4091,0.4091,0.4091
2,1,0.50615,0.51842,0.51965,0.50238,0.50615,0.50615,0.50615
2,2,0.40372,0.51434,0.50629,0.36328,0.40372,0.40372,0.40372
2,3,0.58012,0.51766,0.51417,0.50708,0.58012,0.58012,0.58012
2,4,0.63731,0.61986,0.51136,0.42215,0.63731,0.63731,0.63731
2,5,0.63336,0.65874,0.50116,0.39077,0.63336,0.63336,0.63336
2,6,0.44456,0.51421,0.5115,0.43694,0.44456,0.44456,0.44456
2,7,0.62627,0.55009,0.51581,0.46162,0.62627,0.62627,0.62627
2,8,0.46306,0.51088,0.51027,0.46209,0.46306,0.46306,0.46306
2,9,0.63264,0.48303,0.49998,0.38773,0.63264,0.63264,0.63264
3,0,0.3898,0.50323,0.50104,0.33543,0.3898,0.3898,0.3898
3,1,0.56594,0.52026,0.5189,0.51815,0.56594,0.56594,0.56594
3,2,0.42122,0.50948,0.50608,0.40064,0.42122,0.42122,0.42122
3,3,0.50875,0.52221,0.52366,0.50536,0.50875,0.50875,0.50875
3,4,0.49987,0.51518,0.51612,0.49698,0.49987,0.49987,0.49987
3,5,0.5013,0.51501,0.51598,0.49795,0.5013,0.5013,0.5013
3,6,0.63372,0.66161,0.50181,0.39251,0.63372,0.63372,0.63372
3,7,0.51324,0.51932,0.52075,0.50728,0.51324,0.51324,0.51324
3,8,0.45992,0.51054,0.50978,0.45842,0.45992,0.45992,0.45992
3,9,0.63273,0.56639,0.5001,0.38799,0.63273,0.63273,0.63273
4,0,0.40847,0.50447,0.50241,0.37825,0.40847,0.40847,0.40847
4,1,0.48873,0.52377,0.52394,0.48871,0.48873,0.48873,0.48873
4,2,0.49511,0.51577,0.51657,0.4935,0.49511,0.49511,0.49511
4,3,0.44986,0.51598,0.51337,0.44397,0.44986,0.44986,0.44986
4,4,0.48119,0.51555,0.51567,0.48117,0.48119,0.48119,0.48119
4,5,0.62869,0.54401,0.50758,0.4294,0.62869,0.62869,0.62869
4,6,0.49152,0.51672,0.51737,0.4907,0.49152,0.49152,0.49152
4,7,0.63417,0.616,0.50365,0.3992,0.63417,0.63417,0.63417
4,8,0.5443,0.51297,0.51314,0.51298,0.5443,0.5443,0.5443
4,9,0.63264,0.48303,0.49998,0.38773,0.63264,0.63264,0.63264
5,0,0.40785,0.50528,0.50279,0.37652,0.40785,0.40785,0.40785
5,1,0.44573,0.52196,0.51703,0.436,0.44573,0.44573,0.44573
5,2,0.63318,0.62613,0.50102,0.3907,0.63318,0.63318,0.63318
5,3,0.51172,0.52157,0.52308,0.50717,0.51172,0.51172,0.51172
5,4,0.63713,0.6506,0.50855,0.41131,0.63713,0.63713,0.63713
5,5,0.55714,0.52447,0.52457,0.52451,0.55714,0.55714,0.55714
5,6,0.50974,0.52454,0.52608,0.50673,0.50974,0.50974,0.50974
5,7,0.63489,0.67439,0.50375,0.39749,0.63489,0.63489,0.63489
5,8,0.60535,0.52872,0.51677,0.49292,0.60535,0.60535,0.60535
5,9,0.6225,0.54733,0.51935,0.47777,0.6225,0.6225,0.6225
6,0,0.4583,0.51429,0.51286,0.45568,0.4583,0.4583,0.4583
6,1,0.43873,0.51833,0.5136,0.42655,0.43873,0.43873,0.43873
6,2,0.47195,0.51367,0.51334,0.47174,0.47195,0.47195,0.47195
6,3,0.5751,0.53936,0.53865,0.53887,0.5751,0.5751,0.5751
6,4,0.60598,0.5328,0.51998,0.49907,0.60598,0.60598,0.60598
6,5,0.63857,0.62202,0.51425,0.4301,0.63857,0.63857,0.63857
6,6,0.40066,0.51135,0.50475,0.35789,0.40066,0.40066,0.40066
6,7,0.46288,0.51454,0.51346,0.46129,0.46288,0.46288,0.46288
6,8,0.49448,0.52788,0.52828,0.49439,0.49448,0.49448,0.49448
6,9,0.63282,0.59422,0.50033,0.38872,0.63282,0.63282,0.63282
7,0,0.3872,0.51078,0.50283,0.32566,0.3872,0.3872,0.3872
7,1,0.63749,0.63811,0.51002,0.4163,0.63749,0.63749,0.63749
7,2,0.41853,0.51146,0.50692,0.3947,0.41853,0.41853,0.41853
7,3,0.63525,0.65721,0.5047,0.40053,0.63525,0.63525,0.63525
7,4,0.49484,0.52024,0.52102,0.49404,0.49484,0.49484,0.49484
7,5,0.57115,0.52683,0.52512,0.52464,0.57115,0.57115,0.57115
7,6,0.41198,0.50871,0.50482,0.38327,0.41198,0.41198,0.41198
7,7,0.54188,0.52122,0.52225,0.5202,0.54188,0.54188,0.54188
7,8,0.50902,0.51847,0.51977,0.50431,0.50902,0.50902,0.50902
7,9,0.63282,0.5857,0.50043,0.38918,0.63282,0.63282,0.63282
8,0,0.40569,0.512,0.50565,0.36862,0.40569,0.40569,0.40569
8,1,0.54224,0.52496,0.52638,0.52327,0.54224,0.54224,0.54224
8,2,0.63031,0.56314,0.51901,0.46398,0.63031,0.63031,0.63031
8,3,0.63516,0.63715,0.50509,0.40248,0.63516,0.63516,0.63516
8,4,0.48505,0.51684,0.51713,0.48491,0.48505,0.48505,0.48505
8,5,0.63543,0.68461,0.50454,0.39927,0.63543,0.63543,0.63543
8,6,0.4592,0.51334,0.51214,0.45701,0.4592,0.4592,0.4592
8,7,0.63785,0.64048,0.51061,0.41771,0.63785,0.63785,0.63785
8,8,0.57088,0.53258,0.53163,0.53177,0.57088,0.57088,0.57088
8,9,0.62465,0.55084,0.51941,0.47466,0.62465,0.62465,0.62465
9,0,0.43182,0.51724,0.51193,0.41573,0.43182,0.43182,0.43182
9,1,0.47877,0.51757,0.5174,0.47873,0.47877,0.47877,0.47877
9,2,0.40291,0.51392,0.50601,0.36171,0.40291,0.40291,0.40291
9,3,0.63543,0.67164,0.50474,0.40016,0.63543,0.63543,0.63543
9,4,0.52321,0.52451,0.52636,0.51529,0.52321,0.52321,0.52321
9,5,0.5812,0.53122,0.52773,0.52591,0.5812,0.5812,0.5812
9,6,0.396,0.50794,0.50301,0.34866,0.396,0.396,0.396
9,7,0.47212,0.51465,0.51425,0.47187,0.47212,0.47212,0.47212
9,8,0.54008,0.54356,0.54683,0.53339,0.54008,0.54008,0.54008
9,9,0.63372,0.66161,0.50181,0.39251,0.63372,0.63372,0.63372
10,0,0.39115,0.50926,0.50292,0.33627,0.39115,0.39115,0.39115
10,1,0.55912,0.527,0.52715,0.52706,0.55912,0.55912,0.55912
10,2,0.44115,0.52379,0.51741,0.4283,0.44115,0.44115,0.44115
10,3,0.59898,0.5594,0.55588,0.55637,0.59898,0.59898,0.59898
10,4,0.6356,0.64931,0.5056,0.40332,0.6356,0.6356,0.6356
10,5,0.6383,0.64357,0.51132,0.41936,0.6383,0.6383,0.6383
10,6,0.45632,0.5175,0.51525,0.45235,0.45632,0.45632,0.45632
10,7,0.63408,0.69619,0.50219,0.3931,0.63408,0.63408,0.63408
10,8,0.63632,0.64867,0.50704,0.40732,0.63632,0.63632,0.63632
10,9,0.63282,0.81639,0.50012,0.3878,0.63282,0.63282,0.63282
11,0,0.4162,0.52,0.51077,0.38631,0.4162,0.4162,0.4162
11,1,0.50031,0.52447,0.5255,0.49932,0.50031,0.50031,0.50031
11,2,0.41997,0.52741,0.51477,0.39033,0.41997,0.41997,0.41997
11,3,0.52392,0.53005,0.53226,0.51811,0.52392,0.52392,0.52392
11,4,0.47796,0.51447,0.51445,0.47796,0.47796,0.47796,0.47796
