round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,tp,fp,tn,fn,group_0_tp,group_0_fp,group_0_tn,group_0_fn,group_0_positive_rate,group_0_true_positive_rate,group_1_tp,group_1_fp,group_1_tn,group_1_fn,group_1_positive_rate,group_1_true_positive_rate,statistical_parity_difference,equal_opportunity_difference
1,0.63264,0.48303,0.49998,0.38773,0.63264,0.63264,0.63264,1.0,2.0,7046.0,4090.0,0.0,1.0,3879.0,184.0,0.00025,0.0,1.0,1.0,3167.0,3906.0,0.00028,0.00026,4e-05,0.00026
2,0.53209,0.51851,0.5197,0.51557,0.53209,0.53209,0.53209,1935.0,3056.0,3992.0,2156.0,83.0,1663.0,2217.0,101.0,0.42963,0.45109,1852.0,1393.0,1775.0,2055.0,0.45866,0.47402,0.02903,0.02293
3,0.55005,0.52156,0.52204,0.52154,0.55005,0.55005,0.55005,1704.0,2625.0,4423.0,2387.0,73.0,1425.0,2455.0,111.0,0.3686,0.39674,1631.0,1200.0,1968.0,2276.0,0.40014,0.41746,0.03154,0.02072
4,0.55095,0.52287,0.52342,0.52285,0.55095,0.55095,0.55095,1717.0,2628.0,4420.0,2374.0,71.0,1425.0,2455.0,113.0,0.36811,0.38587,1646.0,1203.0,1965.0,2261.0,0.40269,0.4213,0.03458,0.03543
5,0.53946,0.52341,0.52479,0.52134,0.53946,0.53946,0.53946,1921.0,2960.0,4088.0,2170.0,79.0,1605.0,2275.0,105.0,0.41437,0.42935,1842.0,1355.0,1813.0,2065.0,0.45187,0.47146,0.0375,0.04211
6,0.53317,0.52557,0.52742,0.52064,0.53317,0.53317,0.53317,2069.0,3178.0,3870.0,2022.0,84.0,1715.0,2165.0,100.0,0.44267,0.45652,1985.0,1463.0,1705.0,1922.0,0.48735,0.50806,0.04468,0.05154
7,0.54403,0.52578,0.52718,0.52435,0.54403,0.54403,0.54403,1897.0,2885.0,4163.0,2194.0,78.0,1559.0,2321.0,106.0,0.40281,0.42391,1819.0,1326.0,1842.0,2088.0,0.44452,0.46557,0.04172,0.04166
8,0.55759,0.53134,0.53225,0.53132,0.55759,0.55759,0.55759,1787.0,2624.0,4424.0,2304.0,70.0,1404.0,2476.0,114.0,0.3627,0.38043,1717.0,1220.0,1948.0,2190.0,0.41512,0.43947,0.05243,0.05903
9,0.52626,0.52857,0.53072,0.51885,0.52626,0.52626,0.52626,2240.0,3426.0,3622.0,1851.0,89.0,1838.0,2042.0,95.0,0.47416,0.4837,2151.0,1588.0,1580.0,1756.0,0.52848,0.55055,0.05432,0.06685
10,0.54736,0.53398,0.53617,0.53141,0.54736,0.54736,0.54736,2021.0,2972.0,4076.0,2070.0,79.0,1584.0,2296.0,105.0,0.4092,0.42935,1942.0,1388.0,1780.0,1965.0,0.47067,0.49706,0.06147,0.06771
11,0.54134,0.53842,0.54131,0.53165,0.54134,0.54134,0.54134,2214.0,3232.0,3816.0,1877.0,85.0,1718.0,2162.0,99.0,0.44365,0.46196,2129.0,1514.0,1654.0,1778.0,0.51491,0.54492,0.07126,0.08296
12,0.58731,0.55065,0.54912,0.54952,0.58731,0.58731,0.58731,1658.0,2164.0,4884.0,2433.0,64.0,1104.0,2776.0,120.0,0.2874,0.34783,1594.0,1060.0,2108.0,2313.0,0.37512,0.40799,0.08772,0.06016
13,0.54816,0.54389,0.54716,0.5379,0.54816,0.54816,0.54816,2223.0,3165.0,3883.0,1868.0,84.0,1666.0,2214.0,100.0,0.43061,0.45652,2139.0,1499.0,1669.0,1768.0,0.5142,0.54748,0.08359,0.09096
14,0.5514,0.54749,0.55105,0.54141,0.5514,0.5514,0.5514,2249.0,3155.0,3893.0,1842.0,84.0,1651.0,2229.0,100.0,0.42692,0.45652,2165.0,1504.0,1664.0,1742.0,0.51859,0.55413,0.09167,0.09761
15,0.59269,0.56191,0.56194,0.56193,0.59269,0.59269,0.59269,1825.0,2271.0,4777.0,2266.0,67.0,1141.0,2739.0,117.0,0.29724,0.36413,1758.0,1130.0,2038.0,2149.0,0.4082,0.44996,0.11095,0.08583
16,0.63417,0.59302,0.57933,0.57957,0.63417,0.63417,0.63417,1525.0,1509.0,5539.0,2566.0,49.0,670.0,3210.0,135.0,0.17692,0.2663,1476.0,839.0,2329.0,2431.0,0.32721,0.37778,0.15029,0.11148
17,0.59126,0.57611,0.58065,0.57525,0.59126,0.59126,0.59126,2212.0,2674.0,4374.0,1879.0,80.0,1318.0,2562.0,104.0,0.344,0.43478,2132.0,1356.0,1812.0,1775.0,0.493,0.54569,0.14901,0.1109
18,0.66092,0.63462,0.57155,0.55472,0.66092,0.66092,0.66092,961.0,647.0,6401.0,3130.0,22.0,215.0,3665.0,162.0,0.05832,0.11957,939.0,432.0,2736.0,2968.0,0.19378,0.24034,0.13546,0.12077
19,0.66317,0.6314,0.58692,0.5809,0.66317,0.66317,0.66317,1226.0,887.0,6161.0,2865.0,27.0,314.0,3566.0,157.0,0.08391,0.14674,1199.0,573.0,2595.0,2708.0,0.25046,0.30689,0.16655,0.16015
20,0.65859,0.62415,0.60735,0.60959,0.65859,0.65859,0.65859,1695.0,1407.0,5641.0,2396.0,46.0,540.0,3340.0,138.0,0.14419,0.25,1649.0,867.0,2301.0,2258.0,0.35562,0.42206,0.21143,0.17206
