round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,tp,fp,tn,fn,group_0_tp,group_0_fp,group_0_tn,group_0_fn,group_0_positive_rate,group_0_true_positive_rate,group_1_tp,group_1_fp,group_1_tn,group_1_fn,group_1_positive_rate,group_1_true_positive_rate,statistical_parity_difference,equal_opportunity_difference
1,0,0.63273,0.31637,0.5,0.38753,0.63273,0.63273,0.63273,0.0,0.0,7048.0,4091.0,0.0,0.0,3880.0,184.0,0.0,0.0,0.0,0.0,3168.0,3907.0,0.0,0.0,0.0,0.0
1,1,0.48119,0.51411,0.51429,0.48112,0.48119,0.48119,0.48119,2614.0,4302.0,2746.0,1477.0,112.0,2348.0,1532.0,72.0,0.60531,0.6087,2502.0,1954.0,1214.0,1405.0,0.62982,0.64039,0.02451,0.03169
1,2,0.63273,0.31637,0.5,0.38753,0.63273,0.63273,0.63273,0.0,0.0,7048.0,4091.0,0.0,0.0,3880.0,184.0,0.0,0.0,0.0,0.0,3168.0,3907.0,0.0,0.0,0.0,0.0
1,3,0.51207,0.51837,0.51972,0.50619,0.51207,0.51207,0.51207,2244.0,3588.0,3460.0,1847.0,96.0,1937.0,1943.0,88.0,0.50025,0.52174,2148.0,1651.0,1517.0,1759.0,0.53696,0.54978,0.03672,0.02804
1,4,0.44591,0.51498,0.5122,0.43865,0.44591,0.44591,0.44591,3117.0,5198.0,1850.0,974.0,135.0,2847.0,1033.0,49.0,0.73376,0.7337,2982.0,2351.0,817.0,925.0,0.75378,0.76325,0.02002,0.02955
1,5,0.62106,0.54079,0.5156,0.46977,0.62106,0.62106,0.62106,484.0,614.0,6434.0,3607.0,16.0,342.0,3538.0,168.0,0.08809,0.08696,468.0,272.0,2896.0,3439.0,0.10459,0.11979,0.0165,0.03283
1,6,0.37957,0.50069,0.50013,0.3081,0.37957,0.37957,0.37957,3904.0,6724.0,324.0,187.0,178.0,3701.0,179.0,6.0,0.95448,0.96739,3726.0,3023.0,145.0,181.0,0.95392,0.95367,-0.00056,-0.01372
1,7,0.63255,0.31633,0.49986,0.38746,0.63255,0.63255,0.63255,0.0,2.0,7046.0,4091.0,0.0,1.0,3879.0,184.0,0.00025,0.0,0.0,1.0,3167.0,3907.0,0.00014,0.0,-0.0001,0.0
1,8,0.63291,0.60815,0.5005,0.38922,0.63291,0.63291,0.63291,7.0,5.0,7043.0,4084.0,0.0,1.0,3879.0,184.0,0.00025,0.0,7.0,4.0,3164.0,3900.0,0.00155,0.00179,0.00131,0.00179
1,9,0.63273,0.31637,0.5,0.38753,0.63273,0.63273,0.63273,0.0,0.0,7048.0,4091.0,0.0,0.0,3880.0,184.0,0.0,0.0,0.0,0.0,3168.0,3907.0,0.0,0.0,0.0,0.0
2,0,0.39384,0.50454,0.50167,0.34503,0.39384,0.39384,0.39384,3714.0,6375.0,673.0,377.0,169.0,3505.0,375.0,15.0,0.90404,0.91848,3545.0,2870.0,298.0,362.0,0.90671,0.90735,0.00268,-0.01113
2,1,0.50283,0.51761,0.51872,0.4998,0.50283,0.50283,0.50283,2367.0,3814.0,3234.0,1724.0,100.0,2061.0,1819.0,84.0,0.53174,0.54348,2267.0,1753.0,1415.0,1640.0,0.5682,0.58024,0.03646,0.03676
2,2,0.63686,0.61107,0.51147,0.42375,0.63686,0.63686,0.63686,160.0,114.0,6934.0,3931.0,1.0,46.0,3834.0,183.0,0.01156,0.00543,159.0,68.0,3100.0,3748.0,0.03208,0.0407,0.02052,0.03526
2,3,0.53227,0.51906,0.5203,0.51603,0.53227,0.53227,0.53227,1944.0,3063.0,3985.0,2147.0,83.0,1670.0,2210.0,101.0,0.43135,0.45109,1861.0,1393.0,1775.0,2046.0,0.45993,0.47632,0.02858,0.02524
